"Date","Day Traded","$USD","BITF","BITO","COIN","MARA","MSTR","RIOT","UVXY"
"Asset Type","","Cash","Equity","Equity","Equity","Equity","Equity","Equity","Equity"
"2025-08-27","No","-","19.0%","16.7%","14.6%","16.8%","15.3%","17.5%","-"
"2025-08-26","No","-","18.5%","16.6%","14.6%","16.8%","15.7%","17.7%","-"
"2025-08-25","No","-","18.1%","17.0%","14.9%","16.7%","15.7%","17.6%","-"
"2025-08-22","No","-","17.9%","17.2%","15.0%","17.1%","15.8%","17.0%","-"
"2025-08-21","No","-","18.2%","17.5%","14.9%","17.2%","15.7%","16.6%","-"
"2025-08-20","No","-","18.4%","17.5%","14.8%","16.8%","15.8%","16.7%","-"
"2025-08-19","No","-","18.9%","17.6%","14.9%","16.8%","15.6%","16.1%","-"
"2025-08-18","No","-","19.3%","17.1%","15.0%","16.8%","16.0%","15.7%","-"
"2025-08-15","No","-","18.2%","17.8%","15.4%","16.9%","16.7%","15.0%","-"
"2025-08-14","No","-","18.0%","17.6%","15.4%","16.7%","16.6%","15.8%","-"
"2025-08-13","No","-","17.8%","18.2%","15.3%","16.6%","17.2%","14.8%","-"
"2025-08-12","No","-","18.0%","17.8%","15.2%","16.6%","17.5%","14.8%","-"
"2025-08-11","No","-","17.6%","17.9%","15.3%","16.7%","18.0%","14.5%","-"
"2025-08-08","No","-","18.0%","17.8%","15.0%","16.6%","18.0%","14.6%","-"
"2025-08-07","No","-","18.1%","17.5%","14.7%","16.9%","17.9%","14.9%","-"
"2025-08-06","No","-","18.3%","17.5%","14.6%","17.1%","17.3%","15.3%","-"
"2025-08-05","No","-","18.1%","17.7%","14.7%","17.2%","17.4%","15.0%","-"
"2025-08-04","No","-","17.3%","17.4%","15.3%","17.3%","17.6%","15.0%","-"
"2025-08-01","No","-","17.3%","17.7%","15.6%","17.2%","17.1%","15.0%","-"
"2025-07-31","No","-","16.9%","16.6%","17.0%","16.1%","17.0%","16.4%","-"
"2025-07-30","No","-","16.2%","16.7%","17.0%","16.7%","16.8%","16.7%","-"
"2025-07-29","Yes","-","16.7%","16.7%","16.7%","16.7%","16.7%","16.7%","-"
"2025-07-28","Yes","-","-","-","-","-","-","-","100.0%"
"2025-07-25","No","-","16.3%","17.1%","16.9%","15.2%","16.6%","17.8%","-"
"2025-07-24","No","-","16.1%","17.2%","17.0%","15.0%","16.8%","17.8%","-"
"2025-07-23","No","-","16.6%","17.1%","17.0%","15.3%","16.7%","17.3%","-"
"2025-07-22","Yes","-","16.7%","16.7%","16.7%","16.7%","16.7%","16.7%","-"
"2025-07-21","Yes","-","-","-","-","-","-","-","100.0%"
"2025-07-18","No","-","17.1%","15.4%","17.4%","17.3%","15.7%","17.1%","-"
"2025-07-17","No","-","17.5%","15.5%","16.8%","17.4%","16.6%","16.2%","-"
"2025-07-16","No","-","17.3%","15.9%","16.7%","17.4%","17.1%","15.7%","-"
"2025-07-15","No","-","17.4%","16.0%","16.7%","17.3%","17.1%","15.5%","-"
"2025-07-14","No","-","17.9%","15.9%","16.5%","17.2%","16.9%","15.6%","-"
"2025-07-11","No","-","18.0%","15.9%","16.4%","17.3%","16.6%","15.7%","-"
"2025-07-10","No","-","18.2%","15.5%","16.7%","17.4%","16.2%","16.0%","-"
"2025-07-09","No","-","18.0%","15.7%","16.5%","17.4%","16.4%","16.0%","-"
"2025-07-08","No","-","18.7%","15.8%","16.2%","17.1%","16.3%","15.8%","-"
"2025-07-07","No","-","18.9%","15.9%","16.5%","16.5%","16.4%","15.9%","-"
"2025-07-03","No","-","18.3%","15.8%","16.1%","17.1%","16.4%","16.4%","-"
"2025-07-02","No","-","18.2%","15.8%","16.0%","17.2%","16.4%","16.4%","-"
"2025-07-01","Yes","-","16.7%","16.7%","16.7%","16.7%","16.7%","16.7%","-"
"2025-06-30","Yes","-","-","-","-","-","-","-","100.0%"
"2025-06-27","No","-","11.3%","15.9%","22.3%","15.5%","15.6%","19.5%","-"
"2025-06-26","No","-","11.7%","15.7%","23.0%","15.3%","15.3%","18.9%","-"
"2025-06-25","No","-","12.1%","16.1%","22.3%","15.4%","15.7%","18.4%","-"
"2025-06-24","No","-","12.2%","16.0%","22.0%","15.5%","15.5%","18.7%","-"
"2025-06-23","No","-","12.2%","16.6%","20.9%","15.8%","16.1%","18.5%","-"
"2025-06-20","No","-","12.5%","16.4%","20.7%","15.7%","15.9%","18.8%","-"
"2025-06-18","No","-","12.7%","16.4%","19.7%","15.8%","15.8%","19.4%","-"
"2025-06-17","No","-","13.2%","17.0%","17.4%","16.4%","16.5%","19.4%","-"
"2025-06-16","No","-","13.4%","17.0%","17.2%","16.5%","16.2%","19.6%","-"
"2025-06-13","No","-","13.7%","17.0%","16.5%","16.7%","16.7%","19.4%","-"
"2025-06-12","No","-","13.9%","16.8%","16.0%","17.2%","16.2%","19.9%","-"
"2025-06-11","No","-","13.9%","16.7%","16.2%","17.3%","16.1%","20.0%","-"
"2025-06-10","No","-","14.6%","16.5%","16.2%","17.1%","16.0%","19.5%","-"
"2025-06-09","No","-","14.3%","16.6%","16.5%","17.2%","16.3%","19.1%","-"
"2025-06-06","No","-","14.3%","16.5%","16.7%","17.2%","16.0%","19.2%","-"
"2025-06-05","No","-","14.4%","16.8%","17.0%","16.9%","16.5%","18.3%","-"
"2025-06-04","No","-","14.8%","16.6%","17.0%","17.0%","16.1%","18.5%","-"
"2025-06-03","No","-","14.7%","16.9%","17.3%","16.8%","16.7%","17.7%","-"
"2025-06-02","No","-","15.3%","17.3%","17.2%","16.3%","16.7%","17.3%","-"
"2025-05-30","No","-","15.5%","17.5%","17.4%","16.2%","16.7%","16.6%","-"
"2025-05-29","No","-","15.6%","17.4%","17.3%","16.6%","16.5%","16.6%","-"
"2025-05-28","No","-","16.0%","17.4%","17.3%","16.6%","16.0%","16.7%","-"
"2025-05-27","No","-","16.4%","16.8%","17.1%","17.2%","15.3%","17.2%","-"
"2025-05-23","No","-","16.7%","17.2%","17.5%","16.0%","15.8%","16.7%","-"
"2025-05-22","No","-","16.6%","16.8%","17.3%","16.3%","16.3%","16.7%","-"
"2025-05-21","Yes","-","16.7%","16.7%","16.7%","16.7%","16.7%","16.7%","-"
"2025-05-20","No","-","-","-","-","-","-","-","100.0%"
"2025-05-19","No","-","-","-","-","-","-","-","100.0%"
"2025-05-16","No","-","-","-","-","-","-","-","100.0%"
"2025-05-15","No","-","-","-","-","-","-","-","100.0%"
"2025-05-14","No","-","-","-","-","-","-","-","100.0%"
"2025-05-13","Yes","-","-","-","-","-","-","-","100.0%"
"2025-05-12","No","-","8.5%","21.0%","17.3%","14.3%","24.8%","14.1%","-"
"2025-05-09","No","-","8.4%","21.4%","16.7%","14.1%","25.6%","13.8%","-"
"2025-05-08","No","-","8.4%","21.3%","17.6%","13.0%","25.8%","13.9%","-"
"2025-05-07","No","-","8.5%","21.4%","17.7%","12.8%","25.9%","13.7%","-"
"2025-05-06","No","-","8.3%","21.3%","17.9%","12.8%","25.7%","13.9%","-"
"2025-05-05","No","-","8.2%","21.2%","18.1%","12.7%","25.8%","14.0%","-"
"2025-05-02","No","-","8.3%","20.9%","17.9%","13.5%","25.2%","14.2%","-"
"2025-05-01","No","-","8.6%","21.4%","18.0%","13.4%","25.1%","13.5%","-"
"2025-04-30","No","-","8.5%","21.3%","18.6%","13.1%","25.6%","12.9%","-"
"2025-04-29","No","-","8.4%","21.2%","18.6%","13.7%","25.2%","13.0%","-"
"2025-04-28","No","-","8.6%","21.3%","18.6%","13.6%","24.5%","13.4%","-"
"2025-04-25","No","-","8.6%","21.2%","18.8%","13.7%","24.2%","13.5%","-"
"2025-04-24","No","-","8.7%","21.3%","18.7%","13.8%","23.6%","13.9%","-"
"2025-04-23","No","-","8.7%","21.6%","18.2%","14.1%","23.7%","13.6%","-"
"2025-04-22","No","-","8.4%","21.7%","18.2%","14.4%","24.1%","13.2%","-"
"2025-04-21","No","-","8.1%","22.7%","18.3%","13.7%","24.4%","12.8%","-"
"2025-04-17","No","-","8.1%","22.0%","18.3%","14.1%","24.3%","13.1%","-"
"2025-04-16","No","-","8.2%","22.2%","18.3%","14.0%","24.3%","13.1%","-"
"2025-04-15","No","-","7.8%","22.0%","18.5%","14.2%","24.1%","13.4%","-"
"2025-04-14","No","-","7.9%","21.8%","18.3%","14.3%","23.6%","14.1%","-"
"2025-04-11","No","-","7.8%","21.9%","18.5%","14.1%","23.2%","14.4%","-"
"2025-04-10","No","-","8.0%","22.0%","18.9%","14.0%","22.3%","14.7%","-"
"2025-04-09","No","-","8.3%","21.4%","18.6%","13.8%","22.9%","15.0%","-"
"2025-04-08","No","-","7.8%","23.2%","18.5%","13.7%","21.3%","15.5%","-"
"2025-04-07","No","-","8.0%","22.1%","18.0%","13.7%","22.4%","15.7%","-"
"2025-04-04","No","-","7.8%","22.8%","17.5%","13.2%","23.5%","15.1%","-"
"2025-04-03","No","-","8.3%","22.1%","18.6%","13.1%","22.5%","15.4%","-"
