Date,AIA,AJG,BIL,BTAL,COST,EDC,EDZ,EEM,EQWL,FNGA,FNGS,IAU,IYW,KRE,LLY,MO,NVO,PGR,PSQ,QID,QLD,QQQ,RSPT,SCHE,SH,SLV,SOXX,SPLV,SPY,SQQQ,SVXY,TECL,TMF,TMV,TQQQ,USO,VIXY,VTI
2025-03-03,73.31,335.9581,91.45,20.12,1034.0883,30.55,8.39,43.19,104.75,478.31,53.96,55.04,149.99,59.04,909.1964,54.3607,87.5,282.9795,38.85,34.83,100.05,495.55,36.02,27.19,43.5,29.0,202.27,73.77,576.86,33.81,46.97,71.14,45.49,34.37,69.31,73.31,49.7,284.12
2025-03-04,76.21,339.4644,91.46,19.88,1044.939,33.33,7.66,44.48,105.86,494.8,54.68,55.17,152.25,58.71,927.8182,54.0228,90.86,281.6505,38.34,33.92,102.67,502.01,36.47,28.0,43.03,29.77,206.63,74.02,583.06,32.51,48.01,74.11,44.4,35.2,72.01,71.42,47.42,287.35
2025-03-05,75.56,338.528,91.47,20.19,1023.8657,32.72,7.79,44.2,104.85,432.58,52.22,54.87,147.47,57.76,910.8929,55.0463,88.04,280.961,39.4,35.79,97.02,488.2,35.47,27.89,43.81,29.69,198.04,73.56,572.71,35.17,45.41,68.0,43.91,35.54,66.04,71.13,52.68,282.01
2025-03-06,75.91,323.3581,91.51,20.45,961.7228,33.17,7.69,44.42,105.77,430.38,52.24,54.91,149.09,57.69,867.8012,55.7994,87.17,279.612,39.14,35.32,98.36,491.79,35.95,27.97,43.6,29.59,203.85,74.27,575.92,34.47,46.43,70.76,43.45,35.99,67.41,72.09,50.29,283.34
2025-03-07,73.61,321.2124,91.52,20.85,931.9031,30.76,8.23,43.36,104.06,371.67,49.78,54.43,142.45,55.41,828.0627,56.9581,78.96,278.4828,40.63,37.99,90.91,472.73,34.69,27.38,44.76,29.11,194.42,74.16,560.58,38.37,43.9,61.87,44.82,34.82,59.81,70.89,55.77,275.62
2025-03-10,74.095,325.1047,91.53,20.7,927.9936,31.49,8.06,43.72,102.47,386.0,50.82,55.07,142.16,55.11,822.3743,56.147,78.11,276.7341,40.77,38.26,90.25,471.6,34.46,27.58,45.14,29.96,192.12,72.85,555.92,38.8,43.95,61.01,43.83,35.64,59.11,71.45,55.76,273.69
2025-03-11,74.94,324.436,91.54,20.2,924.5928,32.0,7.915,43.96,102.19,418.0,51.84,55.3,144.67,55.75,820.1788,55.8187,74.79,277.3437,40.31,37.39,92.33,476.92,34.8,27.66,44.92,30.22,196.08,72.03,558.87,37.49,45.04,63.9,43.02,36.31,61.13,72.8,52.9,275.04
2025-03-12,74.25,322.2104,91.56,20.54,888.2305,31.6,8.03,43.78,101.43,381.34,50.53,56.27,141.64,55.13,800.0102,56.5332,75.93,279.1923,41.05,38.76,88.95,468.34,34.24,27.59,45.53,30.74,195.1,72.01,551.42,39.54,44.03,60.32,44.1,35.37,57.79,71.62,55.21,271.18
2025-03-13,75.57,324.5957,91.58,20.2,901.4949,33.34,7.59,44.58,102.95,418.0,52.1,56.29,146.03,56.76,811.816,56.8808,77.15,283.4791,40.09,36.95,93.19,479.66,35.23,28.08,44.62,30.71,201.12,72.78,562.81,36.73,46.0,65.48,43.38,35.96,61.89,72.28,50.38,276.99
2025-03-14,77.42,328.488,91.6,20.19,914.1508,35.03,7.19,45.34,104.09,423.0,52.18,56.62,146.78,57.13,823.0729,56.8712,80.15,291.0035,39.83,36.48,94.39,482.77,35.83,28.52,44.3,30.81,204.44,73.51,567.15,36.02,46.87,66.91,44.01,35.48,63.09,72.71,48.49,279.28
2025-03-17,76.685,329.0069,91.6,20.41,895.6406,34.52,7.32,45.11,103.5,397.6,51.06,57.27,144.14,56.97,820.8275,56.3305,80.98,283.0694,40.52,37.7,91.2,474.54,35.42,28.4,44.77,30.85,201.47,73.36,561.02,37.84,46.22,63.91,44.2,35.34,59.91,72.21,49.83,276.27
2025-03-18,76.82,325.9929,91.61,20.06,901.6245,34.71,7.29,45.22,104.18,420.17,52.15,57.51,146.21,57.68,835.2979,55.9539,79.0,273.0869,40.01,36.74,93.52,480.89,35.83,28.44,44.31,30.75,203.11,73.58,567.13,36.4,46.97,66.5,44.81,34.86,62.24,72.42,48.13,279.41
2025-03-19,75.72,333.7774,91.63,20.08,892.9977,33.74,7.49,44.8,103.93,412.4,51.74,57.44,145.69,57.29,840.8465,56.0891,78.79,274.4159,40.14,36.99,92.9,479.26,35.44,28.2,44.41,30.5,201.49,73.44,565.49,36.75,47.42,64.91,44.96,34.72,61.6,73.73,47.33,278.74
2025-03-20,75.09,331.1327,91.66,20.05,906.8206,33.28,7.61,44.58,103.71,415.93,51.91,56.97,146.23,57.26,835.8567,55.616,76.86,272.6572,40.0,36.75,93.56,480.84,35.42,28.05,44.43,30.02,199.38,72.92,563.98,36.4,47.43,65.4,44.08,35.42,62.18,73.79,47.36,278.85
2025-03-21,75.265,337.0011,91.66,19.5,923.5555,33.6,7.52,44.78,104.59,444.61,53.36,56.7,149.37,58.43,863.1308,55.6642,75.33,273.7963,39.18,35.23,97.5,490.66,36.11,28.16,43.67,29.96,205.3,73.32,574.08,34.13,48.91,69.05,42.69,36.57,66.13,74.88,44.31,284.01
2025-03-24,74.93,336.6917,91.67,19.52,927.7642,32.93,7.47,44.65,104.59,458.97,53.73,56.99,150.11,58.25,850.6064,55.7429,73.6,274.226,38.96,34.81,98.66,493.46,36.09,28.08,43.58,30.58,204.19,73.11,575.46,33.52,48.76,69.52,42.4,36.13,67.31,74.82,44.67,284.49
2025-03-25,74.31,336.0629,91.68,20.06,927.2556,32.4,7.61,44.38,104.16,418.59,52.43,56.92,146.29,58.01,825.0688,56.7651,71.73,272.3374,39.32,35.71,95.01,484.38,35.45,27.96,43.77,30.53,198.47,73.77,568.59,34.86,47.96,64.91,41.58,36.88,63.38,75.42,46.03,281.16
2025-03-26,74.62,340.3245,91.7,20.33,936.2314,32.79,7.48,44.6,103.83,406.01,51.92,57.68,144.67,57.55,819.9892,57.3057,70.16,274.4658,39.56,36.12,93.88,481.62,35.06,28.11,43.91,31.32,194.56,74.07,567.08,35.47,47.85,63.13,41.19,37.22,62.3,75.48,46.33,278.99
2025-03-27,72.5,340.0849,91.73,20.64,927.1658,30.98,7.9,43.77,102.17,363.6,49.99,58.13,140.66,56.41,820.8275,57.1583,69.3,278.6527,40.62,38.05,88.94,468.94,34.23,27.61,44.82,31.0,188.68,73.72,555.66,38.3,45.74,58.43,42.8,35.73,57.34,74.77,50.48,273.43
2025-03-28,72.35,344.556,91.73,20.84,943.2426,30.72,7.97,43.7,103.09,360.0,49.82,58.96,140.44,56.85,824.2205,58.9964,69.44,282.7996,40.63,38.09,88.88,468.92,34.2,27.57,44.56,30.99,188.17,74.72,559.39,38.34,45.76,58.56,44.0,34.74,57.3,77.33,50.26,274.84
2025-03-31,72.82,343.1788,91.43,20.76,951.8395,31.09,7.87,43.84,102.93,376.0,50.37,58.86,141.86,56.42,803.5828,57.7874,68.03,284.0787,40.32,37.49,90.27,472.7,34.37,27.72,44.42,30.63,188.27,74.71,560.97,37.44,45.7,59.74,45.14,33.84,58.62,77.08,50.33,275.77
2025-04-01,72.68,343.3884,91.44,20.33,962.4908,31.18,7.87,43.9,103.49,383.08,50.86,58.95,142.86,57.22,816.5463,56.1459,68.24,281.021,40.02,36.95,91.59,476.15,34.69,27.75,44.14,30.76,189.48,74.77,564.52,36.6,46.45,60.99,45.05,33.89,59.93,77.74,48.95,277.95
2025-04-02,70.66,343.7177,91.45,21.46,964.4854,29.16,8.37,42.97,99.23,308.03,47.57,58.6,133.02,51.31,787.4759,56.9027,67.1,286.8887,42.18,40.89,81.8,450.66,32.09,27.23,46.25,28.89,170.36,74.13,536.7,42.53,40.66,48.79,45.7,33.42,50.3,72.25,60.95,263.96
2025-04-03,65.93,318.6176,91.48,21.34,914.0211,24.32,9.77,40.58,93.35,257.6,44.91,57.26,124.5,49.26,736.7,55.1138,62.55,257.5401,44.78,45.92,71.81,422.67,29.91,25.68,49.05,27.08,157.63,69.99,505.28,50.36,36.65,39.05,47.18,32.35,41.09,67.92,73.12,248.47
2025-04-04,62.32,310.2441,91.49,20.79,905.6935,21.62,10.85,39.07,92.93,262.36,45.71,56.1,125.06,49.27,722.2495,54.7108,63.64,255.171,44.73,45.79,72.02,423.69,30.32,24.67,49.17,27.14,161.27,68.83,504.38,50.17,36.56,39.56,42.85,35.3,41.25,65.98,73.52,247.66
2025-04-07,60.67,310.9128,91.51,21.06,906.3119,20.69,11.31,38.52,91.62,258.58,45.04,56.31,122.57,48.81,724.7544,54.6125,61.6,260.279,45.55,47.46,69.34,416.06,29.52,24.38,49.94,27.14,154.86,68.13,496.48,52.97,34.14,37.33,40.41,37.3,38.9,63.34,82.83,243.75
