Date,BITI,BSV,MSTR,TBT
2008-05-01,7.72,77.7,73.41,70.59
2008-05-02,7.63,77.81,75.93,70.58
2008-05-05,7.7,77.77,78.04,71.75
2008-05-06,7.7,77.87,77.81,70.98
2008-05-07,7.57,78.1,78.31,69.66
2008-05-08,7.76,78.18,77.17,69.16
2008-05-09,7.68,77.97,78.34,69.25
2008-05-12,7.24,77.78,76.9,71.04
2008-05-13,7.23,77.73,76.49,71.06
2008-05-14,7.65,77.98,78.24,69.54
2008-05-15,7.43,77.95,78.31,70.27
2008-05-16,7.3,78.03,77.47,69.89
2008-05-19,7.29,78.04,79.02,69.22
2008-05-20,7.4,77.99,78.42,69.22
2008-05-21,7.29,77.67,79.88,70.89
2008-05-22,7.16,77.87,79.25,70.1
2008-05-23,6.92,77.67,80.5,71.13
2008-05-27,6.84,77.51,79.91,72.7
2008-05-28,7.29,77.42,81.02,73.69
2008-05-29,8.15,77.49,79.61,72.72
2008-05-30,7.2,77.45,77.76,71.95
2008-06-02,7.48,77.61,76.29,70.87
2008-06-03,7.05,77.51,76.12,72.2
2008-06-04,7.1,77.37,78.58,73.09
2008-06-05,6.99,77.62,76.63,71.19
2008-06-06,6.85,77.17,75.67,71.25
2008-06-09,6.69,76.88,75.33,72.25
2008-06-10,6.58,77.08,73.77,72.45
2008-06-11,6.55,76.7,74.21,73.98
2008-06-12,7.25,76.63,75.03,74.51
2008-06-13,7.01,76.68,74.9,74.34
2008-06-16,6.91,76.9,75.0,74.04
2008-06-17,6.8,76.98,75.04,72.68
2008-06-18,6.67,76.81,75.01,73.78
2008-06-19,6.55,76.93,73.0,72.86
2008-06-20,6.36,76.81,70.04,72.45
2008-06-23,6.4,76.94,68.99,71.41
2008-06-24,6.32,77.12,70.73,71.46
2008-06-25,6.47,77.17,69.71,70.54
2008-06-26,6.58,77.2,68.3,68.81
2008-06-27,7.4,77.38,64.75,68.57
2008-06-30,7.23,77.14,63.63,69.11
2008-07-01,7.1,77.22,62.32,68.49
2008-07-02,7.04,77.28,63.42,68.73
2008-07-03,7.1,77.36,63.61,68.25
2008-07-07,7.18,77.4,65.27,67.36
2008-07-08,7.04,77.48,64.49,66.5
2008-07-09,6.97,77.51,64.84,66.63
2008-07-10,7.06,77.24,65.12,68.53
2008-07-11,6.98,77.45,63.5,67.36
2008-07-14,7.42,77.48,63.64,67.42
2008-07-15,7.12,77.27,65.29,69.94
2008-07-16,6.88,77.05,64.15,70.7
2008-07-17,6.97,76.99,63.03,71.24
2008-07-18,6.97,77.05,62.78,70.52
2008-07-21,6.97,76.85,61.69,71.39
2008-07-22,6.95,76.95,64.69,71.72
2008-07-23,6.72,77.3,62.84,70.17
2008-07-24,7.2,77.09,61.9,71.5
2008-07-25,6.81,77.22,59.18,70.16
2008-07-28,6.95,77.2,60.11,70.78
2008-07-29,7.5,77.24,59.74,70.49
2008-07-30,7.64,77.46,60.44,69.12
2008-07-31,7.5,77.23,60.56,68.98
2008-08-01,7.4,77.16,60.12,69.25
2008-08-04,7.32,77.13,58.73,70.31
2008-08-05,7.58,77.09,62.0,70.82
2008-08-06,7.47,77.41,61.83,68.53
2008-08-07,7.5,77.27,62.57,68.28
2008-08-08,7.23,77.25,65.32,69.42
2008-08-11,7.41,77.38,65.59,68.15
2008-08-12,7.35,77.36,65.02,68.56
2008-08-13,7.29,77.43,64.63,67.56
2008-08-14,7.33,77.51,65.94,66.67
2008-08-15,7.08,77.54,65.33,66.04
2008-08-18,7.09,77.53,64.73,66.62
2008-08-19,7.39,77.67,64.07,66.08
2008-08-20,7.35,77.55,64.17,66.44
2008-08-21,7.5,77.48,66.8,66.41
2008-08-22,7.61,77.6,64.94,65.23
2008-08-25,7.51,77.62,64.11,65.0
2008-08-26,7.65,77.73,65.13,64.83
2008-08-27,7.85,77.61,64.98,64.85
2008-08-28,7.91,77.52,64.16,65.46
2008-08-29,7.82,77.55,64.19,64.1
2008-09-02,7.9,77.59,64.71,63.65
2008-09-03,7.91,77.77,64.1,62.64
2008-09-04,7.76,77.65,64.25,62.75
2008-09-05,7.7,77.74,65.05,62.38
2008-09-08,7.49,77.74,63.65,61.09
2008-09-09,7.81,77.87,64.47,61.75
2008-09-10,7.75,77.78,65.04,61.65
2008-09-11,7.7,77.74,64.63,63.4
2008-09-12,7.88,78.26,62.63,58.83
2008-09-15,7.56,77.73,60.43,59.2
2008-09-16,7.25,77.86,57.33,58.71
2008-09-17,7.29,77.73,56.0,60.63
2008-09-18,7.99,77.39,58.95,64.1
2008-09-19,7.74,77.37,59.56,64.58
2008-09-22,7.46,77.25,59.48,64.99
2008-09-23,7.71,77.73,58.86,63.9
2008-09-24,7.47,77.5,58.88,64.31
2008-09-25,7.63,77.52,62.09,63.81
