Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2011-10-04,25.91,35.72,48.03,52.19,84.49,121.37,62.26,47.0,31.04
2011-10-05,26.47,36.88,49.32,54.78,84.47,119.15,65.48,49.54,29.0
2011-10-06,26.35,36.44,48.98,54.04,84.43,118.25,64.13,48.52,29.42
2011-10-07,26.94,38.07,50.83,56.15,84.38,116.57,70.71,53.48,26.49
2011-10-10,27.14,38.09,50.76,56.72,84.41,116.22,72.22,53.51,25.1
2011-10-11,27.19,39.18,51.5,58.32,84.4,114.51,73.38,55.0,21.46
2011-10-12,27.25,38.81,51.52,57.78,84.44,115.6,75.21,54.63,21.61
2011-10-13,27.87,39.59,52.12,58.79,84.46,113.95,79.54,57.44,19.84
2011-10-14,27.47,38.25,50.92,56.48,84.47,115.9,75.83,54.16,23.25
2011-10-17,27.62,39.27,51.65,58.0,84.49,115.2,78.57,57.34,20.47
2011-10-18,27.08,38.52,50.68,57.38,84.5,115.16,74.08,55.3,24.11
2011-10-19,27.04,37.77,50.85,56.29,84.51,114.33,73.1,56.01,24.15
2011-10-20,27.18,38.85,52.1,57.51,84.48,113.14,75.7,59.11,21.7
2011-10-21,27.61,40.38,52.86,59.86,84.48,113.31,80.43,61.5,19.04
2011-10-24,27.7,39.58,51.95,58.67,84.53,116.16,75.87,57.88,21.55
2011-10-25,27.55,40.32,52.68,59.64,84.49,114.19,75.57,59.65,19.84
2011-10-26,28.27,42.8,55.57,63.11,84.44,110.3,81.66,65.68,14.55
2011-10-27,28.15,42.4,55.2,64.51,84.47,111.38,81.93,65.93,14.28
2011-10-28,27.7,40.8,52.37,62.37,84.54,115.84,77.87,60.84,17.33
2011-10-31,27.39,39.82,50.69,60.53,84.51,119.45,71.84,55.95,22.55
2011-11-01,27.56,41.04,51.17,61.79,84.54,118.0,73.61,58.64,21.03
2011-11-02,27.9,41.46,52.46,61.97,84.54,116.36,78.09,61.79,19.05
2011-11-03,27.99,41.19,51.8,62.03,84.55,116.48,76.88,60.69,19.8
2011-11-04,28.4,41.54,52.02,62.49,84.52,117.24,78.59,61.79,19.41
2011-11-07,28.54,42.03,52.62,63.24,84.52,115.73,81.21,64.18,17.58
2011-11-08,27.91,39.57,49.95,59.99,84.53,118.12,72.81,57.13,24.09
