Date,ALTY,BIL,BND,BOXX,BSV,BTAL,CLSE,CTA,FTLS,FXE,KMLM,NVDA,NVDX,PSQ,QAI,QLD,QQQ,ROM,SGOV,SH,SHV,SOXL,SPUU,SPXL,SPXS,SPY,SQQQ,SSO,SVIX,SVXY,TBF,TECL,TLT,TMF,TMV,TQQQ,UDN,UPRO,USDU,UST,UUP,VBF,VIXM,VIXY,VTI,VXX,XLK,XLP
2023-10-19,10.46,91.71,68.285,103.9716,74.89,20.75,16.2125,26.805,52.52,97.855,32.83,41.365,24.0443,11.04,29.71,57.79,354.6,39.0183,100.57,14.75,110.37,16.64,81.93,74.02,16.56,421.19,21.08,51.57,23.43,79.83,26.75,42.53,83.24,3.94,52.27,34.09,18.38,38.94,27.85,39.3558,29.84,13.75,21.71,26.44,208.47,26.46,163.94,67.27
2023-10-20,10.43,91.72,68.55,104.015,74.99,20.68,16.2619,26.7,52.72,98.56,32.38,42.9521,25.8769,11.01,29.66,58.1,355.67,39.09,100.59,14.78,110.39,16.39,81.68,73.58,16.68,420.46,20.9,51.38,24.23,81.19,26.41,42.67,84.24,4.11,50.33,34.39,18.505,38.75,27.78,39.6792,29.69,13.83,21.16,25.51,207.9,25.55,164.13,67.14
2023-10-23,10.52,91.73,68.78,104.05,74.97,20.58,16.37,26.64,53.265,97.91,32.28,43.6397,26.7143,10.91,29.8,59.26,359.13,39.64,100.6,14.68,110.4,17.04,82.93,75.25,16.3,423.63,20.31,52.14,25.35,82.98,26.11,43.55,85.35,4.25,48.46,35.36,18.4,39.61,27.88,39.8739,29.86,13.91,20.65,24.41,209.47,24.39,165.26,67.71
2023-10-24,10.42,91.74,68.26,104.07,74.84,21.0,16.1498,26.75,52.63,97.64,32.75,41.7567,24.379,11.18,29.67,56.32,350.34,38.65,100.6,14.88,110.4,14.97,80.48,71.97,16.99,417.55,21.8,50.65,23.72,80.36,26.7,42.03,83.45,3.97,51.67,32.77,18.35,37.89,27.96,39.19,29.94,13.73,21.43,25.95,206.36,25.98,163.31,67.94
2023-10-25,10.36,91.78,68.72,104.14,75.06,21.07,15.9591,26.55,52.4554,97.58,32.31,40.3045,22.6929,11.4,29.53,54.15,343.66,37.14,100.66,15.07,110.47,14.73,78.5808,69.37,17.66,412.55,23.09,49.41,23.49,80.07,26.31,39.55,84.73,4.15,49.39,30.86,18.3,36.49,27.98,39.7277,30.01,13.78,21.5,26.19,204.22,26.21,160.19,67.5
2023-10-26,10.31,91.81,68.715,104.14,75.13,21.07,15.9905,26.65,52.19,97.68,32.41,40.4784,22.828,11.35,29.5,54.67,345.31,37.55,100.66,15.14,110.49,15.1,77.73,68.33,17.89,410.68,22.75,48.93,22.74,78.71,26.41,40.18,84.37,4.08,50.1,31.3,18.355,35.97,27.94,39.8351,29.97,13.82,21.9,27.04,203.12,27.08,161.12,66.58
2023-10-27,10.34,91.82,68.55,104.17,75.04,21.07,16.1613,26.52,52.66,98.1205,32.32,41.1391,23.672,11.22,29.7,55.85,349.2,38.36,100.68,14.98,110.5,14.53,79.55,70.78,17.26,415.59,22.03,50.11,24.41,81.59,26.52,41.47,83.99,4.04,50.64,32.31,18.4278,37.25,27.84,39.76,29.85,13.8,20.97,25.07,205.46,25.06,162.85,67.62
2023-10-30,10.44,91.82,68.53,104.17,75.02,21.09,16.2191,26.42,52.96,97.8072,32.35,40.7583,23.1273,11.18,29.66,56.42,350.87,38.89,100.7,14.88,110.5,14.9,80.6337,72.04,16.94,418.2,21.7,50.71,25.91,84.22,26.7,42.36,83.58,3.98,51.44,32.78,18.35,37.92,27.98,39.5015,30.03,13.85,20.36,23.42,206.79,23.45,164.01,67.86
2023-10-31,10.55,91.44,68.99,104.19,75.15,21.27,16.4682,26.64,53.6,97.48,32.17,42.3025,24.9284,10.98,29.7528,58.38,356.96,40.44,100.29,14.72,110.07,15.95,82.23,74.34,16.42,422.66,20.57,51.77,27.095,86.12,26.12,44.8,85.1,4.22,48.22,34.47,18.31,39.13,27.96,40.419,30.04,14.03,19.68,22.4,208.86,22.46,167.18,67.79
2023-11-01,10.83,91.47,69.385,104.24,75.19,20.9,16.5005,26.65,53.96,97.9815,31.9,43.4828,26.2933,10.8,29.97,60.45,363.44,41.76,100.33,14.45,110.12,17.08,85.37,78.57,15.51,430.76,19.5,53.76,28.03,87.6,25.52,47.08,87.04,4.51,45.02,36.3,18.421,41.33,27.76,40.7753,29.89,14.32,19.31,21.66,213.01,21.69,170.01,68.67
2023-11-02,10.81,91.48,69.8,104.28,75.46,20.74,16.5857,26.56,53.93,98.99,31.15,44.981,28.0681,10.67,30.1,61.85,367.71,42.63,100.34,14.33,110.145,18.38,86.91,80.67,15.1,434.69,18.82,54.71,28.61,88.58,25.34,48.43,87.63,4.61,44.07,37.58,18.63,42.44,27.57,41.48,29.61,14.59,19.04,21.15,215.41,21.18,171.76,68.75
2023-11-03,10.75,91.49,69.5,104.26,75.3,20.94,16.7066,26.68,53.99,98.93,31.56,45.7266,28.9475,10.63,30.085,62.33,369.21,43.21,100.36,14.3,110.14,18.25,87.1461,81.2,15.01,435.69,18.61,54.95,29.61,90.13,25.6,49.39,86.78,4.48,45.28,38.01,18.59,42.71,27.6,40.96,29.64,14.45,18.57,20.45,215.5,20.48,172.89,68.86
