Date,BIL,BTAL,COST,DBC,EDC,EDZ,FNGD,GE,GLD,IEF,IWM,LLY,NVO,PGR,PSQ,QID,QQQ,SLV,SOXL,SOXS,SPHB,SPXL,SPXU,SPY,SQQQ,SVXY,TECL,TECS,TLT,TMF,TMV,TQQQ,UUP,VIXY,VTI,VWO,XHB,XLE,XLK,XLP,XME
2018-01-23,91.5,18.63,177.6074,17.12,161.94,6.96,46.7,73.2188,127.97,104.08,159.03,75.7216,57.46,45.8224,32.91,11.44,168.35,16.31,165.44,13.34,45.26,52.69,9.53,283.3,17.0,127.86,135.09,5.68,124.05,20.6,18.82,174.21,23.31,23.1,145.34,50.31,46.25,77.09,68.11,58.43,38.62
2018-01-25,91.52,18.6,178.4688,17.25,168.6,6.67,43.29,72.9925,128.07,103.77,159.6,77.5654,58.14,45.0582,32.42,11.12,170.93,16.41,181.13,12.07,45.93,54.48,9.19,286.58,16.25,128.85,141.15,5.43,123.59,20.31,19.06,181.99,23.26,22.96,146.86,50.98,46.31,77.51,69.19,58.71,38.95
2018-01-26,91.5,18.49,177.9394,17.2,160.91,6.97,42.0,73.6713,127.35,103.51,158.7,78.0286,57.53,43.6611,32.58,11.23,170.1,16.21,180.55,12.11,45.71,53.41,9.37,284.68,16.47,119.42,137.52,5.56,122.73,19.94,19.41,179.58,23.32,24.55,145.9,50.18,45.42,76.34,68.56,58.48,38.41
2018-01-29,91.51,18.58,177.5715,17.08,154.24,7.26,43.35,72.178,126.8,103.27,157.18,76.6835,56.68,43.957,32.85,11.39,168.7,16.15,169.56,12.82,44.95,51.71,9.68,281.76,16.85,115.42,133.63,5.73,122.01,19.57,19.76,174.99,23.28,25.39,144.38,49.54,45.04,74.8,67.94,58.09,37.27
2018-01-30,91.52,18.65,174.8439,17.1,158.22,7.09,42.8,73.1735,127.65,103.3,156.36,72.5505,55.5,44.4583,32.72,11.33,169.4,16.35,173.91,12.52,44.99,51.84,9.65,281.9,16.68,117.93,136.84,5.59,122.73,19.95,19.42,177.15,23.25,24.83,144.43,49.84,44.75,74.85,68.45,57.82,36.9
2018-01-31,91.43,18.65,173.5879,17.27,151.92,7.36,42.62,72.4947,128.07,102.6,156.85,73.4057,51.87,44.966,33.0,11.5,167.96,16.25,171.34,12.71,45.08,51.63,9.68,281.58,17.09,121.68,137.02,5.59,120.7,19.04,20.24,172.72,23.13,24.03,144.37,49.37,44.45,75.62,68.51,57.57,37.05
2018-02-01,91.44,18.63,171.3627,16.99,140.48,7.92,46.5,70.7751,126.39,102.22,153.83,72.31,50.47,44.6807,33.65,11.97,164.61,15.66,157.03,13.74,43.87,48.27,10.32,275.45,18.1,105.59,124.76,6.06,119.58,18.51,20.83,162.17,23.27,27.3,141.3,48.26,43.17,72.46,66.48,56.47,35.36
2018-02-02,91.43,18.82,163.9874,16.83,126.32,8.71,52.3,67.4717,126.71,103.06,147.92,69.0232,49.29,43.5981,34.96,12.88,158.12,15.74,136.02,15.66,41.86,42.34,11.59,263.93,20.2,71.17,109.47,6.74,120.71,19.06,20.2,143.45,23.37,36.6,135.74,46.71,41.47,69.42,63.7,54.42,34.81
2018-02-05,91.44,18.74,165.9972,16.73,137.67,7.92,48.02,69.1008,125.38,102.61,149.69,69.4686,49.53,44.3701,34.04,12.23,162.31,15.65,150.0,13.94,42.71,44.69,10.93,269.13,18.64,12.18,118.79,6.27,119.96,18.68,20.59,154.51,23.42,35.54,137.96,47.87,42.59,69.97,65.53,55.02,35.58
2018-02-06,91.45,18.65,164.3643,16.54,124.65,8.64,48.28,69.0103,124.79,102.31,149.84,68.3373,49.96,44.8149,34.5,12.54,160.21,15.41,140.02,14.87,42.61,43.92,11.12,267.67,19.34,12.3,114.04,6.5,118.82,18.14,21.18,148.4,23.6,36.92,137.35,46.51,42.65,68.8,64.69,54.78,35.02
