Date,BIL,BTAL,LABU,SHV,SOXL,SOXS,TECL,TECS,TMF,UVXY
2015-06-01,45.71,19.16,42.68,110.28,37.41,40.32,38.19,37.08,65.69,37.89
2015-06-10,45.72,19.21,41.79,110.28,36.1,41.71,36.65,38.67,70.07,40.39
2015-06-15,45.71,19.35,48.23,110.29,37.77,39.78,37.54,37.64,71.7,36.95
2015-06-19,45.71,18.91,47.59,110.28,36.62,40.97,37.66,37.47,67.12,33.54
2015-06-25,45.71,19.47,45.63,110.29,31.65,46.82,35.17,40.01,65.79,37.82
2015-07-01,45.7,19.34,44.5,110.29,32.04,46.13,35.2,39.78,66.5,42.45
2015-07-02,45.71,19.57,46.21,110.3,30.76,48.24,34.84,40.28,70.06,44.81
2015-07-06,45.7,19.52,46.7,110.3,30.35,48.74,34.97,40.03,72.04,40.14
2015-07-07,45.7,19.85,44.09,110.3,26.79,54.68,32.88,42.46,69.61,48.86
2015-07-09,45.7,19.85,47.17,110.3,28.31,51.57,34.43,40.51,66.29,41.21
2015-07-10,45.71,19.54,54.28,110.29,29.99,48.64,36.41,38.18,66.25,32.58
2015-07-14,45.7,19.5,57.09,110.29,29.57,49.29,37.81,36.72,69.78,28.06
2015-07-16,45.7,19.6,57.91,110.29,28.72,50.56,40.06,34.49,70.03,27.42
2015-07-20,45.7,19.94,54.25,110.28,27.84,51.99,37.19,37.11,75.17,27.27
2015-07-23,45.71,20.08,48.63,110.29,26.16,54.94,36.61,37.62,75.78,29.12
2015-07-24,45.7,20.08,46.23,110.28,25.54,56.15,35.65,38.62,76.93,32.17
2015-07-27,45.71,20.05,46.35,110.28,27.58,51.8,37.47,36.73,76.11,26.1
2015-07-30,45.71,19.93,48.14,110.28,26.61,53.66,37.15,36.96,77.84,26.0
2015-07-31,45.71,19.81,48.04,110.29,26.35,54.17,36.57,37.59,80.33,25.25
2015-08-03,45.7,19.75,48.09,110.28,25.47,55.92,35.89,38.29,78.35,25.49
2015-08-04,45.7,19.76,48.73,110.28,26.42,53.89,36.83,37.18,76.56,25.05
2015-08-05,45.7,19.87,38.19,110.27,25.45,55.67,35.86,38.22,81.55,26.39
2015-08-07,45.7,19.9,36.72,110.27,25.5,55.07,35.91,37.95,82.31,26.65
2015-08-11,45.7,20.0,37.55,110.27,25.96,54.1,36.48,37.43,81.06,26.63
2015-08-12,45.69,20.0,38.15,110.26,25.44,55.04,37.21,36.59,81.85,25.23
