Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2020-12-02,91.52,19.07,261.58,354.4175,84.06,11.81,13.41,42.87,17.56,25.425,137.259,27.7615,67.21,80.048,14.9,108.13,304.28,157.51,165.56,24.44,11.33,14.26
2020-12-03,91.53,18.835,258.41,353.83,86.82,11.43,13.27,43.0411,17.52,25.245,141.3927,28.414,67.81,81.154,14.85,109.15,305.52,155.2,167.59,24.47,11.06,14.01
2020-12-04,91.51,18.85,257.15,353.7354,86.65,11.5,13.27,43.07,17.77,25.43,140.4117,28.6338,68.21,81.8158,14.77,110.3,307.25,156.6,170.43,24.51,11.13,14.1
2020-12-07,91.51,18.95,257.45,357.7812,86.84,11.42,13.26,43.17,17.83,25.23,142.2023,29.0046,68.58,84.1638,14.72,110.98,308.29,157.34,171.99,24.54,10.555,13.615
2020-12-08,91.51,18.89,260.66,354.6449,84.72,11.74,13.37,43.14,17.55,25.43,150.4887,29.5198,70.25,84.8527,15.03,106.11,301.31,156.82,160.47,24.55,11.12,14.09
2020-12-09,91.51,18.825,261.0,353.2238,87.9,11.28,13.21,43.2,17.5,25.275,153.346,29.4992,69.28,85.3967,14.99,106.8,302.52,158.21,162.44,24.48,11.26,14.21
2020-12-10,91.52,19.03,260.54,355.4124,86.19,11.47,13.3,43.17,17.54,25.33,152.4317,29.5335,69.54,85.5689,15.01,106.41,301.85,158.77,161.3,24.54,11.925,14.765
2020-12-11,91.51,19.13,262.81,354.7302,84.72,11.63,13.36,42.94,17.44,25.3886,150.403,29.4648,68.72,85.306,14.91,107.8,304.04,158.33,164.74,24.47,12.35,15.12
2020-12-14,91.51,19.11,265.93,352.3614,87.33,11.28,13.21,43.46,17.69,25.5,159.4704,28.9703,69.48,87.654,14.74,110.2,307.29,157.8,169.86,24.39,11.48,14.4
2020-12-15,91.52,19.14,267.08,350.0495,88.56,11.14,13.15,43.42,17.78,25.4473,163.8707,29.6022,71.84,87.3548,14.67,111.42,308.98,157.38,172.71,24.36,10.91,13.9
2020-12-16,91.52,19.21,268.58,350.8549,90.41,10.91,13.07,43.84,17.97,25.6999,164.4231,29.5335,71.73,87.3095,14.58,112.87,311.0,156.8,176.25,24.23,10.68,13.75
2020-12-17,91.52,19.32,272.55,347.7376,89.75,11.02,13.085,43.905,17.93,25.5406,163.2516,30.0692,73.8,87.8897,14.63,112.09,310.06,156.33,174.33,24.26,11.02,14.08
2020-12-18,91.52,19.38,266.6,345.8142,86.16,11.43,13.3,43.86,17.89,25.665,160.7562,29.4923,71.9,88.7872,14.65,111.8,308.92,156.95,173.68,24.31,12.25,15.1
2020-12-21,91.52,19.5,264.0,343.0285,84.19,11.69,13.38,44.01,17.76,25.3791,158.7941,29.2244,70.62,88.8325,14.6,112.34,309.76,157.76,175.05,24.44,11.97,14.81
2020-12-22,91.51,19.35,269.02,342.8958,86.78,11.33,13.23,44.08,17.86,25.8437,157.6131,29.4442,69.62,88.3973,14.68,111.22,308.2,156.67,172.41,24.33,11.26,14.24
2020-12-23,91.52,19.33,266.0,345.4446,85.63,11.48,13.29,43.9117,17.92,25.705,158.737,29.241,69.43,89.1226,14.62,112.19,309.56,157.29,174.65,24.35,10.76,13.85
2020-12-24,91.52,19.13,269.27,351.5844,86.21,11.37,13.255,43.69,17.87,25.455,158.5846,29.0727,70.25,88.9503,14.47,114.47,312.68,157.36,179.89,24.35,10.69,13.75
2020-12-28,91.52,19.29,265.27,353.1574,89.96,10.92,13.06,43.5341,17.91,26.14,158.6608,28.5471,70.58,88.5605,14.46,114.68,312.96,157.16,180.42,24.27,11.28,14.29
2020-12-29,91.51,19.15,266.5,354.7966,93.77,10.45,12.88,43.59,18.05,26.475,159.0703,28.5541,70.2,88.3067,14.46,114.58,312.97,157.5,180.39,24.17,10.7,13.75
2020-12-30,91.52,19.08,266.27,357.0042,93.48,10.47,12.89,43.605,18.13,26.4462,160.8133,28.7363,69.85,89.6393,14.41,115.11,313.74,157.73,181.8,24.24,10.65,13.74
2020-12-31,91.52,19.19,267.14,360.1975,95.4,10.27,12.79,43.37,18.55,26.3677,157.6321,28.6242,71.43,88.0528,14.61,111.87,309.31,157.54,173.85,24.26,12.03,15.05
2021-01-04,91.51,18.97,268.81,356.0188,102.01,9.58,12.51,43.77,18.59,26.895,158.4131,28.5681,70.77,87.8897,14.49,113.69,311.86,156.37,178.21,24.12,11.47,14.48
