Date,BTAL,DBMF,DIA,PSQ,QQQ,SHV,SMH,SOXL,SPLV,SPY,SQQQ,SVXY,TECL,TQQQ,UPRO,UVXY,VIXM,VIXY,VTI,XLK,XLP
2019-05-08,21.62,25.02,258.44,28.69,184.77,110.43,110.58,160.42,52.71,286.66,9.36,50.61,148.3,60.97,50.91,41.08,22.41,25.15,146.85,75.94,56.62
2019-05-09,21.66,25.02,259.92,28.68,185.0,110.43,110.5,160.89,53.4,288.1,9.35,52.56,149.52,61.14,51.63,36.51,21.66,23.25,147.53,76.18,57.31
2019-05-10,22.14,24.84,253.47,29.68,178.58,110.45,105.24,138.18,53.06,280.86,10.32,48.7,132.7,54.82,47.81,44.37,22.96,26.63,143.8,73.31,56.77
2019-05-13,21.92,24.98,255.81,29.37,180.54,110.46,108.01,148.07,53.16,283.4,9.98,49.99,139.13,56.54,49.01,40.79,22.25,25.2,145.1,74.49,57.04
2019-05-14,21.92,25.29,256.92,28.94,183.09,110.46,108.95,151.7,53.37,285.06,9.57,51.03,143.3,58.89,49.86,38.27,21.93,24.16,145.96,75.3,57.49
2019-05-15,21.86,25.57,259.16,28.65,184.93,110.49,107.37,144.0,53.73,287.7,9.28,52.13,147.79,60.73,51.21,35.85,21.62,23.13,147.28,75.99,57.94
2019-05-16,22.04,25.65,257.44,28.97,183.04,110.49,105.45,135.49,53.77,285.84,9.57,51.77,143.95,58.84,50.25,36.55,21.77,23.42,146.24,75.38,57.75
2019-05-17,22.15,25.48,256.67,29.44,179.95,110.48,101.14,119.25,53.46,283.95,10.05,51.43,136.29,55.89,49.28,37.32,21.96,23.76,145.2,74.07,57.61
2019-05-20,22.03,25.51,258.77,29.17,181.83,110.5,103.49,126.75,53.79,286.51,9.76,52.63,141.18,57.57,50.55,34.6,21.61,22.63,146.62,74.98,57.49
2019-05-21,22.16,25.52,257.6,29.27,181.02,110.51,101.6,118.82,53.94,285.63,9.87,52.97,138.98,56.82,50.12,33.97,21.58,22.35,146.09,74.59,57.75
2019-05-22,22.37,25.39,254.76,29.74,178.25,110.54,100.13,112.81,53.85,282.14,10.32,51.17,131.72,54.14,48.32,37.4,22.18,23.86,144.23,73.28,57.73
2019-05-23,22.31,25.44,256.12,29.76,178.16,110.55,99.48,109.88,53.98,282.78,41.4,51.71,131.84,54.06,48.51,36.23,22.33,23.37,144.58,73.3,57.52
2019-05-24,22.35,25.6,253.47,29.89,177.49,110.55,98.56,106.89,53.34,280.15,41.92,50.95,130.33,53.48,47.21,37.8,22.41,24.05,143.31,73.09,56.58
2019-05-28,22.41,25.49,251.27,30.13,176.03,110.55,98.5,108.34,52.96,278.27,42.94,50.42,128.06,52.14,46.27,38.9,22.55,24.5,142.33,72.66,56.17
2019-05-29,22.49,25.55,251.87,29.99,176.77,110.58,99.69,110.81,53.16,279.03,42.41,50.91,130.42,52.76,46.6,37.77,22.52,24.05,142.61,73.11,56.41
2019-05-30,22.72,25.35,248.22,30.49,173.95,110.61,97.93,106.0,53.15,275.27,44.44,49.82,123.99,50.22,44.69,40.23,22.88,25.08,140.69,71.89,55.61
2019-05-31,22.86,25.26,248.5,31.15,170.12,110.43,98.19,107.02,53.61,274.57,47.29,49.65,117.31,47.01,44.33,40.64,22.91,25.29,140.41,70.63,56.31
2019-06-03,22.4,25.3,253.65,30.3,174.91,110.42,102.13,120.6,53.88,280.53,43.48,51.01,128.99,50.82,47.21,37.36,22.27,23.88,143.56,72.99,56.82
2019-06-04,22.55,25.39,255.73,30.06,176.21,110.46,101.35,118.2,54.87,282.96,42.49,51.56,134.41,51.94,48.4,36.17,22.04,23.39,144.66,73.94,57.47
2019-06-05,22.6,25.36,257.72,29.83,177.61,110.48,102.74,123.11,55.15,284.8,41.5,52.1,138.86,53.14,49.32,35.03,21.89,22.9,145.47,74.8,58.07
2019-06-06,22.54,25.56,260.25,29.28,181.04,110.49,104.09,126.97,55.24,287.65,39.14,51.89,146.45,56.17,50.81,35.46,21.95,23.07,146.79,76.19,58.63
2019-06-07,22.36,25.43,260.99,28.95,183.15,110.51,106.69,136.87,55.14,288.97,37.77,52.18,150.79,58.22,51.51,34.99,21.77,22.86,147.61,76.97,58.65
2019-06-10,22.22,25.38,260.88,28.89,183.4,110.5,107.09,137.9,55.01,288.9,37.58,52.05,151.04,58.44,51.47,35.15,21.93,22.96,147.47,76.97,58.84
2019-06-11,22.4,25.49,260.45,29.07,182.34,110.51,104.71,128.17,55.28,288.39,38.24,52.2,148.39,57.45,51.19,34.85,21.97,22.82,147.27,76.54,58.93
2019-06-12,22.31,25.64,261.56,28.91,183.42,110.56,105.27,130.6,55.31,289.58,37.59,52.35,149.66,58.39,51.86,34.54,21.95,22.67,147.95,76.77,59.06
2019-06-13,22.48,25.76,261.51,29.03,182.64,110.57,102.47,120.25,55.59,289.26,38.12,52.56,145.58,57.63,51.6,34.08,21.86,22.48,147.63,76.1,59.09
2019-06-14,22.37,25.75,261.68,28.88,183.74,110.57,101.87,117.83,55.41,289.37,37.4,52.89,146.36,58.68,51.69,33.46,21.7,22.22,147.19,76.16,58.92
2019-06-17,22.15,25.95,265.33,28.44,186.41,110.57,106.16,133.2,55.42,292.4,35.82,53.06,153.97,61.22,53.22,33.11,21.66,22.08,148.8,77.54,58.6
2019-06-18,22.23,26.04,265.56,28.32,187.11,110.57,106.46,133.46,55.78,293.06,35.39,53.99,155.76,61.94,53.66,31.36,21.62,21.3,149.31,77.82,58.84
2019-06-19,22.14,25.99,268.08,28.08,188.85,110.63,107.75,137.16,56.09,295.86,34.45,53.86,162.34,63.64,55.15,31.63,21.43,21.4,150.68,78.96,59.36
2019-06-20,22.22,25.57,267.1,28.13,188.57,110.62,107.17,134.33,55.85,294.0,34.57,53.22,160.06,63.35,54.94,32.69,21.84,21.93,150.7,78.31,58.72
2019-06-21,22.4,25.64,267.17,28.12,188.16,110.62,107.36,135.22,55.72,293.64,34.62,53.51,160.95,63.33,54.72,32.17,21.71,21.67,149.86,78.46,58.87
2019-06-24,22.51,25.68,265.26,28.48,184.93,110.62,105.48,129.29,55.46,290.76,36.11,52.8,152.03,60.09,53.04,33.46,22.06,22.24,148.44,77.02,58.84
2019-06-25,22.2,25.41,265.22,28.36,185.79,110.64,108.66,141.44,54.5,290.47,35.65,53.0,156.89,60.85,52.81,33.03,22.05,22.06,148.16,77.85,58.0
2019-06-26,22.04,25.53,265.15,28.24,186.5,110.67,110.1,147.68,54.76,291.5,35.27,53.44,158.05,61.51,53.4,32.24,21.93,21.71,149.05,78.05,58.11
2019-06-27,21.93,25.66,265.85,28.21,186.74,110.65,110.23,148.29,55.02,293.0,35.15,53.86,158.58,61.77,54.15,31.51,21.64,21.38,150.09,78.04,58.07
2019-06-28,21.8,25.76,266.97,27.85,189.26,110.45,113.33,160.29,55.27,295.66,33.74,55.36,165.75,64.23,55.56,28.92,21.14,20.2,151.15,79.28,58.42
