Date,AAPL,AMD,AMZN,BSV,LABU,MSFT,NVDA,SQQQ,TQQQ,TSLA,TSM,UVXY
2015-05-28,29.1784,2.28,21.4615,80.38,40.97,40.6319,0.5356,23.23,115.18,16.72,24.28,40.49
2015-05-29,29.2366,2.25,21.546,80.21,41.24,40.9527,0.5416,23.02,116.19,16.63,24.14,39.73
2015-06-01,29.1067,2.3,21.5495,80.16,40.85,40.6839,0.531,23.24,115.13,16.5567,23.67,40.96
2015-06-02,29.1426,2.28,21.8295,80.07,42.39,40.6232,0.5252,23.04,116.14,16.5993,23.66,39.54
2015-06-03,28.9723,2.33,21.539,80.1,41.58,40.1983,0.5346,23.53,113.61,16.3947,22.98,42.09
2015-06-04,28.8133,2.33,21.3475,79.97,43.51,40.0076,0.5387,23.69,112.75,16.6093,22.86,40.78
2015-06-05,28.623,2.31,21.175,80.01,43.58,39.6521,0.5264,24.43,109.3,17.086,22.65,42.47
2015-06-08,28.5379,2.29,21.274,79.97,41.52,39.5827,0.529,24.54,108.76,17.0667,22.83,41.45
2015-06-09,28.8648,2.32,21.5385,79.92,42.68,40.4151,0.5196,23.56,113.07,16.7133,23.33,37.89
2015-06-10,28.7999,2.32,21.6485,80.0,43.43,40.2677,0.5252,23.43,113.69,16.7607,23.51,36.22
2015-06-11,28.4819,2.31,21.496,79.97,41.43,39.8602,0.5109,24.0,110.8,16.7127,23.67,37.15
2015-06-12,28.4259,2.32,21.1835,80.0,41.79,39.4353,0.5099,24.34,109.27,16.692,23.26,40.39
2015-06-15,28.5782,2.35,21.363,80.05,42.05,39.7388,0.5162,24.0,110.94,16.8747,23.58,38.79
2015-06-16,28.511,2.47,21.3905,80.1,43.69,39.8602,0.5223,23.77,111.87,17.3607,23.6,38.57
2015-06-17,28.6409,2.52,21.9695,80.15,47.43,40.5105,0.531,22.8,116.6,17.4593,23.76,36.3
2015-06-18,28.3542,2.58,21.746,80.18,48.23,39.9729,0.5293,23.12,114.82,17.5007,23.4,36.95
2015-06-19,28.5804,2.62,21.8145,80.07,52.36,40.0856,0.5271,22.59,117.59,17.3193,23.84,33.64
2015-06-22,28.4505,2.61,22.2995,80.06,52.26,39.8081,0.5135,22.5,117.88,17.8447,23.93,31.84
2015-06-23,28.6924,2.62,22.042,80.07,48.87,39.574,0.5085,22.85,116.07,17.678,23.9,33.05
2015-06-24,28.5558,2.58,22.005,80.03,47.59,39.5827,0.5123,23.0,115.31,17.9193,24.08,33.54
2015-06-25,28.3878,2.47,21.905,79.98,46.66,39.2445,0.5019,23.42,113.17,17.806,23.63,33.15
2015-06-26,27.8906,2.34,21.493,80.2,42.04,38.4728,0.4869,25.07,105.17,17.468,22.38,44.47
2015-06-29,28.0922,2.4,21.7045,80.19,47.71,38.2821,0.4867,24.79,106.37,17.884,22.71,43.9
2015-06-30,28.3542,2.42,21.8695,79.95,45.63,38.5422,0.4937,24.27,108.55,17.9433,22.93,37.82
2015-07-01,28.3184,2.53,21.8855,80.09,44.5,38.4988,0.4942,24.2,108.96,18.668,23.15,42.45
2015-07-02,28.2198,2.47,21.802,80.17,46.21,38.4902,0.4881,24.37,108.04,18.648,22.94,44.81
2015-07-06,28.1504,2.09,21.836,80.18,46.7,38.4121,0.4789,24.2,108.59,17.8587,22.96,40.14
2015-07-07,27.4516,2.01,21.485,80.3,41.77,38.3601,0.4756,25.5,103.15,16.9973,22.23,48.1
2015-07-08,26.8917,1.98,21.7195,80.23,44.09,38.6029,0.4697,25.55,102.85,17.1947,22.22,48.86
2015-07-09,27.6106,1.96,22.1755,80.09,47.17,38.6809,0.478,24.37,107.63,17.2767,22.57,41.21
2015-07-10,28.1437,1.96,22.7785,80.01,50.82,39.4873,0.4811,23.08,113.13,17.4773,22.86,33.18
2015-07-13,28.1325,2.05,23.2785,80.09,54.28,39.5567,0.4814,22.62,115.4,17.71,22.8,32.58
2015-07-14,28.4035,1.96,23.0595,80.16,54.0,39.6781,0.478,22.55,115.95,17.5427,22.56,32.34
2015-07-15,28.782,1.87,23.774,80.14,57.09,40.4585,0.4886,21.61,120.48,17.7787,22.73,28.06
2015-07-16,29.0306,1.79,24.1505,80.09,58.1,40.4238,0.4857,20.66,125.99,18.3107,23.03,27.56
2015-07-17,29.5793,1.8,24.405,80.02,57.91,40.6839,0.4768,20.42,127.4,18.8173,22.9,27.42
2015-07-20,29.2837,1.8,24.4,80.04,55.33,40.996,0.4789,20.48,127.05,17.7847,22.88,26.93
2015-07-21,28.0451,1.79,24.4135,80.01,55.71,39.4873,0.4697,21.12,122.88,17.858,22.21,26.7
2015-07-22,28.0317,1.76,24.109,80.07,54.25,39.9815,0.4756,21.38,121.41,17.8133,22.31,27.27
2015-07-23,27.8839,1.67,26.471,80.11,48.63,39.8341,0.47,22.01,117.96,17.694,21.64,29.12
2015-07-24,27.4964,1.62,26.5705,80.19,46.23,39.3226,0.4673,22.54,114.93,16.8673,21.63,32.17
2015-07-27,27.633,1.77,26.3015,80.17,50.04,39.3139,0.4775,21.95,117.96,17.6547,21.88,27.42
2015-07-28,27.5457,1.96,26.45,80.11,46.87,40.1376,0.4833,21.68,119.28,17.588,22.11,26.45
2015-07-29,27.4068,1.93,26.838,80.12,46.35,40.6492,0.4845,21.41,120.94,17.786,22.7,26.1
2015-07-30,27.1672,1.93,26.8075,80.22,48.14,40.4931,0.4828,21.48,120.57,17.7433,22.11,26.0
2015-07-31,26.5266,2.2,26.7515,80.21,48.04,40.5885,0.491,21.65,119.46,17.3327,21.72,25.25
2015-08-03,25.6756,2.13,26.595,80.03,48.09,41.2215,0.493,21.82,118.69,17.752,21.45,25.49
2015-08-04,25.8458,2.16,26.8505,79.96,48.73,41.2562,0.4981,21.31,121.47,18.0087,21.61,25.05
2015-08-05,25.902,2.11,26.473,80.01,41.26,40.4238,0.4949,22.3,115.64,16.4087,21.28,26.86
2015-08-06,25.9898,2.09,26.131,80.03,38.19,40.5278,0.5561,22.43,115.18,16.1673,21.03,26.39
2015-08-07,26.9347,1.93,26.2,80.02,39.24,41.0394,0.5755,21.65,119.07,16.076,21.62,24.47
2015-08-10,25.533,1.9,26.373,80.15,36.72,40.2417,0.5726,22.45,114.53,15.8247,20.83,26.65
2015-08-11,25.9268,1.9,26.2955,80.15,37.55,40.5278,0.5741,22.24,115.54,15.878,20.75,26.63
2015-08-12,25.9065,1.79,26.483,80.07,35.62,40.5191,0.5692,22.36,115.02,16.1673,20.54,25.94
2015-08-13,26.0888,1.84,26.576,79.99,34.04,40.7532,0.5697,22.23,115.64,16.21,20.38,25.86
2015-08-14,26.3587,1.8,26.761,80.08,38.15,41.0307,0.5661,21.7,118.48,16.9993,20.28,25.23
2015-08-17,26.2102,1.8,26.751,80.04,35.57,41.2577,0.5609,22.0,116.59,17.3813,20.03,25.79
2015-08-18,25.875,1.8,26.646,80.2,34.0,40.6816,0.5587,22.42,114.4,17.0167,19.91,26.77
2015-08-19,25.3441,1.7,25.789,80.19,28.47,39.8524,0.5386,24.33,104.98,16.1453,19.61,31.39
2015-08-20,23.794,1.78,24.7235,80.29,28.54,37.5919,0.5218,27.42,91.92,15.3847,18.88,42.01
2015-08-21,23.2,1.75,23.1685,80.3,24.51,36.3787,0.5033,30.71,81.03,14.5913,18.76,57.27
2015-08-24,23.3395,1.66,23.3185,80.29,24.9,35.3226,0.4929,31.1,79.96,14.6687,18.76,66.28
2015-08-25,24.6781,1.72,25.0385,80.2,28.76,37.2776,0.53,26.38,91.5,14.9893,19.45,54.35
2015-08-26,25.4048,1.78,25.9185,80.2,30.92,38.3163,0.55,24.36,98.65,16.1993,19.94,57.31
2015-08-27,25.4881,1.85,25.9005,80.1,32.9,38.3425,0.5524,24.4,98.57,16.5653,20.0,63.0
2015-08-28,25.3688,1.81,25.6445,80.07,29.97,37.9846,0.5463,25.3,94.91,16.604,19.88,67.6
2015-08-31,24.2349,1.71,24.827,80.11,27.42,36.5009,0.524,27.65,86.3,15.9087,19.41,87.28
2015-09-01,25.2743,1.77,25.5275,80.13,30.8,37.845,0.5398,25.37,93.32,16.5127,19.94,69.1
2015-09-02,24.8311,1.79,25.236,80.13,27.97,37.9672,0.5412,25.73,91.78,16.3713,20.07,68.46
2015-09-03,24.5836,1.82,24.95,80.18,28.48,37.1904,0.5286,26.58,88.71,16.1287,19.67,78.34
2015-09-04,25.2676,1.88,25.877,80.11,31.99,38.3076,0.5512,24.34,96.24,16.5447,20.05,64.31
2015-09-08,24.7816,1.85,25.8445,80.13,29.65,37.5919,0.5403,25.19,92.89,16.594,19.88,67.09
2015-09-09,25.3261,1.84,26.112,80.11,31.98,37.7839,0.5488,24.39,95.86,16.5653,19.7,63.8
2015-09-10,25.695,2.01,26.472,80.18,33.54,37.9497,0.5505,23.94,97.41,16.6827,19.9,60.76
2015-09-11,25.9425,1.82,26.069,80.15,33.29,37.5657,0.5514,24.18,96.54,16.8793,20.04,60.84
2015-09-14,26.1607,1.86,26.1185,79.96,34.25,38.3861,0.5575,23.29,99.91,16.9047,20.39,48.92
2015-09-15,26.19,1.89,26.3695,80.01,33.21,38.6654,0.5614,22.94,101.58,17.4833,20.67,42.86
2015-09-16,25.6298,1.89,26.9435,80.22,36.44,38.6218,0.5665,22.86,101.86,17.4713,20.65,42.4
2015-09-17,25.524,1.87,27.013,80.33,36.21,37.9497,0.566,23.82,97.55,17.3747,20.59,52.84
2015-09-18,25.92,1.81,27.4195,80.2,30.29,38.4996,0.5719,23.64,98.38,17.6133,20.53,46.19
2015-09-21,25.5128,1.73,26.92,80.28,28.3,38.3163,0.5563,24.67,94.04,17.396,19.95,50.84
2015-09-22,25.7198,1.7,26.8035,80.28,27.99,38.2901,0.559,24.69,94.19,17.404,20.01,48.72
2015-09-23,25.8728,1.72,26.6875,80.27,27.23,38.325,0.5697,24.86,93.1,17.5413,19.99,51.18
2015-09-24,25.8075,1.71,26.2125,80.23,21.64,38.3512,0.5738,25.54,90.84,17.1273,20.05,53.78
2015-09-25,25.2968,1.66,25.203,80.29,16.72,37.7839,0.5663,27.77,83.01,16.562,19.63,61.46
2015-09-28,24.5364,1.67,24.8035,80.36,14.73,37.9148,0.5762,28.1,81.78,16.4433,19.89,61.55
2015-09-29,24.8154,1.72,25.5945,80.39,16.25,38.6305,0.5991,26.27,87.19,16.56,20.75,55.86
2015-09-30,24.6534,1.74,26.036,80.3,16.53,38.936,0.5874,25.9,88.41,15.992,20.86,54.71
2015-10-01,24.8334,1.83,26.627,80.49,18.92,39.7739,0.6027,24.48,93.0,16.5047,20.76,49.05
2015-10-02,24.9233,1.8,27.184,80.4,19.38,40.6991,0.6178,23.43,97.24,16.41,21.4,43.52
2015-10-05,25.0426,1.83,26.874,80.42,16.85,40.8038,0.6258,23.72,95.85,16.0973,21.23,44.44
2015-10-06,24.9233,1.86,27.097,80.37,17.74,40.8474,0.6324,23.36,97.39,15.464,21.93,42.23
2015-10-07,24.6354,1.93,26.658,80.38,17.09,41.4148,0.636,23.07,98.58,15.1147,22.25,38.21
2015-10-08,25.2248,1.96,26.99,80.36,18.01,41.118,0.6336,22.74,99.78,14.7127,21.93,38.16
2015-10-09,25.1078,1.87,27.5095,80.42,17.44,41.022,0.6404,22.6,100.62,14.372,22.09,33.46
2015-10-12,25.1506,1.92,27.445,80.45,15.2,40.926,0.6416,23.04,98.65,14.6167,21.95,36.7
2015-10-13,24.7951,1.95,27.2415,80.59,15.72,40.7427,0.6649,23.1,98.23,14.4587,22.34,38.25
2015-10-14,25.1663,1.97,28.122,80.51,19.02,41.0307,0.6666,21.99,103.03,14.754,21.95,32.81
2015-10-15,24.9818,1.94,28.538,80.47,18.81,41.4671,0.6771,21.67,104.31,15.134,22.16,31.95
2015-10-16,25.1371,2.01,28.6575,80.51,19.28,41.5631,0.6759,21.32,106.18,15.2067,22.23,27.53
2015-10-19,25.596,2.02,28.044,80.36,17.32,41.6941,0.6749,21.66,104.42,14.202,22.31,29.44
2015-10-20,25.5938,2.1,27.7885,80.42,17.22,41.1965,0.6661,22.02,102.74,14.006,22.22,33.53
2015-10-21,25.9853,2.14,28.1955,80.48,17.05,41.921,0.6902,20.71,108.83,14.1147,22.51,27.33
2015-10-22,26.7907,2.21,29.9515,80.4,18.38,46.1454,0.6948,18.98,117.88,13.9393,22.47,27.7
2015-10-23,25.9358,2.15,30.4305,80.39,18.48,47.3499,0.6917,18.93,118.23,14.3507,22.16,29.52
2015-10-26,25.7715,2.15,30.5505,80.43,19.64,46.8611,0.6912,18.78,119.0,14.0233,22.2,28.33
2015-10-27,26.8334,2.18,30.855,80.31,21.22,47.1142,0.6968,18.36,121.76,14.1973,22.08,26.74
2015-10-28,27.1169,2.13,31.3275,80.2,19.61,46.5731,0.6727,18.45,121.31,14.1087,21.82,27.36
2015-10-29,26.8852,2.12,31.295,80.24,19.25,45.9446,0.6895,18.65,119.65,13.7953,21.96,28.2
2015-10-30,27.2632,2.19,31.4175,80.05,22.79,46.4683,0.6975,18.05,123.73,14.2527,22.1,25.27
2015-11-02,27.5759,2.28,31.2655,80.04,23.4,47.2626,0.6926,17.85,124.91,13.89,22.77,26.45
2015-11-03,27.4476,2.2,32.0475,79.9,23.81,47.4808,0.6812,17.83,124.96,15.442,23.55,28.1
2015-11-04,27.3211,2.2,32.7825,79.93,22.55,47.4633,0.6734,18.0,123.86,15.4513,22.98,26.9
2015-11-05,27.3527,2.15,32.9685,79.78,22.53,47.9346,0.7668,17.95,124.27,15.4907,22.82,25.76
2015-11-06,27.242,2.11,32.7745,79.77,23.17,47.2713,0.7634,18.51,120.27,15.022,22.96,28.42
2015-11-09,26.3834,2.02,32.984,79.87,22.86,46.704,0.7488,18.68,119.42,14.4333,22.51,26.84
2015-11-10,26.2343,2.07,33.6625,79.85,21.73,46.8262,0.7415,18.73,118.89,14.6053,22.58,27.96
