Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-05-08,25.02,121.2,28.69,184.77,27.36,286.66,9.36,148.3,60.97,50.91,41.08
2019-05-09,25.02,121.43,28.68,185.0,27.25,288.1,9.35,149.52,61.14,51.63,36.51
2019-05-10,24.84,122.67,29.68,178.58,27.93,280.86,10.32,132.7,54.82,47.81,44.37
2019-05-13,24.98,122.46,29.37,180.54,27.68,283.4,9.98,139.13,56.54,49.01,40.79
2019-05-14,25.29,122.39,28.94,183.09,27.53,285.06,9.57,143.3,58.89,49.86,38.27
2019-05-15,25.57,121.51,28.65,184.93,27.29,287.7,9.28,147.79,60.73,51.21,35.85
2019-05-16,25.65,120.65,28.97,183.04,27.46,285.84,9.57,143.95,58.84,50.25,36.55
2019-05-17,25.48,120.64,29.44,179.95,27.65,283.95,10.05,136.29,55.89,49.28,37.32
2019-05-20,25.51,120.36,29.17,181.83,27.42,286.51,9.76,141.18,57.57,50.55,34.6
2019-05-21,25.52,120.24,29.27,181.02,27.49,285.63,9.87,138.98,56.82,50.12,33.97
2019-05-22,25.39,121.17,29.74,178.25,27.83,282.14,10.32,131.72,54.14,48.32,37.4
2019-05-23,25.44,121.3,29.76,178.16,27.78,282.78,41.4,131.84,54.06,48.51,36.23
2019-05-24,25.6,120.83,29.89,177.49,28.03,280.15,41.92,130.33,53.48,47.21,37.8
2019-05-28,25.49,120.87,30.13,176.03,28.23,278.27,42.94,128.06,52.14,46.27,38.9
2019-05-29,25.55,121.69,29.99,176.77,28.16,279.03,42.41,130.42,52.76,46.6,37.77
2019-05-30,25.35,123.33,30.49,173.95,28.54,275.27,44.44,123.99,50.22,44.69,40.23
2019-05-31,25.26,125.11,31.15,170.12,28.62,274.57,47.29,117.31,47.01,44.33,40.64
2019-06-03,25.3,125.15,30.3,174.91,28.01,280.53,43.48,128.99,50.82,47.21,37.36
2019-06-04,25.39,125.47,30.06,176.21,27.77,282.96,42.49,134.41,51.94,48.4,36.17
2019-06-05,25.36,125.88,29.83,177.61,27.6,284.8,41.5,138.86,53.14,49.32,35.03
2019-06-06,25.56,126.59,29.28,181.04,27.32,287.65,39.14,146.45,56.17,50.81,35.46
2019-06-07,25.43,125.33,28.95,183.15,27.21,288.97,37.77,150.79,58.22,51.51,34.99
2019-06-10,25.38,125.18,28.89,183.4,27.2,288.9,37.58,151.04,58.44,51.47,35.15
2019-06-11,25.49,125.83,29.07,182.34,27.26,288.39,38.24,148.39,57.45,51.19,34.85
2019-06-12,25.64,126.6,28.91,183.42,27.15,289.58,37.59,149.66,58.39,51.86,34.54
2019-06-13,25.76,126.56,29.03,182.64,27.2,289.26,38.12,145.58,57.63,51.6,34.08
2019-06-14,25.75,126.48,28.88,183.74,27.18,289.37,37.4,146.36,58.68,51.69,33.46
2019-06-17,25.95,127.12,28.44,186.41,26.91,292.4,35.82,153.97,61.22,53.22,33.11
2019-06-18,26.04,127.89,28.32,187.11,26.84,293.06,35.39,155.76,61.94,53.66,31.36
2019-06-19,25.99,131.11,28.08,188.85,26.6,295.86,34.45,162.34,63.64,55.15,31.63
2019-06-20,25.57,131.98,28.13,188.57,26.64,294.0,34.57,160.06,63.35,54.94,32.69
