Date,QID,SHV,SHY,SOXL,SPLV,SQQQ,STIP,TECL,TLT,TMF,TMV,TQQQ,UDN,UGL,UPRO,UUP,VIXY,XLP
2012-06-29,32.13,110.21,84.36,28.09,27.68,46.45,102.15,49.01,126.21,80.71,53.14,50.4,26.55,79.72,76.73,22.52,30.14,34.96
2012-07-02,31.6,110.21,84.36,29.37,27.74,45.37,102.26,50.09,125.28,78.99,54.32,51.6,26.57,82.13,78.33,22.5,29.55,35.13
2012-07-03,31.55,110.2,84.38,28.57,27.7,45.25,102.36,50.25,125.89,80.08,53.5,51.78,26.23,80.23,77.23,22.8,30.62,35.0
2012-07-05,32.37,110.21,84.41,26.48,27.63,46.92,102.32,48.01,127.02,82.29,52.09,49.74,26.04,78.25,75.04,22.95,30.29,34.96
2012-07-06,32.45,110.19,84.42,25.56,27.58,47.17,102.32,47.65,128.16,84.4,50.67,49.57,26.1,78.54,74.81,22.88,30.05,34.92
2012-07-09,33.06,110.21,84.41,23.77,27.57,48.48,102.44,46.15,128.44,84.94,50.34,48.05,26.03,76.68,72.83,22.96,30.88,34.96
2012-07-10,33.44,110.19,84.43,23.03,27.61,49.3,102.36,45.45,128.58,85.2,50.2,47.39,26.02,77.4,72.8,22.98,29.83,34.91
2012-07-11,34.06,110.2,84.44,21.99,27.62,50.75,102.44,44.02,129.47,87.06,49.14,46.02,25.96,76.98,71.86,23.03,30.14,34.94
2012-07-12,33.03,110.2,84.46,22.55,27.85,48.45,102.37,45.98,129.19,86.34,49.5,48.02,26.05,78.5,75.4,22.93,28.4,35.33
2012-07-13,33.22,110.21,84.5,21.8,27.77,48.85,102.53,45.73,129.78,87.65,48.78,47.66,26.13,78.61,74.77,22.86,28.02,35.15
2012-07-16,32.86,110.21,84.48,21.5,27.92,48.07,102.57,46.18,128.78,85.65,49.87,48.38,26.15,77.81,76.38,22.84,27.01,35.3
2012-07-17,31.97,110.22,84.5,23.68,28.0,46.08,102.62,48.59,128.82,85.56,49.79,50.36,26.18,77.37,78.12,22.82,27.3,35.31
2012-07-18,31.28,110.2,84.52,25.19,28.01,44.58,102.65,49.89,128.46,85.08,50.16,52.0,26.22,77.76,78.65,22.81,26.65,35.25
2012-07-19,32.08,110.2,84.54,23.93,27.86,46.26,102.65,48.27,130.02,88.05,48.43,50.05,26.01,78.07,76.58,22.98,28.09,35.07
2012-07-20,32.83,110.22,84.54,23.22,27.63,48.0,102.54,46.89,130.78,89.56,47.53,48.15,25.96,77.39,74.18,23.01,29.88,34.74
2012-07-23,33.4,110.21,84.53,23.0,27.38,49.12,102.49,45.31,131.81,91.64,46.43,47.05,25.85,77.79,72.36,23.1,31.15,34.63
2012-07-24,33.83,110.2,84.53,24.22,27.41,50.12,102.36,44.69,132.14,92.42,46.09,46.0,25.98,80.04,72.3,22.98,30.79,34.64
2012-07-25,32.91,110.2,84.53,25.92,27.78,48.24,102.45,46.8,130.91,89.87,47.31,47.55,26.25,81.15,75.85,22.75,28.48,35.21
2012-07-26,31.3,110.2,84.48,27.72,28.17,44.63,102.56,49.96,128.53,84.98,49.91,51.42,26.26,81.95,80.17,22.74,27.64,35.62
2012-07-27,31.41,110.2,84.51,26.99,28.26,44.86,102.62,50.1,129.42,86.55,48.89,51.11,26.23,81.78,80.01,22.77,28.16,35.79
