Date,AAPL,AMD,AMGN,AMZN,AVGO,CSCO,GD,GOOGL,INTC,META,MSFT,MSTR,NFLX,NOC,NVDA,PEP,RTX,SBUX,SOXL,SOXS,SPXL,TECL,TMUS,TNA,TSLA,UVXY,VIXM,VIXY
2012-06-29,17.8077,5.75,52.5002,11.466,2.5675,11.4382,48.8275,14.4397,18.7138,30.6021,24.3346,130.26,9.6929,50.1045,0.3083,48.292,34.6407,20.7018,28.09,38.86,76.76,49.01,10.2684,55.69,2.0267,8.56,53.72,30.14
2012-07-02,18.0148,6.03,53.0651,11.4765,2.5856,11.4851,49.2894,14.6228,18.8471,31.0298,24.4939,132.87,10.2914,50.4199,0.3163,48.292,34.9685,20.3685,29.37,37.19,78.33,50.09,10.6075,57.91,2.044,8.18,52.79,29.55
2012-07-03,18.3312,5.88,52.4791,11.353,2.574,11.3444,49.3415,14.824,18.6296,31.2983,24.4461,134.93,11.6743,50.412,0.3131,47.8893,34.8023,20.5489,28.57,38.1,77.27,50.25,10.3814,57.79,2.082,8.72,53.89,30.62
2012-07-05,18.2092,5.75,52.1402,11.2525,2.4944,11.2306,48.5966,14.5767,18.356,31.5569,24.04,119.57,11.6986,50.0493,0.3072,47.9234,34.2022,20.3803,26.48,40.92,75.18,48.01,10.3491,55.81,2.066,8.57,53.43,30.29
2012-07-06,18.45,5.62,52.8109,11.2525,2.4083,11.1502,48.4551,14.5775,18.363,31.9945,23.8887,118.22,11.8557,50.1597,0.303,47.7665,34.313,20.545,25.56,42.5,74.85,47.65,10.2038,55.22,2.0993,8.4,52.35,30.05
2012-07-09,18.2793,4.99,52.9027,10.975,2.4184,10.9895,47.9933,14.4703,17.935,31.2983,23.6817,113.32,11.4614,49.7418,0.2939,47.6846,34.2299,20.5254,23.77,45.32,72.87,46.15,10.4622,53.33,2.0847,8.84,52.64,30.88
2012-07-10,18.1657,4.89,53.7217,10.9185,2.3946,10.9694,47.6059,14.2088,17.8157,30.801,23.3313,113.49,11.6629,49.5367,0.2891,47.862,33.4728,20.4548,23.03,46.6,72.88,45.45,10.5752,52.71,2.1007,8.25,51.65,29.83
2012-07-11,17.9994,4.88,53.524,10.768,2.357,10.7015,47.3154,14.1912,17.3596,30.6419,22.7978,114.81,12.1386,49.0163,0.2843,47.6709,33.1635,20.6587,21.99,48.94,71.74,44.02,10.0585,52.16,2.18,8.41,52.31,30.14
2012-07-12,18.1819,4.9,54.3359,10.9195,2.3982,10.9225,48.3136,14.3414,17.7174,30.5524,23.403,116.56,12.1286,50.3016,0.2879,48.0531,33.9714,21.0234,22.55,47.52,75.29,45.98,10.1715,54.08,2.2833,7.52,50.54,28.4
2012-07-13,18.2402,4.83,54.5548,10.8005,2.3685,10.8422,47.7027,14.3016,17.6332,28.0959,23.4428,116.64,11.8543,50.0651,0.2888,48.0121,33.7959,20.745,21.8,49.06,74.86,45.73,10.2684,53.58,2.3973,7.27,51.17,28.02
