Date,PSQ,QLD,QQQ,SHY,SPY
2011-03-23,32.97,87.95,56.73,83.88,130.9
2011-03-24,32.88,88.17,56.84,83.82,131.29
2011-03-25,33.06,87.12,56.51,83.79,130.94
2011-03-28,32.76,88.75,57.08,83.75,131.86
2011-03-29,32.59,89.7,57.36,83.8,132.7
2011-03-30,32.54,90.0,57.43,83.76,132.51
2011-03-31,32.55,90.04,57.46,83.75,133.15
2011-04-01,32.63,89.5,57.27,83.77,133.24
2011-04-04,32.71,88.95,57.09,83.7,133.24
2011-04-05,32.64,89.38,57.22,83.68,133.66
2011-04-06,32.65,89.34,57.23,83.74,133.32
2011-04-07,32.81,88.47,56.93,83.71,132.86
2011-04-08,32.91,87.88,56.77,83.7,132.47
2011-04-11,33.13,86.71,56.37,83.84,131.45
2011-04-12,32.85,88.14,56.85,83.89,131.45
2011-04-13,32.93,87.76,56.74,83.81,131.56
2011-04-14,32.98,87.48,56.65,83.95,132.12
2011-04-15,33.2,86.22,56.23,83.98,130.53
2011-04-18,32.98,87.31,56.6,83.99,131.28
2011-04-19,32.24,91.28,57.88,83.99,133.16
2011-04-20,31.98,92.69,58.34,83.96,133.74
2011-04-21,31.89,93.18,58.49,84.0,133.62
2011-04-25,31.72,94.24,58.83,84.07,134.79
2011-04-26,31.49,95.53,59.23,84.08,135.63
2011-04-27,31.53,95.12,59.17,84.1,136.04
2011-04-28,31.59,95.16,59.13,84.13,136.54
2011-04-29,31.62,94.75,58.97,84.06,136.25
2011-05-02,31.78,93.77,58.7,84.07,135.71
2011-05-03,31.82,93.57,58.61,84.11,134.86
2011-05-04,31.99,92.44,58.3,84.13,133.63
2011-05-05,31.89,93.16,58.47,84.15,134.2
2011-05-06,31.76,93.83,58.69,84.19,134.72
2011-05-09,31.49,95.35,59.19,84.12,135.87
2011-05-10,31.72,93.97,58.76,84.19,134.45
2011-05-11,31.54,95.09,59.11,84.14,135.1
2011-05-12,31.9,92.83,58.41,84.19,134.04
