Date,BIL,SQQQ,TQQQ,UPRO
2010-02-11,45.87,76.34,83.66,135.61
2010-02-12,45.85,73.63,86.7,141.85
2010-02-16,45.84,72.5,88.09,143.83
2010-02-17,45.86,70.76,89.79,146.58
2010-02-18,45.84,70.85,89.69,147.6
2010-02-19,45.86,71.41,89.13,147.27
2010-02-22,45.84,73.85,85.65,141.97
2010-02-23,45.86,71.94,88.3,145.91
2010-02-24,45.86,71.44,88.19,145.48
2010-02-25,45.86,71.02,89.29,145.77
2010-02-26,45.84,67.97,93.03,150.15
2010-03-01,45.85,67.48,93.68,151.2
2010-03-02,45.84,67.39,94.2,151.8
2010-03-03,45.84,66.51,95.24,153.14
2010-03-04,45.84,63.61,99.3,159.8
2010-03-05,45.84,63.08,99.98,159.78
2010-03-08,45.84,62.11,101.75,160.53
2010-03-09,45.85,60.51,104.24,162.76
2010-03-10,45.84,59.93,105.2,164.86
2010-03-11,45.84,59.83,105.33,164.74
2010-03-12,45.84,60.2,104.73,165.01
2010-03-15,45.84,58.9,106.77,168.95
2010-03-16,45.84,58.75,107.45,171.85
2010-03-17,45.84,58.05,108.54,171.56
2010-03-18,45.84,59.09,106.62,169.07
2010-03-19,45.85,57.44,109.55,171.63
2010-03-22,45.85,56.3,111.74,175.45
2010-03-23,45.84,56.9,110.2,172.63
2010-03-24,45.86,57.37,109.51,171.74
2010-03-25,45.86,57.02,110.08,171.93
2010-03-26,45.84,56.37,111.23,174.88
2010-03-29,45.84,55.79,112.76,175.13
2010-03-30,45.86,56.34,111.24,173.36
2010-03-31,45.86,56.52,111.02,176.94
2010-04-01,45.84,54.9,114.23,181.11
2010-04-05,45.84,54.46,115.01,182.44
2010-04-06,45.84,54.74,114.45,179.54
2010-04-07,45.84,54.59,114.8,181.11
2010-04-08,45.84,53.61,116.93,184.69
2010-04-09,45.84,53.36,117.26,185.73
2010-04-12,45.84,52.51,119.17,186.31
2010-04-13,45.84,50.67,123.37,192.28
2010-04-14,45.84,50.06,125.0,193.02
2010-04-15,45.84,51.64,120.56,183.8
2010-04-16,45.85,51.86,120.38,185.52
2010-04-19,45.84,51.16,122.16,190.6
2010-04-20,45.84,50.15,124.21,189.51
2010-04-21,45.84,49.36,126.15,191.26
2010-04-22,45.84,48.72,127.82,195.03
2010-04-23,45.85,49.09,126.97,192.75
2010-04-26,45.84,52.1,119.04,179.27
2010-04-27,45.85,52.02,119.32,182.96
2010-04-28,45.85,49.33,125.53,189.97
2010-04-29,45.84,52.28,118.1,180.33
2010-04-30,45.85,50.02,122.84,187.57
2010-05-03,45.84,54.57,111.98,174.28
2010-05-04,45.85,55.29,110.14,171.13
2010-05-05,45.86,60.95,99.35,153.76
2010-05-06,45.86,65.18,91.8,147.29
2010-05-07,45.86,55.48,105.86,166.39
2010-05-10,45.86,55.42,105.79,164.95
2010-05-11,45.86,52.44,111.43,171.95
2010-05-12,45.85,54.76,106.45,165.55
2010-05-13,45.86,58.06,100.04,156.61
2010-05-14,45.86,57.52,101.18,156.78
2010-05-17,45.85,59.76,97.38,150.53
2010-05-18,45.86,61.19,94.81,147.95
2010-05-19,45.86,67.17,85.22,130.9
2010-05-20,45.86,66.43,85.88,135.66
2010-05-21,45.86,65.96,86.59,131.42
2010-05-24,45.86,66.47,85.74,131.9
2010-05-25,45.87,68.37,83.32,129.17
2010-05-26,45.85,60.75,92.34,142.41
2010-05-27,45.86,61.69,90.73,136.78
2010-05-28,45.86,63.66,88.53,130.19
2010-06-01,45.87,59.13,94.76,140.15
2010-06-02,45.85,57.33,97.3,141.78
2010-06-03,45.87,63.12,87.62,127.37
2010-06-04,45.86,66.61,82.5,122.1
2010-06-07,45.87,66.81,82.08,125.64
2010-06-08,45.87,68.63,80.27,123.69
2010-06-09,45.87,62.7,86.93,134.91
2010-06-10,45.87,61.05,89.2,136.63
2010-06-11,45.85,61.3,89.25,136.22
2010-06-14,45.85,56.21,95.77,145.28
2010-06-15,45.85,55.32,97.7,145.12
2010-06-16,45.85,54.62,98.61,145.84
2010-06-17,45.86,54.6,98.95,146.27
2010-06-18,45.85,56.01,96.35,144.86
2010-06-21,45.86,57.4,94.07,137.91
2010-06-22,45.86,58.08,92.82,136.4
2010-06-23,45.86,61.01,88.31,129.68
2010-06-24,45.86,60.95,88.25,132.16
2010-06-25,45.86,61.65,87.46,129.86
2010-06-28,45.86,68.47,77.7,118.04
2010-06-29,45.87,71.83,73.86,113.96
2010-06-30,45.86,72.51,73.14,113.23
2010-07-01,45.86,73.11,72.74,111.26
2010-07-02,45.85,72.61,73.12,113.33
2010-07-06,45.85,65.58,80.03,124.03
2010-07-07,45.86,64.6,81.38,127.67
2010-07-08,45.85,62.55,83.66,130.44
2010-07-09,45.86,62.01,84.61,130.81
2010-07-12,45.86,59.88,87.5,136.55
2010-07-13,45.86,58.7,88.9,136.69
2010-07-14,45.86,58.39,89.21,136.79
2010-07-15,45.86,63.09,82.03,125.43
2010-07-16,45.85,61.81,83.88,127.81
2010-07-19,45.85,59.45,86.53,131.88
2010-07-20,45.85,61.88,83.5,126.92
2010-07-21,45.85,57.68,89.13,135.28
2010-07-22,45.86,56.18,91.45,138.69
2010-07-23,45.84,54.81,93.46,143.28
