Date,BSV,SQQQ,TECL,TQQQ,UPRO,UVXY
2012-06-29,81.02,46.45,49.01,50.4,76.73,8.56
2012-07-02,81.04,45.37,50.09,51.6,78.33,8.18
2012-07-03,81.04,45.25,50.25,51.78,77.23,8.72
2012-07-05,81.12,46.92,48.01,49.74,75.04,8.57
2012-07-06,81.15,47.17,47.65,49.57,74.81,8.4
2012-07-09,81.2,48.48,46.15,48.05,72.83,8.84
2012-07-10,81.2,49.3,45.45,47.39,72.8,8.25
2012-07-11,81.22,50.75,44.02,46.02,71.86,8.41
2012-07-12,81.24,48.45,45.98,48.02,75.4,7.52
2012-07-13,81.28,48.85,45.73,47.66,74.77,7.27
2012-07-16,81.26,48.07,46.18,48.38,76.38,6.74
2012-07-17,81.3,46.08,48.59,50.36,78.12,6.88
2012-07-18,81.33,44.58,49.89,52.0,78.65,6.57
2012-07-19,81.41,46.26,48.27,50.05,76.58,7.27
2012-07-20,81.34,48.0,46.89,48.15,74.18,8.18
2012-07-23,81.36,49.12,45.31,47.05,72.36,8.87
2012-07-24,81.41,50.12,44.69,46.0,72.3,8.67
2012-07-25,81.39,48.24,46.8,47.55,75.85,7.35
2012-07-26,81.28,44.63,49.96,51.42,80.17,6.9
2012-07-27,81.39,44.86,50.1,51.11,80.01,7.19
2012-07-30,81.43,44.9,50.63,51.14,78.83,7.57
2012-07-31,81.24,45.15,50.1,50.64,78.21,7.25
2012-08-01,81.24,45.68,49.25,50.13,76.57,6.95
2012-08-02,81.24,43.08,51.95,52.96,81.11,6.01
2012-08-03,81.25,42.11,52.98,54.15,81.51,5.73
2012-08-06,81.21,41.07,54.04,55.49,82.74,6.03
2012-08-07,81.2,41.12,54.22,55.4,83.1,5.53
2012-08-08,81.13,40.78,54.79,55.87,83.35,5.48
2012-08-09,81.22,40.62,55.09,56.06,83.76,5.26
2012-08-10,81.21,40.34,55.55,56.4,83.51,4.99
2012-08-13,81.13,40.3,55.18,56.52,83.65,5.54
2012-08-14,81.1,40.0,55.34,56.92,83.87,5.55
2012-08-15,81.11,38.56,57.56,58.96,85.71,5.33
2012-08-16,81.14,38.04,58.5,59.77,86.14,5.02
2012-08-17,81.09,37.86,58.7,60.0,86.14,5.03
2012-08-20,81.16,38.38,57.53,59.31,85.34,5.3
2012-08-21,81.27,37.88,57.87,59.95,85.34,5.39
2012-08-22,81.32,38.72,56.44,58.62,83.35,5.61
2012-08-23,81.28,38.08,57.39,59.66,84.88,5.14
2012-08-24,81.3,37.88,57.53,59.95,84.88,5.24
2012-08-27,81.31,37.85,57.24,59.94,84.62,5.41
2012-08-28,81.32,37.85,57.67,59.96,84.79,5.46
2012-08-29,81.38,39.0,55.68,58.13,82.96,5.69
2012-08-30,81.51,38.3,56.82,59.37,84.06,5.32
2012-08-31,81.28,38.28,56.93,59.12,83.66,5.23
2012-09-04,81.3,38.44,56.8,58.85,83.69,4.96
