Date,AMD,DBC,ENPH,NVDA,SOXX,SSO,VIXM,XLE
2012-03-30,8.2,29.17,7.81,0.3514,59.5,59.21,55.91,72.42
2012-04-02,7.98,29.04,7.64,0.3457,58.55,58.8,56.57,71.82
2012-04-03,7.81,28.58,7.45,0.3358,57.26,57.52,56.5,70.9
2012-04-04,7.87,28.7,7.43,0.3354,57.35,57.53,56.99,70.5
2012-04-05,7.75,28.57,6.98,0.331,56.59,56.23,58.7,69.63
2012-04-09,7.53,28.19,7.07,0.3246,55.52,54.32,61.36,68.24
2012-04-10,7.64,28.26,7.13,0.3287,56.45,55.14,61.04,68.23
2012-04-11,7.92,28.63,7.3,0.3365,57.52,56.7,59.02,69.73
2012-04-12,7.73,28.34,7.1,0.3246,56.5,55.27,60.04,68.7
2012-04-13,7.7,28.07,7.16,0.3207,56.48,55.17,59.56,68.24
2012-04-16,7.94,28.19,7.0,0.3214,57.4,56.87,58.61,69.35
2012-04-17,7.97,27.92,7.29,0.3179,56.94,56.47,58.66,69.23
2012-04-18,7.97,27.93,7.04,0.3131,56.24,55.81,59.1,69.1
2012-04-19,7.76,28.04,7.02,0.3069,54.94,55.94,58.1,68.95
2012-04-20,7.39,27.99,6.98,0.3033,54.27,54.96,58.96,68.89
2012-04-23,7.31,28.0,6.91,0.2939,53.87,55.4,58.47,69.4
2012-04-24,7.39,28.15,6.88,0.2998,55.07,56.97,56.48,70.1
2012-04-25,7.45,28.21,6.86,0.3001,56.34,57.72,55.36,70.83
2012-04-26,7.33,28.3,6.75,0.2975,56.35,57.92,55.37,70.8
2012-04-27,7.36,28.41,7.28,0.298,56.11,57.42,55.69,71.17
2012-04-30,7.59,28.41,7.92,0.3033,56.28,58.14,54.81,72.26
2012-05-01,7.63,28.04,8.0,0.2946,56.55,57.82,54.78,71.08
2012-05-02,7.41,27.73,8.82,0.2895,55.14,56.95,54.54,69.93
2012-05-03,7.18,27.24,8.36,0.281,54.03,55.11,56.03,68.3
2012-05-04,7.18,27.18,8.34,0.2859,53.88,55.15,55.23,68.1
2012-05-07,7.03,27.07,8.48,0.2856,53.56,54.74,55.57,67.9
2012-05-08,6.86,26.87,8.65,0.2868,53.37,54.06,56.67,67.55
2012-05-09,6.78,26.88,8.6,0.2847,53.14,54.25,55.75,67.84
2012-05-10,6.78,26.68,8.43,0.3028,53.54,53.96,56.29,67.34
2012-05-11,6.75,26.33,8.22,0.301,53.01,52.77,57.87,66.23
2012-05-14,6.6,26.38,8.4,0.298,52.5,52.2,60.11,65.15
2012-05-15,6.39,26.35,8.32,0.292,51.58,51.78,61.76,64.75
2012-05-16,6.13,26.29,8.41,0.29,50.51,50.17,62.8,64.35
2012-05-17,6.01,26.27,7.99,0.2769,49.54,49.32,63.94,63.93
2012-05-18,6.3,26.62,8.1,0.2817,50.78,51.03,61.74,65.41
2012-05-21,6.16,26.24,7.99,0.2783,50.4,51.21,63.55,65.25
2012-05-22,6.08,25.95,7.9,0.2852,50.61,51.31,62.12,65.49
2012-05-23,6.02,25.96,7.85,0.2776,49.89,51.46,62.15,65.44
2012-05-24,6.22,26.05,7.79,0.2843,50.39,51.13,61.95,65.13
2012-05-25,6.46,25.94,7.8,0.2916,51.47,52.39,59.75,66.2
2012-05-29,6.15,25.46,7.01,0.2881,50.75,50.85,61.52,64.19
2012-05-30,6.08,25.24,6.9,0.2849,50.22,50.89,61.79,63.58
2012-05-31,5.73,24.72,5.95,0.2746,48.07,48.07,65.24,62.09
2012-06-01,5.63,24.86,4.96,0.2689,47.99,48.07,65.13,62.0
2012-06-04,5.83,24.77,5.33,0.2767,48.91,48.7,64.96,62.52
2012-06-05,6.02,25.23,6.69,0.284,50.45,50.99,63.04,64.45
2012-06-06,5.76,25.06,6.6,0.2726,50.0,50.96,63.18,64.49
2012-06-07,5.91,25.14,6.98,0.2778,50.52,51.82,60.95,64.48
2012-06-08,5.69,24.68,6.45,0.281,49.81,50.53,63.09,63.65
2012-06-11,5.91,24.79,7.08,0.2868,50.7,51.68,63.61,64.5
2012-06-12,5.76,24.61,7.02,0.2792,50.3,50.98,65.26,63.7
2012-06-13,5.76,24.9,7.24,0.2758,50.15,52.1,63.47,64.71
2012-06-14,5.87,24.86,7.01,0.2817,50.98,53.05,61.31,65.6
2012-06-15,5.93,24.88,6.95,0.2843,51.62,53.32,59.8,65.03
2012-06-18,5.81,25.09,7.0,0.3035,52.25,54.4,58.85,65.97
2012-06-19,6.06,24.68,6.8,0.3083,52.7,54.13,57.73,65.73
2012-06-20,5.72,24.15,6.6,0.2943,50.56,51.71,60.6,62.98
2012-06-21,5.73,24.39,6.61,0.298,51.29,52.42,56.98,63.44
2012-06-22,5.41,24.64,6.28,0.2886,49.63,50.8,59.56,62.05
2012-06-25,5.44,24.81,5.99,0.2918,49.82,51.31,58.05,62.71
2012-06-26,5.5,24.95,5.85,0.3012,50.47,52.23,58.02,63.99
2012-06-27,5.41,24.68,6.29,0.3035,50.11,51.95,57.04,64.43
2012-06-28,5.73,25.75,6.22,0.3168,52.32,54.58,55.08,66.37
2012-06-29,5.75,25.7,6.19,0.3083,52.29,54.77,53.72,66.39
2012-07-02,6.03,26.42,6.19,0.3163,52.88,55.59,52.79,67.99
