Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2018-11-29,91.61,78.08,21.28,63.91,22.27,28.95,23.52,62.84,40.94,31.08,31.75,40.84,81.84,169.37,28.75,110.47,95.77,106.89,36.64,275.65,13.53,114.92,115.33,16.51,21.71,50.69,41.95,47.31,30.57,25.92,52.3,55.87,89.76,28.41,25.15,54.61,66.11,26.97,72.54,67.94,56.26,33.85,55.59,95.87,107.99,70.72
2018-11-30,91.45,77.91,21.18,64.97,22.6,29.94,25.15,64.35,40.8,32.28,31.22,39.47,84.56,172.33,28.4,110.29,98.46,115.53,35.27,279.3,12.86,122.42,115.88,16.86,21.26,53.29,42.23,49.07,31.36,25.93,47.9,58.03,92.02,26.82,26.57,55.57,67.58,27.14,73.38,69.44,56.31,34.01,56.15,95.41,110.01,71.58
2018-12-03,91.46,77.94,21.44,60.53,21.68,25.95,23.02,57.17,39.16,27.62,32.4,42.45,78.08,165.72,29.3,110.29,93.57,98.68,38.54,270.25,14.29,108.2,117.82,17.72,20.19,47.43,40.55,44.41,31.56,25.88,57.15,54.39,89.22,30.31,23.68,53.92,65.64,25.96,70.26,66.81,55.36,33.56,56.19,93.28,106.05,69.01
2018-12-04,91.48,78.03,21.63,59.8,23.27,25.55,21.79,56.65,38.87,29.2,32.2,41.91,79.2,166.89,29.36,110.32,93.05,97.06,38.82,269.84,14.02,108.87,118.19,17.87,20.03,48.12,40.39,44.13,31.56,25.87,58.91,52.36,87.35,30.97,23.95,53.19,64.43,25.6,69.87,66.96,55.42,34.48,56.25,92.93,106.56,69.34
2018-12-06,91.49,78.11,21.82,55.36,22.43,23.64,21.36,53.47,37.75,28.14,33.26,44.69,73.9,161.38,30.06,110.33,89.52,86.19,41.6,263.57,15.43,97.29,118.41,17.97,19.91,43.41,39.22,41.04,32.0,25.8,65.47,49.96,86.9,33.21,21.9,51.91,64.07,25.11,68.03,64.6,54.72,33.96,56.46,90.56,103.37,67.57
2018-12-07,91.5,78.17,21.98,55.91,21.95,23.86,20.33,52.01,37.25,26.27,32.92,43.76,75.48,163.07,30.0,110.34,90.6,89.84,41.4,264.07,14.94,101.55,118.9,18.2,19.66,44.77,39.03,41.23,32.2,25.97,64.92,49.93,85.37,33.01,21.96,52.05,63.07,24.76,68.2,65.49,54.72,33.83,56.57,90.91,103.45,67.75
2018-12-10,91.49,78.14,22.0,56.41,22.02,23.35,20.34,51.02,37.94,25.76,32.85,43.49,75.95,163.61,30.0,110.33,91.09,91.43,41.38,264.13,14.79,101.84,118.88,18.18,19.67,45.25,39.54,41.22,32.5,26.04,64.62,49.53,85.36,32.92,21.95,51.88,63.09,24.52,67.8,65.57,55.17,33.89,56.8,91.19,103.49,67.78
2018-12-11,91.51,78.11,21.91,57.83,20.78,23.74,20.56,51.17,38.36,26.88,32.52,42.71,77.3,165.05,29.85,110.35,92.4,95.48,40.73,265.46,14.4,104.28,118.35,17.93,19.94,46.39,39.61,41.87,32.08,25.94,63.76,50.63,85.78,32.6,22.68,52.33,63.34,24.66,68.18,66.08,55.1,33.25,56.44,91.97,104.58,68.6
2018-12-12,91.52,78.19,22.0,57.99,21.18,23.56,20.77,50.62,37.79,26.2,32.53,42.7,77.37,165.1,29.88,110.37,92.11,94.42,40.81,265.37,14.39,104.66,118.07,17.81,20.1,46.4,39.71,41.82,32.81,25.94,62.28,49.52,85.21,32.1,22.33,51.72,63.54,24.48,67.99,66.19,55.44,33.48,56.93,92.06,104.06,67.53
2018-12-13,91.53,78.24,22.08,52.15,21.05,22.52,19.33,49.16,36.89,25.24,33.34,44.87,73.37,161.08,30.45,110.38,90.69,90.39,43.09,260.47,15.45,96.93,118.48,18.0,19.91,42.9,38.69,39.48,32.48,26.04,66.01,48.44,83.08,33.37,21.21,51.32,62.09,24.24,67.05,64.57,54.5,33.42,56.82,88.96,102.33,66.34
2018-12-14,91.54,78.35,22.02,48.94,18.63,21.34,18.23,46.61,35.0,24.71,34.08,46.8,70.29,157.43,31.05,110.4,89.58,87.0,45.72,255.36,16.53,90.84,119.17,18.32,19.55,40.13,36.79,37.09,29.38,25.97,70.92,46.82,81.45,35.07,19.42,50.44,60.96,24.0,65.95,63.2,53.24,32.17,54.99,87.19,99.73,64.52
2018-12-17,91.54,78.43,21.98,47.66,19.17,21.86,16.97,46.33,34.75,26.08,33.85,46.23,71.06,158.42,31.06,110.21,90.9,90.44,45.81,255.08,16.2,92.9,119.6,18.65,19.2,40.8,36.37,37.02,29.03,25.96,71.55,47.69,79.53,35.26,20.07,50.72,59.52,23.91,66.28,63.7,52.61,32.49,54.62,86.43,100.51,64.2
2018-12-18,91.37,78.43,22.21,45.83,18.5,20.6,16.34,44.64,34.11,25.22,34.67,48.52,67.7,154.53,31.54,110.22,86.9,79.01,47.94,251.26,17.39,87.52,121.18,19.36,18.45,37.85,35.5,35.32,28.8,25.97,70.97,46.29,78.48,35.06,18.91,50.03,58.82,23.61,65.03,62.44,52.1,32.19,54.53,85.3,98.52,63.53
2018-12-19,91.39,78.41,22.2,44.0,17.73,19.19,14.98,43.11,32.8,24.56,35.17,49.86,65.67,152.29,32.08,110.24,84.61,76.99,50.23,247.17,18.1,82.72,120.74,19.12,18.68,36.33,34.26,33.59,28.92,25.77,76.36,45.24,76.3,36.85,17.39,49.36,57.19,23.4,63.84,61.32,51.17,31.8,54.5,84.1,96.31,62.16
2018-12-20,91.41,78.48,22.3,42.18,17.01,18.28,14.5,40.54,31.63,22.26,36.3,53.08,61.44,147.57,32.72,110.26,83.18,73.46,53.4,240.7,19.9,74.82,120.72,19.14,18.67,32.82,33.98,31.48,28.35,25.94,82.49,44.5,75.32,38.82,16.38,48.6,56.11,22.79,62.25,59.2,50.18,30.95,53.81,82.68,93.76,60.21
2018-12-21,91.42,78.38,22.26,39.11,15.11,16.62,12.78,37.55,30.18,20.86,37.2,55.66,58.52,143.5,33.59,110.25,80.94,67.08,57.55,234.34,21.35,68.96,121.32,19.4,18.4,30.39,31.84,29.0,24.69,25.55,88.23,42.31,72.37,40.59,15.5,47.34,53.84,22.31,60.34,57.62,48.73,29.81,51.56,80.7,91.98,58.72
2018-12-24,91.41,78.23,22.1,44.39,16.41,18.83,15.13,42.65,31.11,23.63,34.83,48.59,65.68,152.46,31.86,110.25,85.55,78.61,48.87,246.18,17.34,81.25,120.02,18.76,18.99,35.86,33.61,33.15,25.68,25.68,81.49,45.68,77.03,38.57,18.13,49.46,57.19,23.32,63.15,61.1,50.09,30.76,52.26,84.22,97.43,61.52
2018-12-26,91.44,78.34,22.0,45.57,16.35,19.24,15.35,43.73,31.38,23.63,34.67,48.18,66.23,153.05,31.57,110.3,86.25,80.08,47.61,248.07,17.08,83.49,120.04,18.65,18.95,36.37,33.99,34.03,26.22,25.57,86.4,47.03,77.44,40.1,18.11,50.37,57.49,23.6,63.94,61.54,50.57,30.83,52.7,85.15,97.95,61.83
2018-12-27,91.45,78.48,22.08,45.69,16.53,19.22,14.94,43.67,32.14,23.98,34.71,48.27,66.15,152.97,31.64,110.32,86.84,81.77,47.83,247.75,17.13,82.69,121.05,19.14,18.48,36.22,34.05,33.87,26.44,25.5,86.55,46.83,76.69,40.16,18.36,50.1,57.05,23.59,63.77,61.4,50.57,30.94,52.83,85.25,97.96,62.3
2018-12-28,91.46,78.57,22.11,47.59,16.65,19.51,15.15,44.77,32.38,23.96,34.4,47.54,67.19,154.26,31.33,110.3,87.29,83.32,46.54,249.92,16.76,85.0,121.51,19.37,18.23,37.04,34.0,34.78,26.5,25.45,81.78,47.24,77.11,38.71,18.72,50.52,57.35,23.82,64.41,61.98,50.78,31.0,52.92,86.51,99.01,62.76
2018-12-31,91.45,78.64,21.9,45.63,15.42,20.0,16.07,44.95,32.9,25.05,34.3,47.14,67.69,154.88,31.33,110.31,87.95,85.53,46.49,250.18,16.5,85.03,122.15,19.68,17.98,37.57,34.01,34.85,25.21,25.64,77.95,48.16,78.82,37.45,19.38,50.78,58.48,24.02,64.74,62.02,50.48,30.29,52.01,85.2,99.76,63.44
2019-01-02,91.48,78.82,22.03,42.66,15.73,18.31,15.56,42.47,32.73,24.28,35.45,50.33,63.15,149.82,32.12,110.35,82.61,70.33,49.8,244.21,18.13,72.51,123.54,20.35,17.36,33.93,33.31,32.25,25.23,25.5,83.41,45.56,78.08,39.23,18.19,49.34,57.9,23.48,62.77,58.89,50.19,30.43,52.0,83.47,97.6,62.28
2019-01-03,91.49,78.62,21.65,46.45,16.26,20.41,17.19,46.29,34.01,27.27,33.85,45.84,68.81,156.23,31.01,110.38,86.47,79.42,44.83,252.39,15.75,81.71,122.11,19.67,17.95,38.27,35.03,35.53,26.15,25.46,73.49,49.17,80.95,36.09,19.95,51.28,59.87,24.26,65.15,61.5,51.26,30.74,52.77,85.96,100.83,64.74
2019-01-04,91.49,78.53,21.49,46.99,16.77,20.85,17.9,47.0,35.58,29.38,33.52,44.85,70.2,158.09,30.8,110.38,88.06,84.08,43.82,254.38,15.25,83.85,121.75,19.45,18.12,39.49,35.48,36.34,25.8,25.35,71.0,49.39,82.27,35.3,21.37,51.46,60.76,24.29,65.68,62.05,51.19,31.0,52.41,86.29,103.11,65.74
2019-01-07,91.49,78.46,21.32,48.36,17.87,21.74,18.35,47.73,35.92,29.91,33.18,43.98,71.6,159.52,30.51,110.37,87.66,82.79,42.6,256.77,14.82,86.1,121.43,19.3,18.28,40.63,36.27,37.35,26.77,25.43,68.81,50.43,82.97,34.59,22.01,52.0,61.23,24.31,66.58,62.57,51.66,31.54,53.06,86.96,104.25,66.91
2019-01-08,91.49,78.53,21.21,48.79,17.82,22.14,19.19,48.5,36.04,32.81,32.96,43.35,72.67,160.82,30.37,110.36,89.87,89.19,42.05,257.97,14.49,89.2,121.24,19.18,18.37,41.59,36.0,37.87,26.09,25.19,66.57,50.8,84.28,33.8,22.27,52.02,62.2,24.43,67.03,63.38,51.18,31.41,52.74,87.35,104.78,66.84
2019-01-09,91.5,78.55,21.2,49.1,18.74,23.1,19.37,49.12,36.0,32.22,32.87,43.11,73.04,161.28,30.24,110.39,90.8,91.7,41.52,258.88,14.34,90.38,120.46,18.82,18.72,41.99,36.33,38.33,27.34,25.34,65.45,51.57,84.49,33.41,22.14,52.48,62.38,24.44,67.94,63.66,51.48,31.91,53.43,87.52,104.48,67.29
2019-01-10,91.52,78.62,21.22,49.56,18.75,22.94,18.99,49.24,36.39,32.64,32.95,43.37,72.6,160.69,30.25,110.42,91.53,94.26,41.53,258.98,14.5,89.95,120.93,19.03,18.51,41.49,36.36,38.3,26.86,25.36,62.14,51.08,83.96,32.32,22.17,52.27,62.01,24.5,67.87,63.54,51.63,31.97,53.23,87.81,104.58,67.8
