Date,AIA,AJG,BIL,BTAL,COST,EDC,EDZ,EEM,EQWL,FNGA,FNGS,IAU,IYW,KRE,LLY,MO,NVO,PGR,PSQ,QID,QLD,QQQ,RSPT,SCHE,SH,SLV,SOXX,SPLV,SPY,SQQQ,SVXY,TECL,TMF,TMV,TQQQ,USO,VIXY,VTI
2025-03-03,72.71,342.383,91.46,20.18,1042.9245,30.19,8.51,42.98,106.38,461.0,53.39,55.05,148.48,60.48,920.3535,55.8284,88.3,285.6375,38.95,35.03,99.45,494.18,35.95,27.07,43.29,29.04,200.8,75.07,579.62,34.16,46.55,69.75,46.97,33.28,68.62,72.75,50.625,285.2
2025-03-04,74.77,334.3045,91.46,19.99,1030.3083,32.2,7.95,43.96,104.79,472.4,53.93,54.82,150.36,59.0,902.9492,54.2159,91.51,280.7012,38.81,34.75,100.28,495.98,36.05,27.63,43.52,29.23,204.13,73.52,576.63,33.7,47.13,71.83,45.63,34.26,69.56,71.4,49.36,284.08
2025-03-05,76.24,338.4981,91.48,20.19,1030.1786,33.32,7.65,44.45,104.91,462.07,53.3,54.88,149.0,58.1,918.5372,54.1676,87.96,280.7911,39.01,35.07,99.14,493.71,35.76,28.01,43.63,29.5,199.58,73.65,575.47,34.13,46.46,69.74,44.02,35.48,68.4,71.37,50.35,283.53
2025-03-06,75.79,337.9092,91.5,20.21,992.4801,33.03,7.73,44.34,104.38,429.99,52.11,55.05,147.07,57.6,903.538,54.8918,88.34,278.3629,39.52,36.01,96.49,487.16,35.36,27.93,43.98,29.39,198.8,73.47,570.87,35.5,45.55,67.63,44.93,34.73,65.58,72.74,52.45,281.22
2025-03-07,74.39,322.3801,91.51,20.77,952.9066,31.7,8.03,43.74,104.52,403.65,51.0,54.76,145.92,56.76,852.1632,56.0022,79.84,279.0125,39.82,36.51,95.03,483.46,35.3,27.57,44.25,29.56,198.82,74.04,567.55,36.24,45.08,66.56,44.82,34.8,63.95,72.06,53.11,279.43
2025-03-10,74.26,322.1805,91.52,21.1,928.5022,31.49,8.07,43.72,103.51,370.0,49.89,54.94,141.92,55.55,825.5079,56.7746,78.88,277.5635,40.72,38.17,90.48,472.29,34.61,27.59,44.87,29.59,194.52,74.12,559.46,38.64,43.82,61.02,44.66,34.96,59.35,71.8,56.06,275.0
2025-03-11,74.8,325.1047,91.54,20.36,935.4835,31.89,7.96,43.91,102.87,414.84,51.8,54.93,145.0,55.92,813.283,55.867,74.3,278.6827,40.13,37.06,93.09,478.99,35.04,27.65,44.65,30.02,196.7,72.69,562.22,37.0,44.82,64.23,43.23,36.15,61.92,72.32,53.55,276.66
2025-03-12,73.65,326.462,91.54,20.1,919.5263,31.09,8.16,43.52,102.29,413.09,51.84,55.57,144.41,55.97,816.5662,56.118,76.0,277.9832,40.38,37.56,91.99,476.23,34.67,27.42,44.98,30.2,196.07,72.04,558.5,37.72,44.95,63.37,42.59,36.64,60.78,72.08,53.26,274.93
2025-03-13,75.2,322.909,91.58,20.48,889.4174,32.71,7.74,44.3,101.95,401.0,51.12,56.52,143.51,55.86,801.4672,56.147,75.58,279.9917,40.62,37.94,90.92,473.77,34.68,27.94,45.18,30.91,198.5,72.13,556.1,38.22,44.8,62.6,43.18,36.14,59.73,71.89,53.4,273.6
2025-03-14,75.86,322.6096,91.6,20.19,899.211,33.76,7.51,44.74,102.95,419.79,51.9,56.37,146.0,56.77,815.2789,57.045,79.4,282.4499,40.11,36.97,93.11,479.52,35.18,28.09,44.64,30.42,200.21,72.69,562.72,36.74,46.26,65.23,44.28,35.18,61.85,72.98,49.82,276.73
