Date,AAPL,AMD,AMGN,AMZN,AVGO,CSCO,GD,GOOGL,INTC,META,MSFT,MSTR,NFLX,NOC,NVDA,PEP,RTX,SBUX,SOXL,SOXS,SPXL,TECL,TMUS,TNA,TSLA,UVXY,VIXM,VIXY
2012-06-29,17.5736,5.75,51.5612,11.465,2.5877,11.4583,48.8497,14.4733,18.6016,31.0795,24.3824,129.42,9.8243,50.3489,0.3184,48.0053,34.8069,20.9567,28.75,38.05,76.87,48.66,9.8002,54.63,2.09,9.45,54.86,31.7
2012-07-02,17.8786,5.78,52.2743,11.457,2.5725,11.398,48.8201,14.4282,18.7489,30.7413,24.0718,129.98,9.7843,50.1518,0.3083,48.0599,34.553,20.5764,28.4,38.58,76.87,49.01,10.2523,55.9,2.04,8.4,53.66,30.0
2012-07-03,18.0493,5.8,52.2884,11.431,2.5856,11.3779,49.3266,14.6459,18.8121,31.1491,24.3585,132.63,10.6186,50.2937,0.3143,48.1145,34.8946,20.4077,28.73,38.0,77.45,49.8,10.559,58.03,2.054,8.26,53.55,29.82
2012-07-05,18.2456,5.8,52.4367,11.3175,2.5682,11.3042,49.0063,14.7377,18.5524,31.2685,24.3744,128.01,11.9629,50.0256,0.3108,47.705,34.493,20.4509,27.79,39.42,75.05,49.2,10.2038,56.24,2.066,9.22,54.15,31.5
2012-07-06,18.1918,5.69,52.3026,11.25,2.4959,11.2038,48.6115,14.5511,18.2788,31.9249,23.9842,119.49,11.8543,50.0572,0.3053,47.862,34.1606,20.3018,26.18,41.6,74.97,47.75,10.2523,55.58,2.0627,8.45,52.45,30.08
2012-07-09,18.5726,5.08,52.8462,11.3125,2.4307,11.2239,47.591,14.6815,18.1385,32.2531,23.9524,119.27,11.96,50.3253,0.2998,47.8825,34.9593,20.6862,25.0,43.37,75.95,48.42,10.2523,56.35,2.1027,8.15,51.98,29.55
2012-07-10,18.2164,5.02,52.7968,10.9475,2.417,10.9828,48.0826,14.3359,17.942,31.3082,23.6578,113.66,11.4429,49.8442,0.2948,47.6026,34.1976,20.4626,23.98,44.83,72.96,45.94,10.446,53.47,2.1047,8.82,52.59,30.82
2012-07-11,18.0397,4.85,53.0086,10.8305,2.3816,10.8221,47.3005,14.1076,17.6543,30.5325,23.2118,113.08,11.6457,49.2765,0.2859,47.746,33.0804,20.2352,22.49,47.76,71.58,44.34,10.333,51.48,2.086,8.7,53.12,30.57
2012-07-12,18.1212,4.89,53.4887,10.7815,2.3548,10.7082,47.4867,14.2327,17.4017,30.8706,22.9013,114.88,12.2543,49.3002,0.2845,47.7664,33.2097,20.5607,22.15,48.5,72.34,44.49,10.0747,52.84,2.198,8.19,51.47,29.61
2012-07-13,18.1864,4.85,54.0535,10.83,2.3852,10.8556,48.0826,14.3377,17.7034,30.3336,23.4746,116.85,12.1586,50.0966,0.2861,48.0053,33.9021,20.9646,22.24,48.35,74.8,45.74,10.0908,53.77,2.288,7.45,50.89,28.32
2012-07-16,18.3568,4.85,54.8019,10.8725,2.3946,10.9627,47.7698,14.3889,17.7736,28.3246,23.602,116.66,11.8929,50.1281,0.2898,48.2032,33.9529,20.8979,22.25,48.33,75.76,46.64,10.3653,54.61,2.3333,7.05,51.03,27.62
2012-07-17,18.2306,4.83,55.4867,10.8075,2.3866,10.8823,47.8145,14.3529,17.6824,28.1555,23.5702,114.78,11.6071,50.3884,0.2829,47.8893,34.0037,20.7175,21.23,50.16,75.86,46.18,10.5752,53.76,2.0947,6.83,50.48,27.24
2012-07-18,18.3715,4.93,56.0586,11.0365,2.498,11.2038,49.1031,14.5807,18.4893,29.2495,24.2948,120.87,11.7086,51.1611,0.3014,48.019,34.5853,20.9136,24.7,42.5,78.6,49.61,10.6075,55.75,2.1813,6.8,50.24,27.16
2012-07-19,18.4241,4.62,56.2139,11.268,2.6008,11.1033,48.619,15.1434,18.1525,28.8418,24.685,118.29,11.8086,50.8299,0.3005,47.8006,34.7838,20.9097,25.04,42.0,77.35,49.67,10.4783,53.17,2.138,6.97,50.75,27.53
2012-07-20,17.8642,4.15,54.2724,11.236,2.506,10.7551,47.7474,14.9374,17.5771,27.9666,23.5463,113.06,11.5329,50.4987,0.2859,47.4798,34.0498,20.0509,22.4,46.71,73.13,45.58,10.107,49.56,2.07,8.43,53.33,30.37
2012-07-23,18.2543,4.18,55.0066,11.3135,2.5089,10.5475,47.5612,15.2986,17.6753,28.6628,23.2835,116.88,11.5814,50.0572,0.298,47.1864,33.7452,19.8156,23.4,45.37,74.41,47.0,10.4299,50.41,2.044,8.22,52.66,29.92
2012-07-24,17.2649,4.11,54.9219,11.1,2.4691,10.1792,47.4867,15.1325,17.5561,28.2351,23.2835,114.31,9.1729,50.7038,0.2934,47.1317,33.4405,19.8038,23.48,44.7,72.8,44.49,10.6398,48.61,1.9947,8.79,52.96,31.0
2012-07-25,17.4242,4.05,55.7762,11.0,2.5327,10.514,46.8163,15.2986,17.956,27.5986,23.2755,115.95,8.4729,51.3819,0.3056,48.2647,33.6898,20.2783,25.73,40.56,75.48,46.74,11.6569,50.4,1.9933,7.59,51.47,28.89
2012-07-26,17.2815,4.09,56.8423,11.2625,2.5892,10.3868,46.9653,15.3954,18.0192,23.0635,23.4746,114.26,8.1943,51.3267,0.3026,48.1759,33.9067,18.3921,26.3,40.07,77.05,47.69,14.1271,50.17,1.914,6.71,50.41,27.16
