Date,DBC,EEM,EFA,EWZ,SHY,TLT,TQQQ,UPRO,UVXY
2011-10-04,25.65,34.75,47.25,51.39,84.5,121.67,57.57,44.87,32.86
2011-10-05,25.99,35.76,48.0,53.16,84.47,120.62,62.19,46.92,30.11
2011-10-06,26.48,37.07,49.54,55.8,84.46,117.75,65.29,50.45,28.43
2011-10-07,26.71,37.45,50.17,55.66,84.41,116.84,67.4,51.01,27.48
2011-10-10,26.65,37.54,50.2,55.72,84.4,117.3,70.22,52.55,26.14
2011-10-11,27.25,38.91,51.44,57.65,84.37,114.7,74.37,54.85,23.21
2011-10-12,27.04,38.84,51.15,57.7,84.46,115.05,72.94,54.0,22.24
2011-10-13,27.73,39.4,52.05,58.75,84.43,113.82,78.24,56.67,19.56
2011-10-14,27.47,39.17,51.71,57.96,84.46,114.34,78.37,56.7,19.35
2011-10-17,27.24,38.33,50.81,56.5,84.47,116.14,75.55,54.05,23.57
2011-10-18,27.55,39.04,51.36,57.42,84.48,114.54,77.46,57.08,21.13
2011-10-19,26.95,38.2,50.83,56.71,84.48,114.45,73.99,55.79,24.39
2011-10-20,27.42,38.37,51.67,56.94,84.51,113.88,75.31,58.05,22.5
2011-10-21,27.39,39.33,52.08,57.76,84.49,113.93,76.56,59.5,20.5
2011-10-24,27.61,39.92,52.49,59.65,84.47,113.32,79.72,60.61,19.57
2011-10-25,27.83,40.39,52.88,59.86,84.51,115.39,77.0,59.76,19.83
2011-10-26,28.1,42.1,55.05,62.55,84.45,112.5,80.84,64.86,15.18
2011-10-27,28.0,42.03,54.88,62.65,84.43,110.91,80.16,64.82,15.08
2011-10-28,27.7,41.59,53.65,63.41,84.51,113.61,79.74,63.58,15.59
2011-10-31,27.04,39.29,50.27,59.1,84.52,118.73,72.25,55.91,22.59
2011-11-01,27.73,40.94,51.18,61.79,84.54,116.63,74.1,58.5,20.79
2011-11-02,27.82,41.26,52.01,62.36,84.52,116.32,75.44,60.64,19.83
2011-11-03,27.94,41.12,51.88,61.52,84.52,115.7,76.98,60.35,19.96
2011-11-04,28.23,41.14,51.73,62.39,84.54,116.64,76.89,60.57,19.96
2011-11-07,28.42,41.63,52.32,62.66,84.52,116.73,80.25,62.81,18.81
2011-11-08,28.13,40.4,50.68,61.08,84.52,118.26,76.49,59.7,20.21
2011-11-09,28.04,40.17,50.92,61.28,84.54,116.77,75.03,59.38,21.11
2011-11-10,27.93,40.39,51.34,61.3,84.51,115.76,74.49,60.81,19.5
2011-11-11,28.0,40.49,51.21,61.27,84.52,116.38,76.13,61.3,19.9
2011-11-14,27.96,40.12,50.72,60.66,84.54,117.7,74.71,59.94,20.91
2011-11-15,27.94,39.77,50.18,60.46,84.53,117.96,76.04,59.35,21.02
2011-11-16,27.8,39.58,50.0,60.78,84.5,118.11,73.37,57.93,22.07
2011-11-17,27.4,38.96,49.8,59.58,84.49,119.18,68.86,55.99,22.51
2011-11-18,27.12,37.5,48.4,57.74,84.5,120.37,64.41,52.81,24.45
2011-11-21,27.14,37.45,48.04,57.51,84.5,120.35,62.69,51.72,22.98
2011-11-22,26.96,36.78,47.45,55.94,84.47,121.14,62.48,50.0,22.8
2011-11-23,26.72,36.23,46.59,54.39,84.51,121.8,58.9,47.8,23.8
2011-11-25,27.13,37.73,48.47,56.15,84.48,118.63,62.46,51.62,20.86
2011-11-28,27.15,37.72,48.65,55.9,84.52,120.05,64.18,52.35,21.7833
2011-11-29,27.65,39.51,50.66,59.09,84.52,118.34,68.24,56.79,18.22
2011-11-30,27.56,40.03,51.0,59.81,84.49,116.3,69.98,58.48,17.419
2011-12-01,27.74,40.38,51.45,61.06,84.49,116.62,73.63,60.65,15.61
2011-12-02,27.94,40.5,51.72,61.38,84.48,117.0,74.19,61.43,15.13
2011-12-05,27.57,39.85,51.07,60.91,84.48,117.82,73.46,60.55,16.42
2011-12-06,27.73,39.77,50.78,61.08,84.5,117.34,72.0,59.96,16.74
2011-12-07,27.42,39.45,50.79,60.03,84.53,117.68,71.31,60.06,18.29
2011-12-08,27.18,38.72,50.25,59.13,84.53,119.05,69.57,58.03,18.4
2011-12-09,26.98,38.21,49.96,59.03,84.53,117.88,70.0,58.52,16.89
2011-12-12,26.95,38.24,49.78,58.72,84.53,117.34,71.2,58.42,15.64
2011-12-13,26.53,37.4,48.62,57.18,84.49,119.84,66.69,55.2,16.14
2011-12-14,26.29,37.75,48.89,57.69,84.51,120.66,66.18,55.83,15.11
2011-12-15,26.06,37.64,48.71,57.21,84.51,121.38,64.88,55.76,14.05
2011-12-16,26.16,37.25,48.6,56.58,84.53,122.32,65.45,55.52,14.5
2011-12-19,26.51,37.15,48.42,56.99,84.52,122.66,65.9,55.61,13.22
2011-12-20,26.63,37.62,48.67,56.9,84.51,120.63,67.19,57.88,12.5
2011-12-21,26.89,37.89,48.74,57.2,84.48,120.03,65.9,58.98,10.51
2011-12-22,26.92,38.32,49.21,58.1,84.46,118.57,67.58,60.46,11.23
2011-12-23,26.94,38.16,49.34,58.1,84.4,117.94,68.69,61.06,11.58
2011-12-27,27.07,37.95,49.15,57.62,84.4,118.74,69.35,61.53,11.35
2011-12-28,26.79,37.68,48.54,56.84,84.44,120.47,67.43,59.67,12.22
2011-12-29,26.8,37.87,49.23,57.02,84.48,121.11,68.16,60.76,11.77
2011-12-30,27.35,38.99,50.51,59.13,84.49,119.43,71.98,63.3,11.04
