Date,AGG,BIL,CURE,DBC,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,IYK,MVV,PUI,QLD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,TECL,TECS,TMF,TMV,TQQQ,UCO,UGE,UPRO,USD,UUP,UVXY,VIXY,YCS
2012-06-29,111.35,45.81,45.68,26.37,39.56,49.98,17.45,42.05,21.79,53.01,155.42,72.67,65.54,17.22,54.34,84.37,28.73,38.0,77.45,20.86,46.45,45.51,49.8,10.18,79.08,54.31,51.56,29.0,86.17,77.53,35.06,22.79,8.26,29.82,43.71
2012-07-05,111.7,45.82,45.0,26.19,38.6,49.19,17.0,39.63,22.14,52.06,153.65,72.27,63.91,17.15,53.09,84.44,26.18,41.6,74.97,21.54,48.02,47.12,47.75,10.7,82.93,51.64,49.71,27.3,87.09,74.88,33.15,22.93,8.45,30.08,43.15
2012-07-09,112.07,45.81,45.97,26.53,38.05,48.7,17.07,38.91,22.54,51.07,153.44,71.85,61.8,17.17,50.69,84.45,22.15,48.5,72.34,22.22,49.66,50.32,44.49,11.41,86.55,49.39,46.35,28.43,88.88,72.36,30.8,23.03,8.19,29.61,42.81
2012-07-13,112.26,45.81,46.0,26.9,38.27,49.2,17.02,40.1,22.3,51.3,154.43,72.52,62.9,17.3,51.69,84.49,22.24,48.35,74.8,21.46,47.89,48.8,45.74,11.07,88.64,48.17,47.74,29.11,89.54,74.83,31.08,22.91,7.45,28.32,42.23
2012-07-16,112.21,45.81,47.0,27.13,38.64,49.49,16.94,41.6,22.16,51.3,154.03,72.43,63.19,17.34,52.29,84.5,22.25,48.33,75.76,21.16,47.26,47.91,46.64,10.86,86.61,49.35,48.53,30.22,89.11,75.78,31.16,22.87,7.05,27.62,42.61
2012-07-17,112.24,45.82,47.74,27.05,38.33,49.34,16.89,41.97,22.31,51.15,152.67,72.52,62.88,17.4,51.97,84.5,21.23,50.16,75.86,21.14,47.22,48.36,46.18,10.97,86.61,49.27,48.09,30.31,89.72,75.87,30.63,22.9,6.83,27.24,42.49
2012-07-18,112.3,45.82,48.83,27.6,39.0,50.12,17.06,44.11,22.28,52.12,153.74,73.03,64.54,17.36,54.31,84.53,24.7,42.5,78.6,20.41,45.51,45.1,49.61,10.15,84.9,50.22,51.44,31.76,90.32,78.6,33.26,22.85,6.8,27.16,42.08
2012-07-19,112.39,45.81,47.39,27.56,38.68,49.41,16.9,43.53,22.51,52.0,152.96,72.75,63.19,17.28,54.71,84.51,25.04,42.0,77.35,20.72,46.2,44.61,49.67,10.13,87.25,48.91,51.99,31.57,89.01,77.36,33.11,22.93,6.97,27.53,42.05
2012-07-20,112.62,45.81,44.52,26.99,37.48,47.85,16.37,41.4,22.87,50.1,152.5,71.74,60.74,17.04,51.24,84.54,22.4,46.71,73.13,21.85,48.74,49.01,45.58,11.03,90.64,47.0,47.06,29.46,86.26,73.1,31.06,23.09,8.43,30.37,41.71
2012-07-23,112.44,45.81,43.95,26.95,37.74,48.08,16.4,43.07,22.81,50.68,153.63,71.79,61.52,16.83,52.22,84.54,23.4,45.37,74.41,21.49,48.02,47.82,47.0,10.7,88.75,48.0,48.46,29.57,85.0,74.37,31.17,23.03,8.22,29.92,41.63
