Date,BTAL,DBMF,DIA,PSQ,QQQ,SHV,SMH,SOXL,SPLV,SPY,SQQQ,SVXY,TECL,TQQQ,UPRO,UVXY,VIXM,VIXY,VTI,XLK,XLP
2019-05-08,21.87,25.02,257.74,28.87,183.7,110.41,110.4,158.5,52.53,285.2,9.51,49.11,145.75,59.93,50.1,44.73,22.6,26.64,146.06,75.51,56.5
2019-05-09,21.79,25.02,257.55,28.82,184.11,110.43,109.95,157.19,52.61,285.64,9.47,50.41,146.0,60.26,50.34,41.62,22.31,25.36,146.33,75.45,56.48
2019-05-10,21.84,24.84,254.67,29.41,180.29,110.43,106.72,144.94,52.87,282.39,10.03,49.31,136.84,56.5,48.56,43.14,22.48,26.11,144.7,74.03,56.72
2019-05-13,22.09,24.96,254.4,29.52,179.52,110.45,106.73,143.3,53.18,282.01,10.14,49.58,134.82,55.62,48.31,41.98,22.48,25.68,144.28,73.68,56.93
2019-05-14,22.08,25.03,254.17,29.55,179.35,110.46,106.81,142.83,53.06,281.6,10.18,49.31,135.88,55.43,48.09,42.54,22.44,25.92,144.23,73.97,56.96
2019-05-15,21.92,25.57,258.0,28.94,183.17,110.47,107.44,145.0,53.42,285.83,9.55,51.26,143.9,59.0,50.28,37.76,21.6,23.95,146.33,75.35,57.79
2019-05-16,22.03,25.7,256.36,28.94,183.1,110.48,105.84,137.33,53.51,285.13,9.55,51.12,142.99,58.89,49.87,37.94,22.08,24.04,146.06,75.2,57.62
2019-05-17,22.45,25.5,256.21,29.37,180.49,110.49,102.14,123.36,53.55,284.06,9.96,51.02,136.74,56.4,49.29,38.02,21.96,24.08,145.26,74.11,57.62
2019-05-20,22.1,25.55,258.2,29.19,181.5,110.49,103.48,127.0,53.69,285.83,9.79,52.26,140.5,57.27,50.2,35.56,21.68,23.05,146.11,74.85,57.82
2019-05-21,22.08,25.53,257.96,29.32,180.82,110.5,101.8,119.73,53.75,285.43,9.91,52.56,138.46,56.58,49.99,34.75,21.68,22.68,146.06,74.49,57.51
2019-05-22,22.21,25.39,255.34,29.62,178.94,110.53,99.87,112.07,53.73,283.16,10.21,51.94,133.25,54.8,48.79,35.99,22.1,23.24,144.83,73.58,57.53
2019-05-23,22.37,25.44,256.21,29.58,179.21,110.55,100.89,115.69,54.05,283.75,40.6,51.94,133.9,55.02,49.04,35.76,21.84,23.17,144.96,73.68,57.83
2019-05-24,22.21,25.61,256.12,29.68,178.66,110.55,100.07,111.86,54.09,283.01,41.05,51.91,132.74,54.52,48.67,35.8,22.2,23.18,144.82,73.53,57.53
2019-05-28,22.68,25.65,252.08,30.05,176.39,110.55,97.8,104.34,53.25,278.91,42.67,50.36,127.67,52.46,46.51,39.04,22.55,24.59,142.62,72.55,56.36
2019-05-29,22.43,25.55,251.77,30.03,176.5,110.57,99.38,109.44,53.07,279.08,42.6,50.99,129.23,52.52,46.59,37.63,22.42,23.97,142.69,72.83,56.22
2019-05-30,22.39,25.4,249.35,30.37,174.69,110.59,98.4,106.68,52.94,276.2,43.92,49.67,125.52,50.87,45.12,40.58,22.86,25.25,141.11,72.22,55.97
2019-05-31,22.83,25.33,248.34,30.58,173.48,110.41,99.25,109.98,53.25,275.3,44.83,49.93,124.42,49.83,44.66,39.94,22.64,24.97,140.69,72.0,55.69
2019-06-03,22.8,25.27,250.75,30.82,172.03,110.43,99.82,113.0,53.86,277.11,45.85,50.39,121.71,48.42,45.55,38.88,22.6,24.5,141.73,71.53,56.66
2019-06-04,22.49,25.36,255.22,30.0,176.58,110.45,102.3,124.57,54.11,282.34,42.2,51.28,133.99,52.3,48.11,36.8,22.23,23.64,144.39,73.96,57.08
2019-06-05,22.6,25.36,256.12,30.02,176.51,110.48,101.45,118.16,54.93,283.29,42.33,51.74,134.89,52.18,48.59,35.81,22.05,23.24,144.82,74.14,57.59
2019-06-06,22.71,25.56,258.5,29.7,178.56,110.51,103.25,123.98,55.34,285.95,40.88,52.17,140.94,54.0,49.95,34.9,21.83,22.83,146.06,75.19,58.27
2019-06-07,22.48,25.5,261.88,29.08,182.25,110.5,105.44,132.77,55.37,289.35,38.32,52.28,149.61,57.4,51.73,34.71,21.77,22.76,147.73,76.74,58.71
2019-06-10,22.46,25.41,262.66,28.62,185.06,110.5,108.58,144.57,55.32,290.95,36.59,52.6,155.74,60.06,52.6,34.12,21.78,22.49,148.62,77.75,58.82
2019-06-11,22.17,25.49,260.8,28.99,182.9,110.5,106.13,133.83,55.04,288.64,37.96,51.89,148.97,57.93,51.32,35.5,21.99,23.12,147.35,76.66,58.95
2019-06-12,22.59,25.64,261.34,28.94,183.1,110.52,105.4,131.53,55.41,289.37,37.79,52.49,150.12,58.13,51.72,34.28,21.87,22.58,147.79,76.81,59.07
2019-06-13,22.37,25.67,261.24,29.07,182.48,110.55,102.44,119.0,55.36,289.27,38.23,52.15,145.64,57.48,51.6,34.88,22.05,22.87,147.8,76.07,59.03
2019-06-14,22.56,25.79,261.64,28.98,183.04,110.56,102.62,120.5,55.62,289.53,37.85,52.64,146.18,58.06,51.74,33.94,21.86,22.44,147.28,76.15,59.11
2019-06-17,22.15,25.99,263.19,28.53,185.91,110.56,103.03,122.17,55.62,291.38,36.13,53.34,150.68,60.73,52.76,32.64,21.46,21.86,148.2,76.97,59.25
2019-06-18,22.15,25.85,265.4,28.38,186.66,110.57,106.99,135.4,55.37,292.53,35.62,53.31,155.28,61.55,53.35,32.66,21.55,21.87,148.91,77.74,58.56
2019-06-19,22.32,26.06,268.05,27.94,189.72,110.61,108.65,142.07,56.01,296.02,33.94,54.42,162.83,64.52,55.25,30.58,21.4,20.93,150.73,78.96,59.09
2019-06-20,22.21,25.64,267.21,28.15,188.63,110.62,107.26,135.16,55.98,294.14,34.6,53.68,161.1,63.35,54.97,31.93,21.49,21.54,150.4,78.5,58.87
2019-06-21,22.37,25.71,267.28,28.08,188.53,110.62,107.4,135.21,55.85,294.18,34.43,53.45,161.02,63.68,55.0,32.21,21.76,21.72,150.33,78.45,58.81
2019-06-24,22.47,25.68,267.39,28.03,188.03,110.63,107.34,135.38,55.79,293.67,34.45,53.47,160.53,63.18,54.61,32.26,21.81,21.71,149.87,78.42,58.88
2019-06-25,22.51,25.57,266.12,28.31,186.16,110.64,107.9,137.83,55.47,291.78,35.39,53.29,156.52,61.29,53.53,32.5,21.97,21.81,148.86,77.77,58.57
2019-06-26,22.34,25.51,265.42,28.26,186.46,110.65,109.44,144.16,54.67,291.29,35.29,53.18,158.37,61.49,53.26,32.71,21.93,21.91,148.66,78.1,58.08
2019-06-27,22.07,25.64,265.94,28.19,186.93,110.67,111.49,151.89,54.89,292.57,35.0,53.7,159.5,62.0,53.93,31.77,21.78,21.5,149.51,78.29,58.39
2019-06-28,21.8,25.84,268.45,27.68,190.32,110.45,115.2,167.7,55.34,296.68,33.13,55.38,168.86,65.29,56.16,28.91,21.19,20.25,151.85,79.83,58.37
2019-07-01,21.71,25.83,266.84,27.85,189.2,110.46,112.93,157.99,55.29,295.59,33.78,55.35,164.93,64.2,55.57,29.0,21.2,20.21,151.12,79.24,58.44
2019-07-02,22.25,26.13,268.3,27.67,190.49,110.48,111.85,154.16,55.9,297.19,33.11,56.34,168.01,65.41,56.44,27.34,20.89,19.47,151.87,79.69,58.96
2019-07-03,22.07,25.84,268.65,27.71,190.13,110.49,110.25,146.25,56.14,297.46,33.27,55.95,166.88,65.06,56.55,27.9,21.08,19.74,152.01,79.54,59.31
2019-07-05,22.01,25.92,267.9,27.77,189.81,110.48,109.55,144.67,56.17,297.01,33.44,55.78,165.64,64.77,56.32,28.14,20.97,19.88,151.87,79.33,59.4
2019-07-08,22.29,25.89,266.75,27.92,188.81,110.48,109.23,143.04,56.07,295.51,33.99,54.93,162.89,63.68,55.44,29.44,21.25,20.46,151.02,78.93,59.36
2019-07-09,22.18,25.89,268.76,27.49,191.82,110.49,112.1,153.46,56.42,298.4,32.42,56.02,169.92,66.77,57.08,27.77,20.96,19.66,152.59,80.06,59.34
2019-07-10,22.29,25.89,269.69,27.33,192.85,110.51,112.57,153.9,56.47,299.34,31.88,56.84,172.43,67.81,57.59,26.56,20.92,19.12,152.94,80.45,59.63
2019-07-11,22.31,25.7,271.66,27.39,192.63,110.53,112.78,154.43,56.42,299.86,32.01,57.13,174.61,67.58,57.89,26.18,20.78,18.91,153.1,80.8,59.64
2019-07-12,22.25,25.82,273.55,27.2,193.98,110.53,114.8,164.0,56.39,301.12,31.34,57.53,178.19,68.96,58.58,25.64,20.96,18.68,153.83,81.36,59.93
2019-07-15,22.24,25.84,273.58,27.21,193.91,110.54,114.5,162.89,56.43,300.64,31.39,57.63,178.25,68.89,58.33,25.46,20.78,18.62,153.5,81.31,59.98
2019-07-16,22.29,25.93,273.28,27.31,193.15,110.53,114.61,163.44,56.35,299.77,31.77,57.67,174.41,68.08,57.79,25.41,20.95,18.56,153.1,80.8,59.99
2019-07-17,22.39,25.9,271.64,27.58,191.29,110.57,114.82,161.94,56.09,297.18,32.71,56.69,171.28,66.08,56.29,26.71,21.44,19.19,151.87,80.26,59.99
2019-07-18,22.43,25.91,273.22,27.22,193.74,110.59,116.88,170.94,56.43,300.01,31.46,57.49,180.0,68.67,57.89,25.6,21.16,18.66,153.21,81.85,60.47
2019-07-19,22.24,25.97,271.77,27.55,191.44,110.59,117.25,170.47,55.63,297.61,32.61,56.63,175.17,66.24,56.5,26.66,21.28,19.2,152.06,81.0,60.05
2019-07-22,22.18,26.13,272.73,27.27,193.58,110.59,119.46,181.05,55.63,299.15,31.55,57.65,182.73,68.4,57.34,25.27,21.1,18.52,152.78,82.09,60.13
2019-07-23,22.23,26.35,272.25,27.33,193.05,110.59,120.88,188.0,55.68,299.16,31.82,57.87,181.42,67.83,57.36,24.95,20.95,18.38,152.76,81.96,59.93
2019-07-24,21.99,26.12,272.48,27.14,194.49,110.59,122.5,197.15,55.52,300.97,31.11,58.67,185.82,69.34,58.37,23.9,20.72,17.84,153.94,82.57,59.5
2019-07-25,22.23,26.27,271.67,27.13,194.53,110.6,121.97,194.54,55.66,300.77,31.13,58.57,184.86,69.29,58.23,24.04,20.86,17.9,153.65,82.45,59.8
2019-07-26,22.23,26.26,271.86,27.04,195.11,110.61,120.55,189.0,56.03,301.85,30.78,58.79,185.7,69.96,58.85,23.78,20.82,17.8,154.35,82.63,60.37
2019-07-29,22.25,26.1,271.06,27.33,193.13,110.61,119.96,186.84,55.98,299.9,31.74,57.91,181.34,67.83,57.69,24.82,20.88,18.31,153.19,81.97,60.72
2019-07-30,22.23,26.26,272.32,27.17,194.3,110.62,120.07,187.66,55.93,300.98,31.2,57.82,185.06,68.99,58.32,24.88,21.22,18.33,153.91,82.45,60.47
2019-07-31,22.3,26.56,268.82,27.58,191.43,110.42,116.95,170.46,55.56,297.56,32.59,56.14,174.03,65.96,56.31,27.09,21.39,19.41,152.29,80.91,59.6
2019-08-01,22.98,26.23,265.2,27.98,188.72,110.46,113.53,156.8,55.53,293.86,33.99,53.97,166.94,63.21,54.2,30.24,21.94,20.93,150.3,79.71,59.13
2019-08-02,23.25,25.9,260.99,28.78,183.43,110.5,110.27,140.8,55.29,288.07,36.99,51.74,148.94,57.82,51.0,33.96,22.5,22.66,147.18,76.94,58.91
2019-08-05,23.22,26.02,258.65,28.91,182.4,110.51,110.34,141.26,54.49,285.93,37.38,50.6,147.9,56.71,49.73,34.89,22.46,23.16,146.19,76.77,57.89
2019-08-06,23.82,26.6,257.11,29.09,181.27,110.53,108.4,133.31,54.85,284.4,38.01,49.5,143.74,55.6,48.89,37.25,23.3,24.22,145.3,76.13,57.96
2019-08-07,23.74,26.59,261.46,28.48,185.08,110.54,111.6,146.87,55.42,289.62,35.75,51.69,155.56,59.3,51.64,32.79,22.38,22.24,147.98,78.11,58.85
2019-08-08,23.64,26.36,263.38,28.15,187.36,110.55,112.15,149.21,56.04,292.59,34.4,52.2,159.99,61.27,53.16,31.57,22.04,21.72,149.56,78.92,59.62
2019-08-09,24.16,26.7,261.42,28.46,185.34,110.56,110.73,141.95,55.95,289.9,35.5,51.27,154.16,59.28,51.71,33.3,22.5,22.52,148.12,77.95,59.16
2019-08-12,24.15,26.87,259.09,28.62,184.19,110.56,109.63,139.8,55.67,287.78,36.16,49.37,150.42,58.16,50.51,36.72,23.3,24.1,146.89,77.39,58.88
2019-08-13,23.94,27.27,259.08,28.46,185.36,110.56,110.3,142.2,55.75,288.05,35.35,49.78,153.27,59.18,50.62,35.25,23.02,23.53,146.95,77.94,59.06
2019-08-14,24.19,27.49,256.22,28.75,183.0,110.6,110.35,142.1,55.19,284.89,36.55,48.74,148.29,56.88,48.83,37.17,23.75,24.41,145.31,77.03,59.29
2019-08-15,24.51,27.64,257.33,28.6,184.21,110.61,110.23,143.18,55.8,286.49,35.9,49.15,151.74,57.85,49.68,36.12,23.3,23.98,146.08,77.61,59.79
2019-08-16,23.7,27.42,262.04,28.0,188.16,110.63,114.66,158.87,56.31,292.23,33.59,51.12,162.12,61.59,52.65,31.9,22.68,22.05,149.09,79.51,60.69
2019-08-19,24.22,27.53,261.02,28.0,187.96,110.62,113.96,155.9,56.43,291.78,33.7,51.72,161.1,61.43,52.4,30.64,22.64,21.53,148.81,79.37,60.78
2019-08-20,24.14,27.52,261.83,27.92,188.61,110.63,114.51,159.5,56.24,292.47,33.31,52.3,164.13,62.06,52.75,29.48,22.59,20.98,149.16,79.83,60.55
2019-08-21,24.0,27.42,262.71,27.87,188.98,110.63,114.93,159.8,56.39,293.24,33.16,52.7,165.9,62.36,53.11,28.83,22.62,20.69,149.61,80.21,60.36
2019-08-22,24.25,27.43,261.27,28.2,186.74,110.64,112.93,152.6,56.38,290.95,34.36,51.2,161.07,60.1,51.88,31.28,23.03,21.86,148.41,79.37,60.46
2019-08-23,24.34,27.64,258.97,28.56,184.14,110.65,111.57,145.03,55.78,287.24,35.62,50.14,153.02,57.47,49.8,32.88,23.66,22.62,146.53,78.12,60.02
2019-08-26,24.6,27.83,260.51,28.27,186.11,110.65,111.51,145.15,56.39,289.55,34.46,50.08,156.74,59.26,50.99,33.0,23.63,22.68,147.64,78.75,60.61
2019-08-27,24.76,28.06,257.02,28.63,183.83,110.66,110.15,137.92,56.1,286.1,35.79,48.55,150.32,57.1,49.18,36.1,24.45,24.11,145.69,77.7,60.17
2019-08-28,24.44,27.969,262.91,28.08,187.39,110.66,113.14,149.0,56.61,291.77,33.76,50.41,159.37,60.45,52.11,32.22,23.52,22.35,148.59,79.25,61.13
2019-08-29,24.37,28.05,265.2,27.86,188.93,110.67,114.57,156.61,56.92,294.21,32.96,51.16,164.26,61.87,53.41,30.72,23.44,21.66,149.88,80.07,61.0
2019-08-30,24.4,28.53,262.06,28.27,186.22,110.48,113.38,150.01,56.57,290.56,34.41,49.67,156.93,59.27,51.44,33.48,23.87,22.99,147.99,78.87,60.46
2019-09-03,24.62,28.36,263.58,28.08,187.44,110.5,114.47,153.99,57.38,293.15,33.7,50.45,160.22,60.39,52.81,32.02,23.75,22.27,149.3,79.41,61.32
2019-09-04,24.52,28.26,266.73,27.63,190.41,110.52,118.45,169.05,57.66,296.78,32.14,51.62,169.29,63.23,54.76,29.75,23.0,21.22,151.0,80.95,61.78
2019-09-05,24.09,28.35,268.09,27.39,192.1,110.5,119.66,174.6,57.49,298.21,31.26,52.32,174.31,64.87,55.52,28.57,22.99,20.65,151.81,81.75,61.4
