Date,GLD,IEF,TMF,TQQQ,UUP
2010-02-11,106.08,90.21,31.47,80.79,23.7
2010-02-12,109.45,89.91,30.9,85.35,23.59
2010-02-16,109.69,90.09,31.07,87.78,23.53
2010-02-17,109.63,89.89,30.59,88.0,23.65
2010-02-18,109.3,89.47,30.36,89.36,23.84
2010-02-19,109.86,89.48,30.18,90.76,23.66
2010-02-22,108.84,89.6,30.43,88.93,23.73
2010-02-23,107.35,90.11,31.68,87.16,23.74
2010-02-24,106.7,90.62,32.47,85.42,23.85
2010-02-25,108.92,90.61,32.76,87.93,23.71
2010-02-26,109.49,90.53,32.72,90.42,23.79
2010-03-01,109.86,90.34,32.37,93.98,23.71
2010-03-02,111.49,90.41,32.46,94.73,23.59
2010-03-03,111.25,90.47,32.43,94.53,23.57
2010-03-04,111.15,90.32,32.2,97.27,23.69
2010-03-05,111.24,89.99,31.2,99.54,23.54
2010-03-08,109.16,90.18,31.25,99.43,23.7
2010-03-09,109.96,89.93,30.79,101.89,23.67
2010-03-10,108.25,89.91,30.8,103.61,23.62
2010-03-11,108.58,89.8,31.11,106.36,23.47
2010-03-12,108.16,90.11,31.77,104.81,23.51
2010-03-15,110.02,90.13,31.82,105.75,23.47
2010-03-16,110.19,90.55,32.77,107.15,23.39
2010-03-17,110.11,90.57,32.87,107.82,23.47
2010-03-18,110.26,90.26,32.29,109.73,23.66
2010-03-19,107.32,90.46,32.77,105.37,23.79
2010-03-22,107.5,90.51,32.27,110.25,23.73
2010-03-23,106.96,89.85,30.95,111.0,24.0
2010-03-24,107.0,89.27,30.03,112.89,24.01
2010-03-25,107.17,89.06,29.5,111.07,24.05
2010-03-26,108.86,89.32,29.82,111.74,23.89
2010-03-29,108.6,89.19,29.5,112.51,23.84
2010-03-30,109.42,89.47,30.24,111.5,23.79
2010-03-31,110.0,89.08,30.06,112.48,23.78
2010-04-01,110.57,88.43,29.24,111.83,23.75
2010-04-05,110.89,88.56,29.09,113.36,23.89
2010-04-06,111.84,88.51,28.67,114.69,23.92
2010-04-07,112.47,89.19,30.2,113.29,23.95
2010-04-08,113.09,88.85,29.86,115.24,23.86
2010-04-09,113.67,89.21,30.45,117.33,23.6
2010-04-12,113.09,89.53,31.22,117.02,23.55
2010-04-13,113.26,89.48,31.02,120.87,23.53
2010-04-14,112.89,89.11,30.01,123.13,23.59
2010-04-15,112.5,89.54,30.6,123.7,23.64
2010-04-16,110.88,89.83,31.16,119.44,23.78
2010-04-19,111.73,89.66,31.14,122.38,23.71
2010-04-20,111.84,89.86,31.66,124.64,23.75
2010-04-21,111.8,90.14,32.26,120.68,23.86
2010-04-22,111.26,89.62,31.52,126.27,23.98
2010-04-23,112.87,89.73,31.81,128.0,23.89
2010-04-26,112.43,90.05,32.17,125.64,23.95
2010-04-27,114.03,90.15,32.45,120.81,24.08
2010-04-28,113.88,89.97,32.08,121.16,24.06
2010-04-29,115.29,90.28,32.55,125.19,23.92
2010-04-30,115.91,90.17,33.11,119.4,24.06
2010-05-03,116.42,90.76,34.7,118.19,24.29
2010-05-04,113.6,91.18,36.14,108.42,24.66
2010-05-05,115.63,91.24,38.57,107.9,24.75
2010-05-06,117.76,91.94,38.26,97.18,24.81
2010-05-07,117.51,90.99,34.7,103.89,24.45
2010-05-10,119.44,91.37,35.79,102.8,24.72
2010-05-11,121.29,91.23,34.84,107.43,24.75
2010-05-12,121.3,91.31,34.93,110.42,24.91
2010-05-13,121.91,91.73,35.92,103.84,25.03
2010-05-14,120.55,91.9,36.67,100.87,25.23
2010-05-17,118.82,91.78,36.92,103.72,25.12
2010-05-18,118.15,92.41,38.21,95.7,25.38
2010-05-19,116.12,93.22,40.77,89.21,25.31
2010-05-20,115.0,94.15,42.86,79.91,25.04
2010-05-21,116.33,93.52,41.94,86.35,25.22
2010-05-24,117.17,94.03,43.0,80.16,25.47
2010-05-25,118.61,93.46,41.11,87.83,25.37
2010-05-26,118.19,92.88,39.1,89.01,25.38
2010-05-27,118.48,92.92,38.64,93.02,25.21
2010-05-28,119.89,93.16,40.24,90.09,25.42
2010-06-01,119.35,92.92,39.74,90.0,25.4
2010-06-02,119.19,92.14,37.39,95.46,25.32
2010-06-03,118.0,93.19,39.43,91.12,25.61
2010-06-04,118.75,93.47,40.2,88.47,25.8
2010-06-07,121.62,93.68,40.71,83.13,25.8
2010-06-08,120.47,93.4,40.19,83.74,25.57
2010-06-09,119.36,93.28,39.83,83.19,25.44
