Date,BSV,SPXL,SQQQ,TECL,TQQQ,UVXY
2012-06-29,81.09,76.87,46.77,48.66,50.17,9.45
2012-07-02,81.03,76.87,46.46,49.01,50.47,8.4
2012-07-03,81.09,77.45,45.51,49.8,51.56,8.26
2012-07-05,81.13,75.05,45.84,49.2,51.14,9.22
2012-07-06,81.15,74.97,47.12,47.75,49.71,8.45
2012-07-09,81.15,75.95,46.38,48.42,50.39,8.15
2012-07-10,81.22,72.96,48.74,45.94,47.97,8.82
2012-07-11,81.19,71.58,50.51,44.34,46.26,8.7
2012-07-12,81.19,72.34,50.32,44.49,46.35,8.19
2012-07-13,81.28,74.8,48.8,45.74,47.74,7.45
2012-07-16,81.28,75.76,47.91,46.64,48.53,7.05
2012-07-17,81.31,75.86,48.36,46.18,48.09,6.83
2012-07-18,81.32,78.6,45.1,49.61,51.44,6.8
2012-07-19,81.32,77.35,44.61,49.67,51.99,6.97
2012-07-20,81.35,73.13,49.01,45.58,47.06,8.43
2012-07-23,81.35,74.41,47.82,47.0,48.46,8.22
2012-07-24,81.41,72.8,50.22,44.49,45.99,8.79
2012-07-25,81.39,75.48,47.94,46.74,48.07,7.59
2012-07-26,81.35,77.05,47.09,47.69,48.92,6.71
2012-07-27,81.34,79.78,44.34,50.02,51.69,6.81
2012-07-30,81.43,79.71,44.61,50.26,51.42,7.48
2012-07-31,81.37,80.05,43.9,51.44,52.16,7.3
2012-08-01,81.29,76.31,46.34,48.75,49.45,7.63
2012-08-02,81.26,79.83,43.5,51.5,52.56,6.42
2012-08-03,81.23,81.7,42.47,52.44,53.83,5.82
2012-08-06,81.24,82.56,41.55,53.55,54.96,5.53
2012-08-07,81.22,81.88,41.39,53.7,55.05,5.97
2012-08-08,81.17,82.64,41.11,54.46,55.42,5.59
2012-08-09,81.24,82.32,41.15,54.12,55.41,5.58
2012-08-10,81.18,83.22,40.64,55.02,56.06,5.32
2012-08-13,81.14,84.49,39.92,56.02,57.1,5.06
2012-08-14,81.12,83.35,40.38,55.19,56.38,5.57
