Date,PSQ,QLD,QQQ,SHY,SPY
2011-03-23,33.33,85.94,56.13,83.91,130.46
2011-03-24,32.86,88.3,56.88,83.91,131.22
2011-03-25,32.73,88.92,57.09,83.78,131.57
2011-03-28,33.15,86.82,56.4,83.79,130.89
2011-03-29,32.55,89.81,57.36,83.78,132.58
2011-03-30,32.62,89.5,57.27,83.84,132.63
2011-03-31,32.36,90.93,57.72,83.61,133.45
2011-04-01,32.42,90.55,57.63,83.77,133.48
2011-04-04,32.67,89.12,57.16,83.75,132.95
2011-04-05,32.46,90.31,57.56,83.7,133.85
2011-04-06,32.63,89.3,57.24,83.73,133.39
2011-04-07,32.49,90.07,57.47,83.7,133.88
2011-04-08,32.67,89.11,57.17,83.71,133.01
2011-04-11,33.07,87.04,56.5,83.77,131.71
2011-04-12,32.89,87.83,56.79,83.8,132.09
2011-04-13,33.1,86.88,56.46,83.87,130.69
2011-04-14,33.04,87.13,56.53,83.88,131.78
2011-04-15,33.33,85.7,56.08,83.99,130.53
2011-04-18,33.12,86.64,56.4,83.99,130.75
2011-04-19,32.39,90.42,57.6,83.99,132.88
2011-04-20,31.91,93.01,58.44,83.98,133.75
2011-04-21,31.93,92.91,58.39,83.97,133.66
2011-04-25,31.82,93.61,58.64,84.02,134.05
2011-04-26,31.65,94.55,58.93,84.0,135.05
2011-04-27,31.57,94.98,59.04,84.1,135.42
2011-04-28,31.6,94.91,59.02,84.1,136.14
2011-04-29,31.49,95.4,59.17,84.04,137.1
2011-05-02,31.64,94.6,58.94,84.07,135.94
2011-05-03,31.76,93.87,58.73,84.06,135.7
2011-05-04,31.99,92.6,58.31,84.11,134.09
2011-05-05,31.65,94.42,58.86,84.08,134.88
2011-05-06,31.85,93.32,58.57,84.18,134.2
2011-05-09,31.66,94.36,58.86,84.15,135.15
2011-05-10,31.52,95.14,59.1,84.14,135.64
2011-05-11,31.85,93.28,58.58,84.19,134.07
2011-05-12,31.59,94.69,58.97,84.18,135.17
2011-05-13,32.05,92.0,58.14,84.2,133.54
2011-05-16,32.63,88.68,57.1,84.23,132.7
2011-05-17,32.39,89.92,57.48,84.23,133.26
2011-05-18,31.97,92.23,58.22,84.12,134.79
2011-05-19,32.03,91.9,58.15,84.23,134.31
2011-05-20,32.69,88.26,56.98,84.27,131.99
2011-05-23,32.62,88.53,57.06,84.23,132.42
2011-05-24,32.95,86.67,56.5,84.27,131.38
2011-05-25,32.88,87.15,56.62,84.31,132.0
2011-05-26,32.53,89.02,57.24,84.33,133.39
2011-05-27,32.11,91.35,57.97,84.32,134.78
2011-05-31,31.93,92.21,58.22,84.32,134.52
2011-06-01,32.52,88.86,57.2,84.32,131.98
2011-06-02,32.88,86.86,56.55,84.36,130.16
2011-06-03,33.07,85.86,56.22,84.33,130.09
2011-06-06,33.17,85.26,56.04,84.36,129.67
2011-06-07,33.39,84.17,55.67,84.4,128.77
2011-06-08,33.57,83.21,55.41,84.4,128.77
2011-06-09,33.64,82.8,55.23,84.36,128.83
2011-06-10,33.96,81.2,54.67,84.34,127.89
2011-06-13,33.73,82.21,55.06,84.31,128.88
2011-06-14,33.89,81.52,54.81,84.37,128.26
2011-06-15,34.2,80.05,54.32,84.42,127.09
2011-06-16,34.06,80.66,54.4,84.42,127.91
2011-06-17,34.54,78.39,53.64,84.44,126.6
2011-06-20,34.12,80.22,54.26,84.42,128.34
2011-06-21,33.64,82.37,55.0,84.46,129.05
2011-06-22,34.13,80.03,54.24,84.49,127.09
2011-06-23,33.61,82.51,55.08,84.49,128.28
2011-06-24,33.98,80.57,54.44,84.52,126.91
2011-06-27,33.39,83.41,55.37,84.4,128.43
2011-06-28,32.9,85.91,56.2,84.32,130.16
2011-06-29,32.73,86.82,56.5,84.36,131.15
2011-06-30,32.38,88.6,57.08,84.28,131.95
2011-07-01,31.86,91.3,57.97,84.28,133.8
2011-07-05,31.79,91.86,58.13,84.34,133.48
2011-07-06,31.41,94.03,58.83,84.27,135.13
2011-07-07,31.48,93.53,58.68,84.39,133.84
2011-07-08,31.63,92.63,58.41,84.42,132.73
2011-07-11,31.86,91.17,57.95,84.43,131.69
2011-07-12,31.88,91.1,57.94,84.43,132.11
2011-07-13,31.88,91.09,57.91,84.39,132.17
2011-07-14,31.98,90.46,57.73,84.4,131.64
2011-07-15,32.06,89.89,57.53,84.43,131.06
2011-07-18,31.75,91.63,58.09,84.45,131.35
2011-07-19,31.14,95.0,59.18,84.42,133.08
2011-07-20,31.44,93.33,58.66,84.4,133.39
2011-07-21,31.25,94.29,58.96,84.41,134.5
2011-07-22,31.19,94.73,59.13,84.36,133.33
2011-07-25,31.0,95.87,59.44,84.37,133.75
2011-07-26,31.09,95.15,59.24,84.37,132.58
2011-07-27,31.71,91.47,58.12,84.41,130.62
2011-07-28,31.92,90.24,57.72,84.43,128.9
2011-07-29,31.38,93.43,58.7,84.4,130.95
2011-08-01,32.03,89.5,57.46,84.46,127.77
2011-08-02,32.64,85.95,56.34,84.46,125.66
2011-08-03,32.87,84.87,56.0,84.49,124.42
2011-08-04,33.47,80.8,54.72,84.53,121.9
2011-08-05,35.11,73.56,52.18,84.58,116.98
2011-08-08,35.59,70.95,51.35,84.55,114.25
2011-08-09,35.19,72.0,51.83,84.72,115.18
2011-08-10,35.27,71.3,51.59,84.7,113.45
2011-08-11,33.97,76.47,53.43,84.68,118.55
2011-08-12,33.77,77.35,53.79,84.68,119.24
2011-08-15,33.76,77.35,53.83,84.67,119.34
2011-08-16,33.68,77.84,53.97,84.7,120.31
2011-08-17,34.84,72.5,52.13,84.73,116.5
2011-08-18,35.94,67.76,50.42,84.67,112.91
2011-08-19,35.34,69.79,51.23,84.68,115.12
2011-08-22,35.8,68.07,50.55,84.66,113.17
2011-08-23,34.64,72.35,52.13,84.67,116.18
2011-08-24,34.32,73.7,52.66,84.7,118.8
2011-08-25,34.99,70.95,51.66,84.71,115.66
2011-08-26,33.61,76.53,53.66,84.7,119.52
2011-08-29,33.16,78.54,54.41,84.71,120.86
2011-08-30,32.61,81.15,55.3,84.73,122.48
2011-08-31,32.69,80.86,55.2,84.68,122.25
2011-09-01,33.69,76.15,53.58,84.66,118.47
2011-09-02,34.65,71.77,52.04,84.62,114.43
2011-09-06,33.34,77.41,54.05,84.63,118.85
2011-09-07,33.12,78.3,54.36,84.67,119.59
2011-09-08,33.34,77.26,54.01,84.68,117.68
2011-09-09,34.21,73.34,52.59,84.66,114.49
2011-09-12,33.3,77.38,54.06,84.63,117.08
2011-09-13,32.81,79.66,54.86,84.67,118.32
2011-09-14,32.11,82.93,55.96,84.62,120.55
2011-09-15,31.93,83.93,56.2,84.64,121.31
2011-09-16,32.11,82.88,55.89,84.69,119.56
2011-09-19,31.52,85.97,56.9,84.68,120.83
2011-09-20,31.66,85.19,56.65,84.7,120.26
2011-09-21,33.22,77.27,53.97,84.63,113.28
2011-09-22,33.73,74.89,53.13,84.59,112.16
2011-09-23,32.9,78.59,54.42,84.58,114.64
2011-09-26,32.14,82.27,55.71,84.53,118.53
2011-09-27,32.21,81.83,55.59,84.52,117.83
2011-09-28,32.32,81.2,55.36,84.53,117.12
2011-09-29,33.67,74.94,53.16,84.56,114.45
2011-09-30,34.33,72.0,52.02,84.53,112.5
2011-10-03,35.33,67.77,50.62,84.52,108.43
2011-10-04,34.3,71.72,52.06,84.5,112.59
2011-10-05,33.37,75.57,53.46,84.47,114.35
2011-10-06,32.83,78.1,54.4,84.46,117.16
2011-10-07,32.45,79.81,54.99,84.41,117.72
2011-10-10,31.93,82.1,55.79,84.4,118.85
2011-10-11,31.32,85.24,56.86,84.37,120.6
2011-10-12,31.56,84.17,56.49,84.46,120.03
2011-10-13,30.79,88.24,57.82,84.43,121.86
2011-10-14,30.74,88.4,57.91,84.46,121.99
2011-10-17,31.13,86.26,57.19,84.47,120.08
2011-10-18,30.87,87.63,57.67,84.48,122.33
