Date,BIL,SQQQ,TQQQ,UPRO
2010-02-11,45.87,79.27,80.79,131.54
2010-02-12,45.87,74.79,85.35,138.66
2010-02-16,45.87,72.65,87.78,143.98
2010-02-17,45.85,72.41,88.0,143.22
2010-02-18,45.86,71.4,89.36,145.47
2010-02-19,45.86,70.3,90.76,149.0
2010-02-22,45.86,71.54,88.93,146.16
2010-02-23,45.85,72.98,87.16,143.22
2010-02-24,45.85,74.21,85.42,139.64
2010-02-25,45.85,72.0,87.93,145.7
2010-02-26,45.86,70.27,90.42,147.39
2010-03-01,45.86,67.3,93.98,152.25
2010-03-02,45.86,67.16,94.73,152.57
2010-03-03,45.85,67.03,94.53,152.45
2010-03-04,45.84,64.9,97.27,156.33
2010-03-05,45.85,63.3,99.54,159.8
2010-03-08,45.85,63.64,99.43,158.17
2010-03-09,45.84,61.45,101.89,160.85
2010-03-10,45.85,60.83,103.61,161.67
2010-03-11,45.85,59.16,106.36,166.97
2010-03-12,45.84,60.2,104.81,164.01
2010-03-15,45.84,59.7,105.75,166.33
2010-03-16,45.85,58.86,107.15,170.37
2010-03-17,45.84,58.41,107.82,171.87
2010-03-18,45.84,57.46,109.73,173.22
2010-03-19,45.84,59.6,105.37,166.08
2010-03-22,45.84,57.14,110.25,172.54
2010-03-23,45.84,56.63,111.0,173.3
2010-03-24,45.85,55.65,112.89,176.34
2010-03-25,45.85,56.61,111.07,172.95
2010-03-26,45.85,56.24,111.74,174.28
2010-03-29,45.85,55.79,112.51,175.45
2010-03-30,45.86,56.33,111.5,173.16
2010-03-31,45.84,55.82,112.48,177.06
2010-04-01,45.86,56.19,111.83,179.03
2010-04-05,45.85,55.32,113.36,179.78
2010-04-06,45.86,54.63,114.69,181.49
2010-04-07,45.84,55.31,113.29,177.19
2010-04-08,45.85,54.35,115.24,182.42
2010-04-09,45.84,53.37,117.33,185.53
2010-04-12,45.84,53.53,117.02,185.17
2010-04-13,45.84,51.7,120.87,188.21
2010-04-14,45.84,50.68,123.13,191.35
2010-04-15,45.84,50.53,123.7,190.96
2010-04-16,45.84,52.37,119.44,182.0
2010-04-19,45.84,50.97,122.38,189.28
2010-04-20,45.84,50.04,124.64,191.07
2010-04-21,45.84,51.63,120.68,185.59
2010-04-22,45.85,49.41,126.27,191.1
2010-04-23,45.84,48.63,128.0,195.35
2010-04-26,45.84,49.6,125.64,189.66
2010-04-27,45.84,51.25,120.81,182.0
2010-04-28,45.84,51.3,121.16,186.64
2010-04-29,45.84,49.41,125.19,190.21
2010-04-30,45.85,51.64,119.4,183.08
2010-05-03,45.84,51.96,118.19,181.05
2010-05-04,45.85,56.19,108.42,169.61
2010-05-05,45.84,56.43,107.9,168.83
2010-05-06,45.85,62.09,97.18,152.78
2010-05-07,45.85,56.78,103.89,165.2
2010-05-10,45.85,56.89,102.8,161.7
2010-05-11,45.86,54.62,107.43,167.18
2010-05-12,45.86,53.0,110.42,170.92
2010-05-13,45.86,56.08,103.84,161.96
2010-05-14,45.86,57.66,100.87,157.76
2010-05-17,45.86,56.0,103.72,160.8
2010-05-18,45.85,60.53,95.7,147.81
2010-05-19,45.86,64.58,89.21,138.37
2010-05-20,45.86,71.38,79.91,124.99
2010-05-21,45.86,65.94,86.35,134.15
2010-05-24,45.85,70.93,80.16,121.95
2010-05-25,45.86,64.92,87.83,134.59
2010-05-26,45.86,63.76,89.01,136.88
2010-05-27,45.86,60.59,93.02,141.86
2010-05-28,45.85,62.54,90.09,132.72
2010-06-01,45.85,62.45,90.0,132.27
2010-06-02,45.85,58.57,95.46,141.6
2010-06-03,45.85,60.96,91.12,133.57
2010-06-04,45.86,62.12,88.47,128.16
2010-06-07,45.86,66.19,83.13,122.45
2010-06-08,45.86,65.7,83.74,128.17
2010-06-09,45.86,66.01,83.19,130.13
2010-06-10,45.86,64.69,84.23,131.24
2010-06-11,45.87,59.31,91.85,140.0
2010-06-14,45.86,60.12,90.73,139.1
2010-06-15,45.86,56.54,95.69,143.26
2010-06-16,45.86,54.56,99.23,146.44
2010-06-17,45.85,54.54,99.18,146.76
2010-06-18,45.85,52.63,102.7,151.82
2010-06-21,45.85,55.42,97.46,145.04
2010-06-22,45.85,57.18,94.35,138.07
2010-06-23,45.85,58.85,91.7,134.48
2010-06-24,45.86,60.24,89.4,130.67
2010-06-25,45.85,60.95,88.32,131.83
2010-06-28,45.86,64.47,83.35,124.52
2010-06-29,45.85,69.53,76.54,116.99
2010-06-30,45.86,71.39,74.27,114.51
2010-07-01,45.85,72.25,73.33,114.25
2010-07-02,45.86,69.84,75.77,115.96
2010-07-06,45.86,71.81,73.75,114.09
2010-07-07,45.85,64.03,81.95,127.17
2010-07-08,45.86,64.59,81.17,127.73
2010-07-09,45.86,62.73,83.34,129.17
2010-07-12,45.86,60.44,86.59,134.95
2010-07-13,45.85,59.42,88.25,135.36
2010-07-14,45.85,59.16,88.53,136.58
2010-07-15,45.85,59.31,88.43,134.39
2010-07-16,45.86,62.95,82.5,127.04
2010-07-19,45.86,64.86,79.72,122.67
2010-07-20,45.85,57.68,89.8,133.93
2010-07-21,45.85,59.46,86.76,131.36
2010-07-22,45.86,58.41,87.99,134.6
2010-07-23,45.86,56.0,91.93,139.6
2010-07-26,45.85,54.0,95.0,145.53
2010-07-27,45.84,55.08,93.25,142.33
2010-07-28,45.84,55.27,92.8,142.75
2010-07-29,45.84,58.83,87.08,134.0
2010-07-30,45.84,54.99,93.29,144.43
2010-08-02,45.84,54.03,94.62,146.4
2010-08-03,45.84,53.74,95.05,146.58
2010-08-04,45.84,53.66,95.08,145.35
2010-08-05,45.84,55.08,92.51,143.47
2010-08-06,45.85,52.68,96.82,148.12
2010-08-09,45.85,53.69,95.0,144.68
2010-08-10,45.84,56.46,90.07,139.0
2010-08-11,45.85,61.48,82.0,127.9
2010-08-12,45.85,60.16,84.13,130.2
2010-08-13,45.86,61.61,81.9,127.71
2010-08-16,45.86,59.15,85.48,133.31
2010-08-17,45.85,58.48,86.35,134.61
2010-08-18,45.86,58.4,86.33,133.51
2010-08-19,45.86,60.21,83.5,127.46
2010-08-20,45.85,58.71,85.84,129.13
2010-08-23,45.85,63.64,78.93,121.58
2010-08-24,45.86,66.38,75.54,118.13
2010-08-25,45.86,62.4,80.38,123.21
2010-08-26,45.85,64.09,78.22,121.32
2010-08-27,45.85,63.89,78.09,123.58
2010-08-30,45.86,66.0,75.6,117.76
2010-08-31,45.85,62.76,79.3,124.01
2010-09-01,45.85,59.5,83.27,130.82
2010-09-02,45.85,55.82,88.3,137.52
2010-09-03,45.85,55.48,88.75,136.57
2010-09-07,45.85,55.44,88.75,134.7
2010-09-08,45.85,52.5,93.7,141.3
2010-09-09,45.86,53.15,92.69,139.5
2010-09-10,45.85,51.45,95.44,144.88
2010-09-13,45.85,50.75,96.9,144.61
2010-09-14,45.85,50.22,97.56,143.91
2010-09-15,45.85,49.11,99.87,145.38
2010-09-16,45.85,47.34,103.49,148.99
2010-09-17,45.85,47.25,103.64,148.4
2010-09-20,45.86,45.22,108.0,153.83
2010-09-21,45.86,45.9,106.3,152.0
2010-09-22,45.85,46.58,104.77,146.38
2010-09-23,45.86,44.2,110.48,151.47
2010-09-24,45.85,42.83,113.23,156.02
2010-09-27,45.85,43.28,112.47,154.23
2010-09-28,45.85,43.85,110.89,154.13
2010-09-29,45.85,43.19,112.58,156.45
2010-09-30,45.85,43.28,111.99,156.21
2010-10-01,45.85,45.0,107.87,153.62
2010-10-04,45.85,44.52,108.77,155.23
2010-10-05,45.85,42.9,112.46,160.31
2010-10-06,45.85,42.88,112.0,162.29
2010-10-07,45.85,43.24,111.41,160.51
2010-10-08,45.85,42.25,113.77,163.26
2010-10-11,45.85,42.58,112.93,161.23
2010-10-12,45.85,40.61,118.18,167.21
2010-10-13,45.85,40.37,119.0,167.79
2010-10-14,45.85,39.17,122.43,169.7
2010-10-15,45.85,38.0,125.94,167.53
2010-10-18,45.86,39.55,120.76,164.91
2010-10-19,45.86,39.2,121.92,164.06
2010-10-20,45.85,37.96,125.74,170.16
2010-10-21,45.86,38.38,124.26,169.59
2010-10-22,45.85,37.18,128.05,173.0
2010-10-25,45.85,37.7,126.31,168.75
2010-10-26,45.85,37.26,127.57,167.72
2010-10-27,45.86,36.02,132.36,172.55
2010-10-28,45.85,36.3,131.27,169.33
2010-10-29,45.86,36.09,132.0,172.88
2010-11-01,45.85,35.51,134.12,174.24
2010-11-02,45.85,35.08,135.62,175.47
2010-11-03,45.85,33.58,141.66,182.26
2010-11-04,45.85,33.38,142.08,187.25
2010-11-05,45.85,33.59,141.19,187.17
2010-11-08,45.85,32.93,144.29,189.39
2010-11-09,45.85,33.7,140.71,183.55
2010-11-10,45.85,34.88,135.5,181.02
2010-11-11,45.85,34.51,137.41,180.05
2010-11-12,45.85,35.09,134.88,180.44
2010-11-15,45.85,36.87,128.42,173.28
2010-11-16,45.85,37.71,124.9,168.64
2010-11-17,45.85,36.2,129.91,173.47
2010-11-18,45.85,35.83,131.28,175.29
2010-11-19,45.85,35.97,130.46,174.77
2010-11-22,45.86,35.72,131.49,170.71
2010-11-23,45.85,35.24,132.77,172.39
2010-11-24,45.85,34.77,134.26,172.09
2010-11-26,45.85,34.9,133.5,169.25
2010-11-29,45.85,35.95,129.64,167.0
2010-11-30,45.86,34.53,134.77,176.55
2010-12-01,45.85,33.66,137.7,180.75
2010-12-02,45.85,33.21,139.45,185.0
2010-12-03,45.85,32.53,142.36,187.41
2010-12-06,45.85,31.42,147.33,193.15
2010-12-07,45.85,32.29,143.62,188.79
2010-12-08,45.85,31.58,146.45,193.06
2010-12-09,45.85,31.77,145.32,194.06
2010-12-10,45.85,31.0,149.21,198.7
2010-12-13,45.85,31.52,146.78,196.99
2010-12-14,45.85,31.63,146.12,195.54
2010-12-15,45.85,31.9,144.9,194.99
2010-12-16,45.85,31.14,148.24,196.75
2010-12-17,45.85,31.02,149.05,199.6
2010-12-20,45.86,30.74,150.34,201.29
2010-12-21,45.85,30.55,151.09,203.62
2010-12-22,45.85,30.72,150.44,204.35
2010-12-23,45.85,31.01,148.87,202.03
2010-12-27,45.85,30.55,150.98,205.49
2010-12-28,45.86,30.61,150.81,205.78
2010-12-29,45.85,30.63,150.44,205.01
2010-12-30,45.85,31.0,148.92,203.66
2010-12-31,45.85,30.27,151.89,209.57
2011-01-03,45.86,29.42,156.48,212.54
2011-01-04,45.85,30.09,152.79,208.52
2011-01-05,45.86,28.97,158.71,214.43
2011-01-06,45.85,28.67,160.39,213.64
2011-01-07,45.85,29.07,158.0,208.9
2011-01-10,45.86,28.16,163.15,213.21
2011-01-11,45.85,27.97,164.05,216.51
2011-01-12,45.85,27.77,165.51,218.65
2011-01-13,45.86,27.76,165.63,216.53
2011-01-14,45.85,27.78,165.27,222.25
2011-01-18,45.86,26.79,171.35,222.95
