Date,QID,SHV,SHY,SOXL,SPLV,SQQQ,STIP,TECL,TLT,TMF,TMV,TQQQ,UDN,UGL,UPRO,UUP,VIXY,XLP
2012-06-29,32.25,110.22,84.38,28.75,27.66,46.77,102.19,48.66,125.38,79.11,54.29,50.17,26.56,79.32,76.82,22.51,31.7,34.75
2012-07-02,32.1,110.2,84.36,28.4,27.74,46.46,102.13,49.01,125.96,80.17,53.46,50.47,26.51,81.6,76.8,22.56,30.0,34.99
2012-07-03,31.64,110.2,84.37,28.73,27.77,45.51,102.34,49.8,125.32,79.08,54.31,51.56,26.22,80.0,77.53,22.79,29.82,35.11
2012-07-05,31.83,110.21,84.42,27.79,27.58,45.84,102.37,49.2,126.65,81.49,52.58,51.14,26.14,78.79,75.02,22.88,31.5,34.89
2012-07-06,32.42,110.2,84.44,26.18,27.63,47.12,102.36,47.75,127.37,82.93,51.64,49.71,26.07,78.13,74.88,22.93,30.08,34.99
2012-07-09,32.13,110.2,84.43,25.0,27.72,46.38,102.34,48.42,127.86,83.82,51.07,50.39,26.11,79.61,75.99,22.88,29.55,35.05
2012-07-10,33.17,110.2,84.42,23.98,27.63,48.74,102.42,45.94,128.63,85.38,50.18,47.97,26.06,77.07,72.94,22.93,30.82,35.03
2012-07-11,33.98,110.2,84.43,22.49,27.56,50.51,102.42,44.34,129.05,86.21,49.62,46.26,25.92,75.68,71.58,23.04,30.57,34.85
2012-07-12,33.92,110.2,84.45,22.15,27.64,50.32,102.28,44.49,129.23,86.55,49.39,46.35,25.93,77.91,72.36,23.03,29.61,35.04
2012-07-13,33.22,110.21,84.49,22.24,27.84,48.8,102.44,45.74,130.3,88.64,48.17,47.74,26.08,78.81,74.83,22.91,28.32,35.31
2012-07-16,32.82,110.2,84.5,22.25,27.86,47.91,102.51,46.64,129.24,86.61,49.35,48.53,26.13,78.39,75.78,22.87,27.62,35.28
2012-07-17,33.02,110.2,84.5,21.23,27.89,48.36,102.51,46.18,129.31,86.61,49.27,48.09,26.1,77.05,75.87,22.9,27.24,35.3
2012-07-18,31.57,110.2,84.53,24.7,28.05,45.1,102.67,49.61,128.46,84.9,50.22,51.44,26.16,78.05,78.6,22.85,27.16,35.38
2012-07-19,31.3,110.2,84.51,25.04,27.94,44.61,102.6,49.67,129.59,87.25,48.91,51.99,26.06,77.29,77.36,22.93,27.53,35.09
2012-07-20,33.31,110.2,84.54,22.4,27.68,49.01,102.63,45.58,131.32,90.64,47.0,47.06,25.87,76.77,73.1,23.09,30.37,34.8
2012-07-23,32.78,110.2,84.54,23.4,27.65,47.82,102.49,47.0,130.35,88.75,48.0,48.46,25.93,77.97,74.37,23.03,29.92,34.81
