Date,BSV,QLD,QQQ,TECL,TMF,TQQQ,UPRO,UVXY,VIXM,VIXY
2012-06-29,81.09,53.42,64.25,48.66,79.11,50.17,76.82,9.45,54.86,31.7
2012-07-02,81.03,53.64,64.39,49.01,80.17,50.47,76.8,8.4,53.66,30.0
2012-07-03,81.09,54.34,64.83,49.8,79.08,51.56,77.53,8.26,53.55,29.82
2012-07-05,81.13,54.1,64.63,49.2,81.49,51.14,75.02,9.22,54.15,31.5
2012-07-06,81.15,53.09,64.05,47.75,82.93,49.71,74.88,8.45,52.45,30.08
2012-07-09,81.15,53.53,64.35,48.42,83.82,50.39,75.99,8.15,51.98,29.55
2012-07-10,81.22,51.84,63.29,45.94,85.38,47.97,72.94,8.82,52.59,30.82
2012-07-11,81.19,50.56,62.52,44.34,86.21,46.26,71.58,8.7,53.12,30.57
2012-07-12,81.19,50.69,62.6,44.49,86.55,46.35,72.36,8.19,51.47,29.61
2012-07-13,81.28,51.69,63.24,45.74,88.64,47.74,74.83,7.45,50.89,28.32
2012-07-16,81.28,52.29,63.6,46.64,86.61,48.53,75.78,7.05,51.03,27.62
2012-07-17,81.31,51.97,63.41,46.18,86.61,48.09,75.87,6.83,50.48,27.24
2012-07-18,81.32,54.31,64.84,49.61,84.9,51.44,78.6,6.8,50.24,27.16
2012-07-19,81.32,54.71,65.08,49.67,87.25,51.99,77.36,6.97,50.75,27.53
2012-07-20,81.35,51.24,62.99,45.58,90.64,47.06,73.1,8.43,53.33,30.37
2012-07-23,81.35,52.22,63.57,47.0,88.75,48.46,74.37,8.22,52.66,29.92
2012-07-24,81.41,50.46,62.47,44.49,91.28,45.99,72.78,8.79,52.96,31.0
2012-07-25,81.39,52.01,63.44,46.74,91.12,48.07,75.48,7.59,51.47,28.89
2012-07-26,81.35,52.57,63.83,47.69,87.66,48.92,77.1,6.71,50.41,27.16
2012-07-27,81.34,54.58,65.03,50.02,84.63,51.69,79.86,6.81,50.72,27.43
2012-07-30,81.43,54.36,64.92,50.26,87.5,51.42,79.73,7.48,51.37,28.8
2012-07-31,81.37,54.9,65.26,51.44,85.45,52.16,80.03,7.3,51.67,28.48
2012-08-01,81.29,53.0,64.12,48.75,87.48,49.45,76.4,7.63,51.93,29.11
2012-08-02,81.26,55.2,65.42,51.5,84.0,52.56,79.9,6.42,51.02,26.71
2012-08-03,81.23,56.07,65.94,52.44,83.57,53.83,81.81,5.82,49.51,25.46
2012-08-06,81.24,56.82,66.37,53.55,80.29,54.96,82.61,5.53,49.42,24.82
2012-08-07,81.22,56.94,66.48,53.7,80.68,55.05,81.98,5.97,50.14,25.87
2012-08-08,81.17,57.23,66.61,54.46,78.0,55.42,82.73,5.59,49.75,25.05
2012-08-09,81.24,57.16,66.58,54.12,80.66,55.41,82.35,5.58,49.81,25.02
2012-08-10,81.18,57.65,66.84,55.02,80.39,56.06,83.33,5.32,49.18,24.38
2012-08-13,81.14,58.36,67.27,56.02,76.42,57.1,84.57,5.06,48.69,23.84
2012-08-14,81.12,57.84,67.0,55.19,74.69,56.38,83.39,5.57,49.21,25.02
2012-08-15,81.13,58.7,67.47,56.2,73.12,57.61,84.23,5.52,49.93,24.89
2012-08-16,81.13,59.85,68.17,57.87,71.69,59.35,86.23,5.22,50.06,24.26
2012-08-17,81.15,60.08,68.27,58.4,71.84,59.66,85.75,5.12,49.56,23.98
2012-08-20,81.1,60.7,68.6,59.29,71.87,60.6,86.73,4.91,49.7,23.49
2012-08-21,81.2,59.52,68.0,57.05,75.4,58.86,84.65,5.48,50.93,24.86
2012-08-22,81.26,59.83,68.12,57.06,77.58,59.28,84.83,5.44,51.17,24.8
2012-08-23,81.32,59.06,67.71,55.99,79.09,58.12,82.75,5.74,51.5,25.47
2012-08-24,81.3,60.63,68.58,58.2,78.74,60.44,85.51,5.07,50.46,23.9
2012-08-27,81.31,60.15,68.34,57.28,79.68,59.76,84.25,5.38,50.9,24.64
2012-08-28,81.31,60.28,68.4,57.75,79.28,60.01,84.86,5.39,50.71,24.66
2012-08-29,81.34,59.79,68.1,56.96,80.5,59.16,83.68,5.71,51.25,25.37
2012-08-30,81.38,59.87,68.2,56.93,79.53,59.4,84.39,5.5,50.8,24.86
2012-08-31,81.4,59.67,68.03,56.67,82.26,59.04,83.95,5.37,50.58,24.6
2012-09-04,81.33,59.6,68.06,56.93,82.0,58.99,84.05,5.19,49.94,24.27
2012-09-05,81.28,60.3,68.44,57.93,79.5,59.99,85.22,4.74,48.88,23.12
2012-09-06,81.32,61.97,69.37,60.07,80.54,62.43,89.27,37.7,46.88,20.81
2012-09-07,81.33,61.77,69.25,60.0,76.0,62.12,89.6,35.94,46.47,20.26
2012-09-10,81.33,60.47,68.55,58.62,76.6,60.22,88.54,38.35,46.74,21.04
2012-09-11,81.25,60.71,68.68,59.5,73.23,60.53,89.95,36.46,45.23,20.53
2012-09-12,81.3,60.76,68.69,60.0,73.59,60.59,89.87,35.91,45.18,20.4
2012-09-13,81.35,62.77,69.81,62.78,68.92,63.6,94.65,29.56,42.33,18.52
