Date,BIL,BTAL,COST,DBC,EDC,EDZ,FNGD,GE,GLD,IEF,IWM,LLY,NVO,PGR,PSQ,QID,QQQ,SLV,SOXL,SOXS,SPHB,SPXL,SPXU,SPY,SQQQ,SVXY,TECL,TECS,TLT,TMF,TMV,TQQQ,UUP,VIXY,VTI,VWO,XHB,XLE,XLK,XLP,XME
2018-01-23,91.5,18.31,174.9606,17.26,162.97,6.93,45.81,74.6669,128.69,103.74,159.63,75.5434,58.04,45.7731,32.68,11.29,169.57,16.54,181.2,12.23,45.89,53.19,9.44,284.16,16.63,130.57,138.38,5.54,123.15,20.12,19.22,178.07,23.16,22.62,145.84,50.43,46.8,78.09,68.66,58.5,39.47
2018-01-25,91.5,18.6,177.428,17.18,165.53,6.8,45.21,72.9925,128.24,103.96,159.53,75.4989,57.9,46.0032,32.74,11.33,169.29,16.38,172.0,12.81,45.45,53.19,9.43,284.32,16.71,129.14,137.23,5.6,123.88,20.51,18.9,177.12,23.27,22.86,145.82,50.69,46.32,77.26,68.58,58.32,38.81
2018-01-26,91.52,18.49,177.9843,17.21,162.43,6.92,43.65,72.4947,127.57,103.49,159.06,77.2893,57.28,45.0006,32.5,11.17,170.57,16.29,178.74,12.21,45.85,54.14,9.25,285.99,16.33,125.71,140.25,5.49,122.95,20.01,19.3,180.95,23.34,23.49,146.58,50.28,46.22,77.2,68.99,58.81,38.9
2018-01-29,91.49,18.55,177.2844,17.16,155.62,7.19,44.55,72.8568,127.91,103.42,157.63,77.1734,57.05,43.6776,32.89,11.41,168.55,16.31,171.1,12.71,45.23,52.17,9.6,283.2,16.92,115.11,134.02,5.75,122.28,19.72,19.64,174.58,23.22,25.45,144.74,49.72,45.03,75.65,68.0,58.08,38.3
2018-01-30,91.51,18.65,177.1498,17.09,160.98,6.95,41.98,72.6757,127.45,103.44,157.72,77.0488,56.42,44.2282,32.64,11.27,169.65,16.26,175.25,12.38,45.23,52.31,9.56,282.75,16.58,118.0,135.87,5.62,122.87,19.96,19.36,178.05,23.21,24.79,144.94,50.18,45.49,75.0,68.34,58.14,37.52
2018-01-31,91.41,18.65,173.534,17.12,154.33,7.25,44.67,72.6757,127.18,103.1,155.73,72.6307,52.19,44.6051,32.97,11.49,168.1,16.16,169.0,12.78,44.84,51.29,9.75,281.1,17.03,117.12,135.0,5.68,122.48,19.89,19.41,173.12,23.24,25.0,143.98,49.56,44.5,74.95,68.2,57.6,36.9
2018-02-01,91.44,18.59,171.596,17.11,147.03,7.6,44.63,71.9065,126.81,102.31,156.13,72.9336,51.25,44.9492,33.13,11.6,167.3,16.02,166.04,12.91,44.8,50.75,9.85,280.0,17.27,118.17,132.85,5.77,120.15,18.81,20.56,170.79,23.28,24.78,143.51,48.9,44.12,74.23,67.74,57.29,36.76
2018-02-02,91.45,18.62,171.0666,16.95,139.57,7.97,49.09,70.0511,126.81,102.25,152.61,72.0517,50.95,44.4457,33.97,12.19,163.07,15.91,150.25,14.35,43.32,47.1,10.56,273.47,18.61,99.8,120.9,6.27,119.17,18.31,21.03,157.75,23.35,28.74,140.21,48.21,42.71,71.49,65.77,56.23,35.14
2018-02-05,91.42,18.83,160.5241,16.74,125.42,8.79,53.5,67.0644,126.53,102.95,145.32,68.1948,49.53,43.17,35.47,13.26,155.81,15.75,127.9,16.44,40.93,40.26,12.18,259.73,21.11,12.29,104.81,7.12,120.44,18.91,20.37,136.82,23.48,45.06,133.26,46.49,40.62,68.23,62.84,53.53,34.52
2018-02-06,91.43,18.79,165.6294,16.75,130.55,8.32,47.2,69.2818,125.48,102.73,149.64,69.2637,50.0,44.2946,34.15,12.31,161.79,15.53,147.9,14.16,42.58,44.36,11.03,268.46,18.82,12.28,117.86,6.32,120.13,18.73,20.52,153.09,23.47,37.0,137.67,47.24,42.59,70.19,65.37,54.9,35.54
