Date,BIL,BTAL,LABU,SHV,SOXL,SOXS,TECL,TECS,TMF,UVXY
2015-06-01,45.7,19.23,41.55,110.28,36.84,41.11,37.06,38.23,66.32,40.23
2015-06-10,45.72,19.21,40.5,110.27,35.65,42.3,36.74,38.64,71.5,39.0
2015-06-15,45.71,19.35,48.25,110.28,38.21,39.46,38.39,36.43,70.72,36.2
2015-06-19,45.71,18.86,50.01,110.29,37.33,40.63,38.41,36.98,67.28,32.47
2015-06-25,45.71,19.47,49.75,110.29,32.59,45.84,35.74,39.67,66.3,39.3
2015-07-01,45.71,19.45,47.22,110.29,31.85,46.72,35.52,39.67,67.01,37.77
2015-07-02,45.7,19.49,42.75,110.29,31.4,47.05,34.5,40.33,69.98,46.67
2015-07-06,45.7,19.52,46.41,110.3,30.71,47.56,34.79,40.46,72.65,44.61
2015-07-07,45.7,19.75,43.77,110.31,29.5,49.76,34.75,41.02,71.1,42.91
2015-07-09,45.71,19.85,44.97,110.3,28.04,54.14,33.55,41.36,66.2,43.73
2015-07-10,45.7,19.61,51.27,110.3,29.3,49.48,36.0,38.58,66.15,33.27
2015-07-14,45.7,19.5,56.1,110.29,30.1,48.41,37.05,37.87,67.66,30.26
2015-07-16,45.7,19.6,59.4,110.29,29.63,49.06,39.98,34.98,70.11,27.53
2015-07-20,45.7,19.94,56.33,110.28,27.13,53.53,37.69,36.51,72.48,26.22
2015-07-23,45.7,19.94,52.43,110.28,28.42,51.82,37.59,36.82,75.9,27.42
2015-07-24,45.7,20.08,47.13,110.28,25.77,56.0,36.0,38.14,77.18,31.41
2015-07-27,45.7,20.07,46.81,110.28,27.04,52.45,36.71,37.12,75.21,26.66
2015-07-30,45.7,19.79,47.05,110.28,27.63,51.64,37.86,36.39,77.7,25.78
2015-07-31,45.71,20.04,48.57,110.28,26.43,54.04,36.99,37.12,77.93,25.86
2015-08-03,45.7,19.75,48.45,110.29,26.07,54.75,36.38,37.81,79.37,25.6
2015-08-04,45.7,19.9,49.05,110.29,25.77,54.81,36.23,38.0,76.82,25.22
2015-08-05,45.71,20.26,41.21,110.28,25.0,57.04,35.82,38.55,79.62,26.78
2015-08-07,45.7,19.89,37.06,110.26,26.82,52.09,36.91,36.49,81.53,26.26
2015-08-11,45.71,20.0,35.01,110.27,24.74,55.62,35.06,38.71,82.74,29.51
2015-08-12,45.69,20.0,33.23,110.27,24.33,57.32,36.05,37.88,82.29,26.35
2015-08-17,45.69,20.19,38.05,110.26,25.39,55.46,36.81,37.0,80.51,25.43
2015-08-18,45.7,20.37,34.78,110.26,23.94,58.37,36.34,37.61,79.0,26.56
2015-08-19,45.69,20.45,32.67,110.27,22.6,62.02,35.01,38.63,83.49,29.09
2015-08-20,45.71,20.52,26.89,110.28,19.84,69.08,32.4,41.82,85.12,34.62
2015-08-21,45.71,17.76,21.0,110.28,15.32,82.31,23.81,52.52,89.9,68.37
2015-08-24,45.7,20.77,29.0,110.3,19.6,67.9,29.47,49.81,81.73,43.24
2015-08-25,45.7,20.83,27.0,110.28,18.78,71.71,27.78,51.47,78.78,55.63
2015-08-26,45.71,21.3,30.25,110.27,20.7,64.21,30.5,42.2,76.43,49.93
2015-08-27,45.71,20.53,30.0,110.29,21.39,60.36,30.89,41.18,78.93,61.15
2015-08-28,45.71,20.87,32.38,110.28,21.82,60.46,31.06,41.52,79.38,64.54
2015-08-31,45.71,20.47,27.02,110.28,20.2,64.01,30.04,42.56,76.46,80.1
2015-09-01,45.7,20.55,29.02,110.29,20.72,64.79,28.43,44.71,76.18,77.8
2015-09-02,45.71,21.5,31.51,110.28,21.54,59.48,30.0,41.79,76.04,64.62
2015-09-03,45.7,21.5,27.05,110.29,20.57,61.61,28.6,44.13,77.93,74.91
2015-09-04,45.7,20.5,30.75,110.29,21.9,58.65,30.0,41.78,75.98,68.92
2015-09-08,45.7,20.13,33.42,110.28,23.83,52.75,31.67,39.86,72.75,57.52
2015-09-09,45.69,20.41,33.61,110.26,22.53,55.35,31.13,40.0,76.96,60.53
2015-09-14,45.71,20.23,33.5,110.26,22.65,55.33,30.76,40.3,75.01,59.14
2015-09-15,45.69,20.23,34.19,110.25,23.2,53.87,31.99,39.0,71.5,45.16
2015-09-16,45.69,20.23,33.07,110.25,23.41,53.63,31.77,38.82,71.2,42.38
2015-09-17,45.7,20.64,34.5,110.28,21.86,56.46,30.01,41.0,75.57,50.92
2015-09-18,45.69,20.67,37.34,110.29,22.0,56.85,30.81,40.72,74.98,49.94
2015-09-21,45.7,20.92,28.92,110.3,20.28,59.84,29.69,41.3,75.79,50.43
2015-09-22,45.7,20.87,28.6,110.31,20.08,61.84,29.82,41.2,75.95,50.97
2015-09-23,45.7,21.23,27.47,110.3,19.05,65.0,28.93,42.6,78.97,53.31
2015-09-24,45.69,21.05,28.8,110.3,20.29,60.91,30.24,40.63,76.2,47.14
2015-09-25,45.7,21.37,20.9,110.32,19.36,63.64,29.09,42.55,77.08,57.62
2015-09-28,45.69,21.43,17.16,110.31,18.37,67.34,27.8,44.11,79.51,60.05
2015-09-29,45.7,21.37,15.93,110.31,19.44,63.3,28.29,42.96,79.27,56.36
2015-09-30,45.69,21.164,16.51,110.31,20.56,58.83,29.13,42.07,81.18,56.26
2015-10-01,45.7,21.11,15.38,110.31,19.24,62.86,28.59,43.86,84.03,58.62
