Date,AAPL,AMD,AMZN,BSV,LABU,MSFT,NVDA,SQQQ,TQQQ,TSLA,TSM,UVXY
2015-05-28,29.3912,2.27,21.3615,80.37,40.31,41.1261,0.5358,22.9,116.9,16.7333,24.02,40.19
2015-05-29,29.1784,2.29,21.52,80.33,42.69,40.8053,0.539,22.87,116.99,16.7607,24.15,39.54
2015-06-01,29.0843,2.26,21.5035,80.15,41.02,40.6926,0.5382,23.28,114.97,16.5947,23.98,40.6
2015-06-02,29.2635,2.3,21.72,80.1,41.88,41.0741,0.5324,22.87,116.79,16.5467,23.78,40.34
2015-06-03,29.0216,2.28,21.72,80.09,41.8,40.5712,0.522,23.4,114.35,16.5,23.31,40.52
2015-06-04,29.0037,2.31,21.483,79.92,41.32,40.155,0.5329,23.64,113.07,16.4,22.82,42.35
2015-06-05,28.8693,2.31,21.281,79.98,44.04,40.1463,0.537,23.75,112.53,16.7233,22.91,41.15
2015-06-08,28.3766,2.35,21.148,79.98,43.57,39.6781,0.5269,24.62,108.5,17.0267,22.9,42.67
2015-06-09,28.6498,2.31,21.323,79.94,41.55,39.7041,0.5227,24.31,109.79,16.7933,23.06,40.23
2015-06-10,28.932,2.34,21.6145,79.94,43.34,40.4584,0.5196,23.29,114.37,16.884,23.65,37.04
2015-06-11,28.7103,2.31,21.5625,79.95,43.25,40.0769,0.5218,23.81,111.98,16.6807,23.5,37.28
2015-06-12,28.2422,2.32,21.383,80.04,40.5,39.4093,0.5082,24.55,108.38,16.6467,23.41,39.0
2015-06-15,28.4505,2.32,21.2075,80.02,41.68,39.3226,0.509,24.47,108.78,16.6753,23.24,41.07
2015-06-16,28.605,2.37,21.418,80.03,42.86,39.6521,0.516,23.87,111.52,16.8113,23.56,38.42
2015-06-17,28.4953,2.5,21.515,80.13,44.51,40.0769,0.5266,23.55,112.81,17.4667,23.59,37.54
2015-06-18,28.6028,2.53,22.013,80.17,48.25,40.5712,0.531,22.7,116.93,17.4933,23.61,36.2
2015-06-19,28.5535,2.61,21.85,80.14,50.0,40.1723,0.5302,22.52,117.55,17.4767,23.69,35.12
2015-06-22,28.5513,2.62,21.7795,80.03,53.73,39.9989,0.5281,22.49,118.0,17.3547,24.0,33.24
2015-06-23,28.4908,2.6,22.2485,80.06,52.53,39.6,0.5128,22.58,117.42,17.7987,23.96,32.19
2015-06-24,28.8604,2.62,21.9035,80.03,50.01,39.9122,0.5085,22.57,117.38,17.7633,24.04,32.47
2015-06-25,28.5938,2.54,22.088,79.98,48.29,39.5827,0.5082,23.03,115.21,17.926,23.91,33.17
2015-06-26,28.0989,2.41,21.749,80.07,44.48,39.0538,0.4961,24.24,109.18,17.4633,22.67,37.28
