Date,DBMF,GLD,PSQ,QQQ,SH,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY
2019-05-08,25.02,120.96,28.87,183.7,27.52,285.2,9.51,145.75,59.93,50.1,44.73
2019-05-09,25.02,121.41,28.82,184.11,27.48,285.64,9.47,146.0,60.26,50.34,41.62
2019-05-10,24.84,122.63,29.41,180.29,27.79,282.39,10.03,136.84,56.5,48.56,43.14
2019-05-13,24.96,122.6,29.52,179.52,27.82,282.01,10.14,134.82,55.62,48.31,41.98
2019-05-14,25.03,122.71,29.55,179.35,27.86,281.6,10.18,135.88,55.43,48.09,42.54
2019-05-15,25.57,122.03,28.94,183.17,27.45,285.83,9.55,143.9,59.0,50.28,37.76
2019-05-16,25.7,121.03,28.94,183.1,27.53,285.13,9.55,142.99,58.89,49.87,37.94
2019-05-17,25.5,120.51,29.37,180.49,27.64,284.06,9.96,136.74,56.4,49.29,38.02
2019-05-20,25.55,120.08,29.19,181.5,27.46,285.83,9.79,140.5,57.27,50.2,35.56
2019-05-21,25.53,120.35,29.32,180.82,27.5,285.43,9.91,138.46,56.58,49.99,34.75
2019-05-22,25.39,120.82,29.62,178.94,27.73,283.16,10.21,133.25,54.8,48.79,35.99
2019-05-23,25.44,121.13,29.58,179.21,27.69,283.75,40.6,133.9,55.02,49.04,35.76
2019-05-24,25.61,120.8,29.68,178.66,27.74,283.01,41.05,132.74,54.52,48.67,35.8
2019-05-28,25.65,121.11,30.05,176.39,28.17,278.91,42.67,127.67,52.46,46.51,39.04
2019-05-29,25.55,120.96,30.03,176.5,28.15,279.08,42.6,129.23,52.52,46.59,37.63
2019-05-30,25.4,122.52,30.37,174.69,28.46,276.2,43.92,125.52,50.87,45.12,40.58
2019-05-31,25.33,124.09,30.58,173.48,28.55,275.3,44.83,124.42,49.83,44.66,39.94
2019-06-03,25.27,124.88,30.82,172.03,28.35,277.11,45.85,121.71,48.42,45.55,38.88
2019-06-04,25.36,126.18,30.0,176.58,27.81,282.34,42.2,133.99,52.3,48.11,36.8
2019-06-05,25.36,125.93,30.02,176.51,27.73,283.29,42.33,134.89,52.18,48.59,35.81
2019-06-06,25.56,126.79,29.7,178.56,27.49,285.95,40.88,140.94,54.0,49.95,34.9
2019-06-07,25.5,125.46,29.08,182.25,27.16,289.35,38.32,149.61,57.4,51.73,34.71
2019-06-10,25.41,124.94,28.62,185.06,27.01,290.95,36.59,155.74,60.06,52.6,34.12
2019-06-11,25.49,125.6,28.99,182.9,27.24,288.64,37.96,148.97,57.93,51.32,35.5
2019-06-12,25.64,126.03,28.94,183.1,27.16,289.37,37.79,150.12,58.13,51.72,34.28
2019-06-13,25.67,127.21,29.07,182.48,27.18,289.27,38.23,145.64,57.48,51.6,34.88
2019-06-14,25.79,126.7,28.98,183.04,27.16,289.53,37.85,146.18,58.06,51.74,33.94
2019-06-17,25.99,127.58,28.53,185.91,26.99,291.38,36.13,150.68,60.73,52.76,32.64
2019-06-18,25.85,126.77,28.38,186.66,26.88,292.53,35.62,155.28,61.55,53.35,32.66
2019-06-19,26.06,130.41,27.94,189.72,26.57,296.02,33.94,162.83,64.52,55.25,30.58
2019-06-20,25.64,131.81,28.15,188.63,26.62,294.14,34.6,161.1,63.35,54.97,31.93
2019-06-21,25.71,132.77,28.08,188.53,26.63,294.18,34.43,161.02,63.68,55.0,32.21
2019-06-24,25.68,134.9,28.03,188.03,26.55,293.67,34.45,160.53,63.18,54.61,32.26
2019-06-25,25.57,132.99,28.31,186.16,26.72,291.78,35.39,156.52,61.29,53.53,32.5
2019-06-26,25.51,132.38,28.26,186.46,26.76,291.29,35.29,158.37,61.49,53.26,32.71
2019-06-27,25.64,133.05,28.19,186.93,26.66,292.57,35.0,159.5,62.0,53.93,31.77
2019-06-28,25.84,131.55,27.68,190.32,26.28,296.68,33.13,168.86,65.29,56.16,28.91
2019-07-01,25.83,131.27,27.85,189.2,26.39,295.59,33.78,164.93,64.2,55.57,29.0
2019-07-02,26.13,133.61,27.67,190.49,26.25,297.19,33.11,168.01,65.41,56.44,27.34
2019-07-03,25.84,131.44,27.71,190.13,26.23,297.46,33.27,166.88,65.06,56.55,27.9
2019-07-05,25.92,132.2,27.77,189.81,26.28,297.01,33.44,165.64,64.77,56.32,28.14
2019-07-08,25.89,131.41,27.92,188.81,26.41,295.51,33.99,162.89,63.68,55.44,29.44
2019-07-09,25.89,132.94,27.49,191.82,26.16,298.4,32.42,169.92,66.77,57.08,27.77
2019-07-10,25.89,133.58,27.33,192.85,26.08,299.34,31.88,172.43,67.81,57.59,26.56
2019-07-11,25.7,132.88,27.39,192.63,26.05,299.86,32.01,174.61,67.58,57.89,26.18
2019-07-12,25.82,133.18,27.2,193.98,25.94,301.12,31.34,178.19,68.96,58.58,25.64
2019-07-15,25.84,133.17,27.21,193.91,25.97,300.64,31.39,178.25,68.89,58.33,25.46
2019-07-16,25.93,133.0,27.31,193.15,26.06,299.77,31.77,174.41,68.08,57.79,25.41
2019-07-17,25.9,133.84,27.58,191.29,26.28,297.18,32.71,171.28,66.08,56.29,26.71
2019-07-18,25.91,135.45,27.22,193.74,26.04,300.01,31.46,180.0,68.67,57.89,25.6
2019-07-19,25.97,134.56,27.55,191.44,26.25,297.61,32.61,175.17,66.24,56.5,26.66
2019-07-22,26.13,134.43,27.27,193.58,26.12,299.15,31.55,182.73,68.4,57.34,25.27
2019-07-23,26.35,134.59,27.33,193.05,26.12,299.16,31.82,181.42,67.83,57.36,24.95
2019-07-24,26.12,134.28,27.14,194.49,25.98,300.97,31.11,185.82,69.34,58.37,23.9
2019-07-25,26.27,134.24,27.13,194.53,25.99,300.77,31.13,184.86,69.29,58.23,24.04
2019-07-26,26.26,134.05,27.04,195.11,25.9,301.85,30.78,185.7,69.96,58.85,23.78
2019-07-29,26.1,134.76,27.33,193.13,26.06,299.9,31.74,181.34,67.83,57.69,24.82
2019-07-30,26.26,135.03,27.17,194.3,25.98,300.98,31.2,185.06,68.99,58.32,24.88
2019-07-31,26.56,132.42,27.58,191.43,26.29,297.56,32.59,174.03,65.96,56.31,27.09
2019-08-01,26.23,135.39,27.98,188.72,26.62,293.86,33.99,166.94,63.21,54.2,30.24
2019-08-02,25.9,137.97,28.78,183.43,27.15,288.07,36.99,148.94,57.82,51.0,33.96
2019-08-05,26.02,138.33,28.91,182.4,27.33,285.93,37.38,147.9,56.71,49.73,34.89
2019-08-06,26.6,141.26,29.09,181.27,27.47,284.4,38.01,143.74,55.6,48.89,37.25
2019-08-07,26.59,140.92,28.48,185.08,26.99,289.62,35.75,155.56,59.3,51.64,32.79
2019-08-08,26.36,141.28,28.15,187.36,26.72,292.59,34.4,159.99,61.27,53.16,31.57
2019-08-09,26.7,141.69,28.46,185.34,26.97,289.9,35.5,154.16,59.28,51.71,33.3
2019-08-12,26.87,143.2,28.62,184.19,27.18,287.78,36.16,150.42,58.16,50.51,36.72
2019-08-13,27.27,142.9,28.46,185.36,27.14,288.05,35.35,153.27,59.18,50.62,35.25
2019-08-14,27.49,142.98,28.75,183.0,27.42,284.89,36.55,148.29,56.88,48.83,37.17
2019-08-15,27.64,142.75,28.6,184.21,27.27,286.49,35.9,151.74,57.85,49.68,36.12
2019-08-16,27.42,141.29,28.0,188.16,26.74,292.23,33.59,162.12,61.59,52.65,31.9
2019-08-19,27.53,141.77,28.0,187.96,26.77,291.78,33.7,161.1,61.43,52.4,30.64
2019-08-20,27.52,141.62,27.92,188.61,26.7,292.47,33.31,164.13,62.06,52.75,29.48
2019-08-21,27.42,141.39,27.87,188.98,26.65,293.24,33.16,165.9,62.36,53.11,28.83
2019-08-22,27.43,141.84,28.2,186.74,26.86,290.95,34.36,161.07,60.1,51.88,31.28
2019-08-23,27.64,144.35,28.56,184.14,27.19,287.24,35.62,153.02,57.47,49.8,32.88
2019-08-26,27.83,144.3,28.27,186.11,26.97,289.55,34.46,156.74,59.26,50.99,33.0
2019-08-27,28.06,145.39,28.63,183.83,27.3,286.1,35.79,150.32,57.1,49.18,36.1
2019-08-28,27.969,145.4,28.08,187.39,26.78,291.77,33.76,159.37,60.45,52.11,32.22
2019-08-29,28.05,143.87,27.86,188.93,26.55,294.21,32.96,164.26,61.87,53.41,30.72
2019-08-30,28.53,144.97,28.27,186.22,26.88,290.56,34.41,156.93,59.27,51.44,33.48
2019-09-03,28.36,145.54,28.08,187.44,26.65,293.15,33.7,160.22,60.39,52.81,32.02
2019-09-04,28.26,144.98,27.63,190.41,26.32,296.78,32.14,169.29,63.23,54.76,29.75
2019-09-05,28.35,143.64,27.39,192.1,26.19,298.21,31.26,174.31,64.87,55.52,28.57
2019-09-06,27.5,142.36,27.39,192.19,26.11,299.15,31.2,174.97,65.01,56.04,27.06
2019-09-09,27.38,141.23,27.68,190.16,26.28,297.33,32.21,166.01,62.93,55.01,28.03
2019-09-10,27.2,140.31,27.55,191.0,26.18,298.49,31.82,168.2,63.71,55.64,27.28
2019-09-11,27.26,142.75,27.18,193.61,25.95,301.24,30.51,174.26,66.41,57.17,25.9
2019-09-12,27.26,141.73,27.29,193.0,25.91,301.78,30.82,173.14,65.75,57.47,25.3
2019-09-13,27.23,141.6,27.52,191.23,26.08,299.8,31.68,166.0,63.94,56.32,25.83
2019-09-16,26.87,141.82,27.47,191.69,26.07,299.91,31.47,169.06,64.36,56.36,25.82
2019-09-17,27.01,141.93,27.4,192.21,26.02,300.47,31.22,170.25,64.89,56.7,25.13
2019-09-18,27.03,141.57,27.31,192.87,25.94,301.5,30.92,172.34,65.55,57.25,23.78
2019-09-19,27.19,141.61,27.28,193.05,25.93,300.34,30.8,173.69,65.81,57.4,23.24
2019-09-20,27.54,143.22,27.62,190.32,26.17,297.57,31.99,165.43,63.25,55.76,25.47
2019-09-23,27.6,143.21,27.47,191.41,26.0,299.41,31.43,170.46,64.33,56.82,24.08
2019-09-24,27.46,144.08,27.88,187.78,26.21,295.94,33.07,161.78,60.76,54.83,26.83
