Date,BSV,SQQQ,TECL,TQQQ,UVXY
2012-06-29,81.09,46.77,48.66,50.17,9.45
2012-07-02,81.03,46.46,49.01,50.47,8.4
2012-07-03,81.09,45.51,49.8,51.56,8.26
2012-07-05,81.13,45.84,49.2,51.14,9.22
2012-07-06,81.15,47.12,47.75,49.71,8.45
2012-07-09,81.15,46.38,48.42,50.39,8.15
2012-07-10,81.22,48.74,45.94,47.97,8.82
2012-07-11,81.19,50.51,44.34,46.26,8.7
2012-07-12,81.19,50.32,44.49,46.35,8.19
2012-07-13,81.28,48.8,45.74,47.74,7.45
2012-07-16,81.28,47.91,46.64,48.53,7.05
2012-07-17,81.31,48.36,46.18,48.09,6.83
2012-07-18,81.32,45.1,49.61,51.44,6.8
2012-07-19,81.32,44.61,49.67,51.99,6.97
2012-07-20,81.35,49.01,45.58,47.06,8.43
2012-07-23,81.35,47.82,47.0,48.46,8.22
2012-07-24,81.41,50.22,44.49,45.99,8.79
2012-07-25,81.39,47.94,46.74,48.07,7.59
2012-07-26,81.35,47.09,47.69,48.92,6.71
2012-07-27,81.34,44.34,50.02,51.69,6.81
2012-07-30,81.43,44.61,50.26,51.42,7.48
2012-07-31,81.37,43.9,51.44,52.16,7.3
2012-08-01,81.29,46.34,48.75,49.45,7.63
2012-08-02,81.26,43.5,51.5,52.56,6.42
2012-08-03,81.23,42.47,52.44,53.83,5.82
2012-08-06,81.24,41.55,53.55,54.96,5.53
2012-08-07,81.22,41.39,53.7,55.05,5.97
2012-08-08,81.17,41.11,54.46,55.42,5.59
2012-08-09,81.24,41.15,54.12,55.41,5.58
2012-08-10,81.18,40.64,55.02,56.06,5.32
2012-08-13,81.14,39.92,56.02,57.1,5.06
2012-08-14,81.12,40.38,55.19,56.38,5.57
2012-08-15,81.13,39.56,56.2,57.61,5.52
2012-08-16,81.13,38.32,57.87,59.35,5.22
2012-08-17,81.15,38.12,58.4,59.66,5.12
2012-08-20,81.1,37.52,59.29,60.6,4.91
2012-08-21,81.2,38.59,57.05,58.86,5.48
2012-08-22,81.26,38.34,57.06,59.28,5.44
2012-08-23,81.32,39.04,55.99,58.12,5.74
2012-08-24,81.3,37.52,58.2,60.44,5.07
2012-08-27,81.31,37.95,57.28,59.76,5.38
2012-08-28,81.31,37.86,57.75,60.01,5.39
2012-08-29,81.34,38.33,56.96,59.16,5.71
2012-08-30,81.38,38.12,56.93,59.4,5.5
2012-08-31,81.4,38.38,56.67,59.04,5.37
2012-09-04,81.33,38.41,56.93,58.99,5.19
2012-09-05,81.28,37.76,57.93,59.99,4.74
2012-09-06,81.32,36.09,60.07,62.43,37.7
2012-09-07,81.33,36.3,60.0,62.12,35.94
2012-09-10,81.33,37.4,58.62,60.22,38.35
2012-09-11,81.25,37.19,59.5,60.53,36.46
2012-09-12,81.3,37.13,60.0,60.59,35.91
2012-09-13,81.35,35.3,62.78,63.6,29.56
2012-09-14,81.27,34.7,63.09,64.66,33.93
2012-09-17,81.36,35.01,62.81,64.08,32.57
2012-09-18,81.36,34.63,63.4,64.82,29.39
2012-09-19,81.33,34.95,62.65,64.17,30.87
2012-09-20,81.35,34.03,64.18,65.92,29.78
2012-09-21,81.4,35.35,61.89,63.34,29.98
2012-09-24,81.37,34.81,62.74,64.4,27.85
2012-09-25,81.39,36.73,59.14,60.86,34.11
2012-09-26,81.42,37.17,58.6,60.08,33.21
2012-09-27,81.47,36.27,59.97,61.46,30.51
2012-09-28,81.39,36.26,59.86,61.5,29.43
2012-10-01,81.37,36.47,59.66,61.1,30.7
2012-10-02,81.36,36.3,59.48,61.32,30.4
2012-10-03,81.4,35.73,60.26,62.35,29.53
2012-10-04,81.39,35.04,61.49,63.56,26.86
2012-10-05,81.39,36.77,58.3,60.54,28.57
2012-10-08,81.4,37.46,57.52,59.43,28.55
2012-10-09,81.31,38.91,55.31,57.0,30.31
2012-10-10,81.35,38.57,56.16,57.52,29.27
2012-10-11,81.38,39.83,54.18,55.72,28.4
2012-10-12,81.4,39.42,54.46,56.22,29.36
2012-10-15,81.4,38.84,55.2,57.05,26.82
2012-10-16,81.37,37.94,55.94,58.3,26.42
2012-10-17,81.29,37.81,55.71,58.53,26.11
2012-10-18,81.23,38.81,54.14,56.87,26.12
2012-10-19,81.25,41.57,50.53,52.86,28.78
2012-10-22,81.23,41.81,50.51,52.48,31.37
2012-10-23,81.3,41.32,50.34,53.12,31.58
2012-10-24,81.24,41.48,50.08,52.75,30.66
2012-10-25,81.26,42.43,48.55,51.7,31.14
2012-10-26,81.29,42.17,48.98,51.95,29.73
2012-10-31,81.26,42.02,49.09,52.09,31.51
2012-11-01,81.28,40.43,51.4,54.05,26.12
2012-11-02,81.32,42.26,48.72,51.67,28.91
2012-11-05,81.25,41.2,50.19,52.91,28.74
2012-11-06,81.33,42.52,48.45,51.22,28.4
2012-11-07,81.29,43.75,46.98,49.56,31.2
2012-11-08,81.23,46.1,44.22,46.92,32.4
2012-11-09,81.23,44.78,45.5,48.26,30.87
2012-11-12,81.35,46.76,43.92,46.33,28.84
2012-11-13,81.32,45.93,44.71,47.08,26.12
2012-11-14,81.3,48.15,43.01,44.86,29.45
2012-11-15,81.36,48.56,42.23,44.47,29.35
2012-11-16,81.35,46.48,44.0,46.33,25.34
2012-11-19,81.35,44.61,45.65,48.08,22.02
2012-11-20,81.32,44.49,45.22,48.25,21.62
2012-11-21,81.34,43.44,46.5,49.31,21.04
2012-11-23,81.32,42.57,47.6,50.3,20.93
2012-11-26,81.31,41.82,48.22,51.27,19.56
2012-11-27,81.33,42.78,46.72,49.97,21.35
2012-11-28,81.37,40.41,49.25,52.9,18.87
2012-11-29,81.39,40.28,49.25,53.05,18.59
2012-11-30,81.31,39.57,50.13,53.99,18.65
2012-12-03,81.35,40.7,48.79,52.55,20.66
2012-12-04,81.35,41.01,48.33,52.13,21.09
2012-12-05,81.32,42.54,46.67,50.12,20.33
2012-12-06,81.35,40.72,48.85,52.36,20.11
2012-12-07,81.35,42.43,46.91,50.25,19.75
2012-12-10,81.3,40.8,48.64,52.23,19.41
2012-12-11,81.34,39.43,50.39,53.88,18.4
2012-12-12,81.27,40.58,49.21,52.44,19.37
2012-12-13,81.24,42.12,47.28,50.52,20.38
2012-12-14,81.29,42.41,47.07,50.14,20.6
2012-12-17,81.2,40.08,49.31,52.97,18.43
2012-12-18,81.13,38.58,51.0,54.84,17.58
2012-12-19,81.17,39.24,50.15,53.91,19.51
2012-12-20,81.22,41.22,48.24,51.19,23.97
2012-12-21,80.89,40.97,48.9,51.72,22.6
2012-12-24,80.88,40.87,48.44,51.71,23.32
2012-12-26,80.92,41.85,47.61,50.41,24.94
2012-12-27,81.0,43.0,46.27,49.02,26.66
2012-12-28,81.02,43.55,45.46,48.5,28.54
2012-12-31,80.97,37.6,52.35,55.5,16.73
2013-01-02,81.0,36.79,53.07,56.6,16.09
2013-01-03,80.93,37.27,51.96,55.76,15.92
2013-01-04,80.96,37.97,50.86,54.75,15.69
2013-01-07,80.96,37.64,51.4,55.19,15.11
2013-01-08,80.99,37.66,50.84,55.15,14.47
2013-01-09,80.98,36.66,51.82,56.65,14.43
2013-01-10,80.97,36.79,51.67,56.47,14.3
2013-01-11,81.01,37.15,50.86,55.82,14.09
2013-01-14,81.02,37.6,49.99,55.22,14.04
2013-01-15,81.05,37.47,50.02,55.48,13.47
2013-01-16,81.01,36.69,51.21,56.59,12.76
2013-01-17,80.96,36.98,50.3,56.12,13.0
2013-01-18,80.99,36.75,50.87,56.47,11.58
2013-01-22,81.02,36.04,52.32,57.5,10.86
2013-01-23,81.04,37.5,50.32,55.17,10.42
2013-01-24,80.97,37.14,50.64,55.75,10.48
2013-01-25,80.88,36.86,50.31,56.07,10.5
2013-01-28,80.85,36.84,50.44,56.1,11.45
2013-01-29,80.89,36.47,50.91,56.77,10.96
2013-01-30,80.87,36.85,50.88,56.0,11.92
2013-01-31,80.93,36.3,51.83,56.85,10.91
2013-02-01,80.88,36.4,51.75,56.57,11.28
2013-02-04,80.89,37.23,51.12,55.32,11.61
2013-02-05,80.91,36.4,51.46,56.52,11.59
2013-02-06,80.92,36.2,52.18,56.67,10.74
2013-02-07,80.91,35.78,52.56,57.42,10.78
2013-02-08,80.92,35.07,53.66,58.49,10.43
2013-02-11,80.9,35.24,53.53,58.24,10.11
2013-02-12,80.87,35.24,53.35,58.18,9.89
2013-02-13,80.88,35.61,52.19,57.53,10.17
2013-02-14,80.88,35.19,52.87,58.29,9.55
2013-02-15,80.9,35.25,52.75,58.15,9.44
2013-02-19,80.85,34.73,53.51,58.96,8.83
2013-02-20,80.89,36.74,50.81,55.67,10.26
