Date,DIA,PSQ,QLD,QQQ,SMH,SOXL,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY,XLP
2012-06-29,128.63,26.55,53.42,64.25,32.25,28.75,136.53,46.77,48.66,50.17,76.82,9.45,34.75
2012-07-02,128.38,26.5,53.64,64.39,32.3,28.4,136.51,46.46,49.01,50.47,76.8,8.4,34.99
2012-07-03,128.65,26.31,54.34,64.83,32.43,28.73,136.93,45.51,49.8,51.56,77.53,8.26,35.11
2012-07-05,127.79,26.39,54.1,64.63,32.02,27.79,135.56,45.84,49.2,51.14,75.02,9.22,34.89
2012-07-06,127.42,26.64,53.09,64.05,31.36,26.18,135.41,47.12,47.75,49.71,74.88,8.45,34.99
2012-07-09,127.96,26.5,53.53,64.35,30.93,25.0,136.08,46.38,48.42,50.39,75.99,8.15,35.05
2012-07-10,126.42,26.95,51.84,63.29,30.75,23.98,134.23,48.74,45.94,47.97,72.94,8.82,35.03
2012-07-11,125.17,27.27,50.56,62.52,30.22,22.49,133.39,50.51,44.34,46.26,71.58,8.7,34.85
2012-07-12,125.92,27.25,50.69,62.6,30.15,22.15,133.88,50.32,44.49,46.35,72.36,8.19,35.04
2012-07-13,127.21,26.95,51.69,63.24,30.22,22.24,135.42,48.8,45.74,47.74,74.83,7.45,35.31
2012-07-16,127.55,26.8,52.29,63.6,30.25,22.25,136.01,47.91,46.64,48.53,75.78,7.05,35.28
2012-07-17,127.49,26.86,51.97,63.41,30.01,21.23,136.02,48.36,46.18,48.09,75.87,6.83,35.3
2012-07-18,129.29,26.28,54.31,64.84,31.5,24.7,137.63,45.1,49.61,51.44,78.6,6.8,35.38
2012-07-19,128.3,26.18,54.71,65.08,31.2,25.04,136.98,44.61,49.67,51.99,77.36,6.97,35.09
2012-07-20,125.98,27.03,51.24,62.99,30.01,22.4,134.45,49.01,45.58,47.06,73.1,8.43,34.8
2012-07-23,126.93,26.8,52.22,63.57,30.46,23.4,135.2,47.82,47.0,48.46,74.37,8.22,34.81
2012-07-24,126.66,27.25,50.46,62.47,30.7,23.48,134.26,50.22,44.49,45.99,72.78,8.79,34.76
2012-07-25,128.17,26.82,52.01,63.44,31.58,25.73,135.91,47.94,46.74,48.07,75.48,7.59,34.95
2012-07-26,129.0,26.67,52.57,63.83,31.83,26.3,136.91,47.09,47.69,48.92,77.1,6.71,35.3
2012-07-27,130.33,26.17,54.58,65.03,32.35,27.83,138.57,44.34,50.02,51.69,79.86,6.81,35.65
2012-07-30,130.25,26.2,54.36,64.92,32.22,27.86,138.51,44.61,50.26,51.42,79.73,7.48,35.82
