Date,BIL,BSV,BTAL,CURE,DRN,DUSL,ERX,FAS,LTL,NAIL,PSQ,QID,QLD,QQQ,SH,SHV,SMH,SOXL,SPXU,SPY,SQQQ,TECL,TLT,TMF,TMV,TQQQ,UGE,UPRO,UTSL,UUP,UVXY,UYM,VDE,VIXY,WANT,XLB,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY,XTL
2018-11-29,91.62,78.08,21.42,62.04,21.75,28.15,23.14,61.07,41.39,30.45,31.97,41.39,80.78,168.41,28.96,110.47,94.32,102.94,37.46,273.81,13.79,111.92,115.3,16.51,21.72,49.85,41.95,46.27,29.74,25.88,55.04,55.32,89.52,29.42,25.15,54.16,65.65,26.75,71.76,67.34,55.89,33.63,54.91,94.0,107.17,72.29
2018-11-30,91.45,77.91,22.0,66.04,22.6,32.2,25.3,65.32,39.13,33.0,31.06,39.08,85.36,173.11,28.28,110.27,98.8,116.87,34.85,280.38,12.64,123.99,114.68,16.35,21.92,54.15,42.9,49.65,30.74,25.88,46.58,57.87,91.92,26.36,26.21,55.6,67.62,27.36,73.99,69.64,56.35,34.03,55.41,95.81,110.21,73.63
2018-12-03,91.46,77.96,21.76,64.68,22.74,29.76,25.06,63.5,38.04,30.8,31.38,39.92,83.68,171.43,28.49,110.29,97.65,112.85,35.6,278.34,13.06,120.41,116.81,17.27,20.75,52.53,42.03,48.62,31.51,25.78,48.5,58.33,91.98,27.04,24.38,55.5,67.61,27.0,73.14,68.95,56.41,33.96,56.29,95.4,109.68,71.86
2018-12-04,91.48,78.03,21.34,58.22,21.35,24.65,21.56,54.5,35.19,27.62,33.06,44.18,75.0,162.38,29.8,110.32,90.82,90.58,40.55,265.97,15.15,100.74,118.54,18.04,19.85,44.41,40.64,42.13,30.88,25.87,64.14,52.31,87.28,32.76,22.81,53.02,64.2,25.38,68.96,65.24,55.26,33.48,56.42,92.12,104.13,68.17
2018-12-06,91.49,78.05,22.0,59.2,22.9,25.54,22.98,56.28,37.94,29.2,32.35,42.31,78.44,166.16,29.42,110.32,92.72,96.41,39.08,269.45,14.22,107.33,117.81,17.72,20.2,47.6,39.65,43.86,31.32,25.82,59.22,52.14,88.95,31.03,23.45,53.14,65.66,25.54,69.7,66.64,55.37,34.37,56.17,92.67,106.08,69.72
2018-12-07,91.5,78.11,21.95,55.18,22.5,23.57,20.94,53.2,40.0,27.43,33.31,44.88,73.66,161.08,30.1,110.34,89.5,85.73,41.75,263.37,15.5,96.2,118.86,18.16,19.68,43.16,37.93,40.88,31.2,25.85,65.59,49.97,86.27,33.26,21.18,51.93,63.62,25.03,67.96,64.24,54.96,33.96,56.46,90.61,103.26,67.23
2018-12-10,91.5,78.12,22.25,57.33,22.21,24.9,21.29,53.79,37.94,27.58,32.41,42.38,77.84,165.73,29.6,110.34,91.89,94.06,39.75,267.62,14.2,106.57,118.98,18.21,19.64,46.99,39.54,42.86,32.67,25.99,61.58,51.37,86.73,31.86,21.95,52.97,64.04,25.07,69.3,66.51,55.1,33.99,56.64,91.67,104.99,68.07
2018-12-11,91.51,78.09,22.15,58.25,22.2,24.5,21.27,52.64,38.36,26.75,32.34,42.18,78.23,166.0,29.62,110.35,92.59,95.81,39.83,267.45,14.16,107.07,118.61,18.07,19.84,47.2,39.78,42.79,32.89,26.0,61.73,51.0,86.77,31.92,22.68,52.65,64.12,24.83,68.7,66.63,55.51,34.02,56.79,92.2,104.6,67.8
2018-12-12,91.52,78.15,21.85,58.41,20.81,24.3,20.48,51.54,37.79,26.43,32.35,42.24,78.19,166.13,29.75,110.36,93.11,97.27,40.32,266.45,14.15,105.9,118.45,17.97,19.91,47.3,39.85,42.35,32.07,25.96,62.24,50.85,85.0,32.1,22.85,52.49,63.18,24.65,68.7,66.4,55.17,33.28,56.48,92.22,105.0,69.05
2018-12-13,91.52,78.23,22.05,55.95,21.11,22.88,20.25,49.47,36.89,26.64,32.92,43.72,75.51,163.21,30.17,110.37,90.89,91.25,41.98,262.92,14.9,101.0,118.55,18.04,19.85,44.89,38.84,40.64,33.16,26.09,64.44,48.45,84.53,32.84,21.75,51.32,63.09,24.24,67.26,65.4,55.09,33.38,56.98,91.16,102.98,66.68
