Date,AGG,BIL,COST,CURE,DBC,DIA,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PSQ,PUI,QLD,QQQ,SH,SHY,SMH,SOXL,SOXS,SPXL,SPXS,SPXU,SPY,SQQQ,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UDOW,UGL,UNH,UPRO,USD,USDU,UUP,UVXY,VIXY,XLP,YCS
2013-12-18,106.51,45.78,94.036,66.26,25.38,161.45,40.58,64.49,16.67,83.02,17.28,43.89,115.96,121.34,18.71,20.13,94.72,86.0,25.86,84.43,41.83,63.44,41.0,59.36,35.78,16.25,181.2,15.54,83.26,23.12,44.47,71.79,71.42,115.1,31.99,104.46,41.19,60.2977,89.64,49.98,25.21,21.67,18.18,29.63,42.65,69.35
2013-12-19,106.8,45.79,93.9164,66.57,25.56,161.64,40.54,64.91,17.12,84.19,17.33,43.69,115.4,120.11,18.71,20.25,94.85,85.79,25.78,84.42,41.73,62.4,41.15,59.81,35.48,16.11,180.67,15.51,84.34,22.93,45.6,69.96,70.35,115.23,32.32,105.62,40.84,60.682,90.35,51.31,25.22,21.71,17.97,29.5,42.35,69.72
2013-12-20,106.88,45.78,95.0415,67.53,25.7,162.59,40.83,65.5,17.17,85.38,17.21,43.91,115.57,123.63,18.39,20.42,97.95,87.21,25.52,84.42,41.62,65.16,40.0,61.6,34.47,15.64,182.41,14.73,87.47,21.99,46.1,69.18,75.0,121.06,32.37,107.52,40.79,61.6929,92.99,51.33,25.14,21.62,18.02,29.53,42.64,69.22
2013-12-23,106.35,45.79,94.7064,68.0,25.2,163.61,40.86,66.17,17.2,86.94,17.26,44.38,117.19,126.58,18.33,20.47,98.9,87.61,25.4,84.34,42.07,66.7,38.73,62.51,33.94,15.4,183.37,14.51,90.15,21.24,44.29,71.82,77.99,122.72,32.66,109.6,41.74,62.1943,94.4,51.29,25.15,21.63,15.77,27.64,42.6,70.16
2013-12-26,106.38,45.79,94.858,69.06,25.17,164.77,41.09,66.77,17.27,88.77,16.95,44.13,117.28,126.06,18.27,20.55,99.41,87.85,25.28,84.37,42.15,67.38,38.76,63.26,33.5,15.23,184.16,14.42,91.08,21.27,43.94,72.45,77.63,123.68,33.19,111.69,41.83,62.6621,95.58,52.45,25.1,21.52,15.75,27.65,42.81,70.44
2013-12-27,106.51,45.79,94.9218,68.65,25.76,164.55,41.37,66.75,17.24,89.52,16.97,44.56,116.36,125.65,18.35,20.54,98.3,87.39,25.32,84.39,42.06,66.47,38.91,63.04,33.65,15.29,183.92,14.63,89.64,21.44,44.01,72.22,76.83,121.7,33.05,111.1,41.37,62.5368,95.1,52.36,25.12,21.54,16.47,28.27,42.84,70.75
2013-12-30,106.5,45.77,95.1133,69.57,25.58,164.95,41.59,67.03,17.3,87.96,17.0,44.43,114.58,126.58,18.32,20.64,98.65,87.55,25.29,84.4,42.35,67.75,38.1,63.24,33.52,15.22,184.12,14.54,90.11,21.26,44.18,71.89,77.37,122.43,32.16,112.0,40.28,62.6621,95.48,53.5,25.04,21.52,16.39,28.2,43.02,70.37
2013-12-31,106.45,45.77,94.7303,68.21,25.51,164.78,40.99,66.18,17.0,88.5,17.32,43.64,117.93,126.08,18.32,20.5,98.68,87.56,25.32,84.39,42.12,67.72,38.18,63.07,33.6,15.27,183.91,14.53,90.11,21.25,43.42,73.01,76.79,122.43,31.14,111.52,42.47,62.5869,95.13,52.48,25.2,21.67,17.27,28.97,42.86,70.46
2014-01-02,106.45,45.78,94.3313,68.5,25.25,164.38,40.4,66.02,16.9,86.25,17.41,43.52,118.63,124.98,18.38,20.22,98.1,87.27,25.42,84.41,41.95,66.21,39.18,62.32,33.98,15.45,183.24,14.67,88.57,21.59,43.49,72.73,75.65,121.24,30.04,110.78,43.06,62.495,94.02,52.5,25.16,21.69,17.15,28.86,42.54,69.59
2014-01-03,106.6,45.77,93.7568,68.8,25.19,165.01,39.95,66.05,16.85,86.12,17.42,43.12,119.73,126.25,18.5,20.32,96.7,86.66,25.38,84.38,41.88,66.03,39.53,62.56,33.83,15.38,183.52,15.0,87.5,21.85,44.22,71.67,77.0,118.67,29.21,112.05,43.87,63.013,94.38,52.75,25.23,21.72,16.65,28.45,42.48,70.17
