Date,EEM,EUM,GLD,PSQ,QID,QLD,SH,SHV,SLV,TLT,XLK,XLP
2007-11-01,161.65,71.04,79.86,50.63,34.63,119.7,59.51,109.61,145.3,91.06,28.18,28.02
2007-11-02,156.2,72.58,79.7,50.92,35.1,118.41,59.77,109.6,146.18,90.97,28.07,28.04
2007-11-05,161.78,70.29,81.32,50.48,34.37,120.7,59.15,109.62,153.0,90.52,28.26,28.25
2007-11-06,155.82,73.1,82.24,51.6,36.05,114.8,60.85,109.72,151.78,90.76,27.54,27.84
2007-11-07,157.26,72.22,82.25,52.89,38.19,108.14,61.17,109.77,153.07,90.58,26.66,28.15
2007-11-08,153.65,73.01,82.21,54.99,40.82,100.8,61.84,109.82,153.5,91.4,25.96,27.88
2007-11-09,145.41,78.07,78.8,56.39,42.84,95.86,62.4,109.83,144.1,91.8,25.59,27.9
2007-11-12,155.09,72.95,79.17,54.13,39.33,103.54,60.62,109.81,144.6,91.22,26.54,28.43
2007-11-13,155.01,72.55,80.18,54.89,40.45,100.75,61.03,109.84,148.37,91.48,26.17,28.4
2007-11-14,151.75,74.54,77.99,55.15,40.88,99.56,61.84,109.94,143.71,92.36,26.0,28.35
2007-11-15,153.6,73.9,77.7,54.45,40.0,101.83,61.57,109.94,143.3,92.42,26.31,28.64
2007-11-16,147.19,76.59,77.23,55.24,41.0,99.1,62.58,109.99,140.97,93.21,25.86,28.42
2007-11-19,150.0,75.61,79.43,55.2,40.7,99.78,62.56,110.01,145.85,92.91,25.98,28.57
2007-11-20,143.54,78.05,79.44,55.77,41.75,97.6,63.39,110.07,143.45,93.47,25.58,28.23
2007-11-21,147.07,76.43,81.37,55.25,40.8,99.65,62.47,110.07,146.48,93.77,25.86,28.51
2007-11-23,141.99,79.12,81.3,56.26,42.29,95.92,63.85,110.11,146.29,95.88,25.21,28.2
2007-11-26,147.22,76.49,80.18,55.09,40.52,100.0,62.92,110.09,143.45,94.49,25.57,28.6
2007-11-27,154.45,72.34,79.61,53.33,38.08,106.12,61.0,110.09,143.3,93.97,26.34,29.02
2007-11-28,153.0,73.08,78.34,53.13,37.82,106.8,61.05,110.14,141.45,94.82,26.45,29.06
2007-11-29,154.0,72.63,77.29,53.5,38.32,105.37,60.56,110.12,138.8,94.34,26.28,29.18
2007-11-30,153.3,72.81,78.28,54.06,39.08,103.49,60.94,109.79,139.93,94.75,26.08,29.08
2007-12-03,153.07,72.92,79.32,54.28,39.41,102.42,61.4,109.8,142.07,94.72,25.99,29.0
