Date,BSV,QLD,QQQ,TECL,TMF,TQQQ,UPRO,UVXY,VIXM,VIXY
2012-06-29,81.02,53.58,64.36,49.01,80.71,50.4,76.73,8.56,53.72,30.14
2012-07-02,81.04,54.46,64.89,50.09,78.99,51.6,78.33,8.18,52.79,29.55
2012-07-03,81.04,54.52,64.93,50.25,80.08,51.78,77.23,8.72,53.89,30.62
2012-07-05,81.12,53.13,64.09,48.01,82.29,49.74,75.04,8.57,53.43,30.29
2012-07-06,81.15,53.0,64.0,47.65,84.4,49.57,74.81,8.4,52.35,30.05
2012-07-09,81.2,51.98,63.37,46.15,84.94,48.05,72.83,8.84,52.64,30.88
2012-07-10,81.2,51.34,63.02,45.45,85.2,47.39,72.8,8.25,51.65,29.83
2012-07-11,81.22,50.43,62.42,44.02,87.06,46.02,71.86,8.41,52.31,30.14
2012-07-12,81.24,51.89,63.38,45.98,86.34,48.02,75.4,7.52,50.54,28.4
2012-07-13,81.28,51.63,63.2,45.73,87.65,47.66,74.77,7.27,51.17,28.02
2012-07-16,81.26,52.12,63.54,46.18,85.65,48.38,76.38,6.74,49.99,27.01
2012-07-17,81.3,53.56,64.4,48.59,85.56,50.36,78.12,6.88,49.97,27.3
2012-07-18,81.33,54.72,65.11,49.89,85.08,52.0,78.65,6.57,50.08,26.65
2012-07-19,81.41,53.33,64.28,48.27,88.05,50.05,76.58,7.27,51.24,28.09
2012-07-20,81.34,52.07,63.46,46.89,89.56,48.15,74.18,8.18,52.86,29.88
2012-07-23,81.36,51.18,62.95,45.31,91.64,47.05,72.36,8.87,53.21,31.15
2012-07-24,81.41,50.47,62.54,44.69,92.42,46.0,72.3,8.67,52.95,30.79
2012-07-25,81.39,51.87,63.38,46.8,89.87,47.55,75.85,7.35,50.92,28.48
2012-07-26,81.28,54.37,64.94,49.96,84.98,51.42,80.17,6.9,51.1,27.64
2012-07-27,81.39,54.2,64.82,50.1,86.55,51.11,80.01,7.19,51.38,28.16
2012-07-30,81.43,54.15,64.8,50.63,87.24,51.14,78.83,7.57,51.81,28.98
2012-07-31,81.24,53.83,64.61,50.1,85.78,50.64,78.21,7.25,51.11,28.32
2012-08-01,81.24,53.46,64.37,49.25,87.39,50.13,76.57,6.95,51.98,27.75
2012-08-02,81.24,55.43,65.61,51.95,83.19,52.96,81.11,6.01,50.36,25.85
2012-08-03,81.25,56.32,66.11,52.98,83.27,54.15,81.51,5.73,49.86,25.22
2012-08-06,81.21,57.27,66.67,54.04,80.08,55.49,82.74,6.03,50.37,25.94
2012-08-07,81.2,57.16,66.62,54.22,78.86,55.4,83.1,5.53,49.55,24.84
2012-08-08,81.13,57.51,66.82,54.79,78.62,55.87,83.35,5.48,49.4,24.78
2012-08-09,81.22,57.63,66.85,55.09,79.61,56.06,83.76,5.26,49.13,24.31
2012-08-10,81.21,57.89,67.03,55.55,79.3,56.4,83.51,4.99,48.49,23.69
2012-08-13,81.13,57.95,67.05,55.18,76.16,56.52,83.65,5.54,49.85,24.98
2012-08-14,81.1,58.24,67.23,55.34,72.98,56.92,83.87,5.55,50.0,25.01
2012-08-15,81.11,59.6,68.02,57.56,70.98,58.96,85.71,5.33,49.62,24.47
2012-08-16,81.14,60.12,68.32,58.5,72.0,59.77,86.14,5.02,49.4,23.78
2012-08-17,81.09,60.32,68.42,58.7,72.43,60.0,86.14,5.03,49.82,23.77
2012-08-20,81.16,59.86,68.14,57.53,73.41,59.31,85.34,5.3,50.51,24.43
2012-08-21,81.27,60.31,68.4,57.87,77.0,59.95,85.34,5.39,50.36,24.6
2012-08-22,81.32,59.36,67.87,56.44,77.99,58.62,83.35,5.61,51.2,25.13
2012-08-23,81.28,60.04,68.29,57.39,77.88,59.66,84.88,5.14,50.76,24.11
2012-08-24,81.3,60.25,68.4,57.53,79.16,59.95,84.88,5.24,50.66,24.35
