Date,BITF,BITO,COIN,MARA,MSTR,RIOT,UVXY
2021-10-19,5.81,43.28,314.71,53.07,758.18,31.44,17.11
2021-10-20,5.48,40.83,300.01,50.91,735.43,29.44,16.34
2021-10-21,5.25,39.51,300.84,49.46,718.52,28.28,16.78
2021-10-22,5.39,40.58,325.54,54.69,746.02,29.59,16.06
2021-10-25,5.21,40.06,319.49,52.86,734.86,28.44,16.49
2021-10-26,4.87,38.06,311.67,50.04,715.02,26.59,17.07
2021-10-27,5.29,39.57,319.13,50.39,717.13,27.54,16.3
2021-10-28,5.12,40.39,319.42,52.24,715.06,27.22,16.44
2021-10-29,5.57,39.53,330.99,55.51,736.12,28.09,16.13
2021-11-01,6.41,40.98,336.34,63.34,794.14,31.9,15.5
2021-11-02,6.85,40.4,344.38,64.66,810.25,32.76,14.63
2021-11-03,7.2,39.3,344.45,64.29,800.0,32.72,14.94
2021-11-04,7.28,39.26,337.05,63.82,797.51,31.49,15.75
2021-11-05,8.15,42.56,353.92,75.3,860.0,36.69,15.77
2021-11-08,8.87,43.32,357.39,76.09,859.01,39.86,16.19
2021-11-09,7.9,42.31,328.6,64.84,816.34,36.49,16.62
2021-11-10,8.08,41.62,336.39,70.69,818.36,39.53,16.12
2021-11-11,8.58,41.12,342.98,75.92,811.73,44.19,15.24
2021-11-12,8.61,40.89,345.36,55.4,795.0,42.09,14.95
2021-11-15,8.43,38.22,342.12,55.37,752.02,36.9,15.02
2021-11-16,8.56,38.69,346.52,50.95,753.0,35.28,15.39
2021-11-17,7.77,37.11,323.57,51.46,727.36,33.63,15.63
2021-11-18,8.18,37.01,332.55,54.68,718.31,36.18,15.93
2021-11-19,7.44,35.69,315.48,49.57,690.02,33.45,16.31
2021-11-22,8.04,37.01,317.2,52.12,696.77,36.13,15.76
2021-11-23,7.85,36.69,312.38,52.39,700.9,37.0,15.41
2021-11-24,7.14,34.44,303.19,49.2,663.0,34.92,21.18
2021-11-26,7.86,37.07,319.39,51.39,695.48,37.37,16.84
2021-11-29,7.65,36.59,315.0,51.07,721.43,37.37,20.52
2021-11-30,7.6,36.08,294.5,50.79,705.47,35.6,22.76
2021-12-01,7.2,36.29,284.71,49.07,683.36,32.97,20.8
2021-12-02,6.25,33.89,265.65,41.64,630.99,28.64,23.5
2021-12-03,6.05,31.05,263.24,41.81,596.47,28.14,20.73
2021-12-06,6.34,32.13,286.42,45.7,628.17,29.68,17.28
2021-12-07,6.43,32.25,287.48,46.64,636.54,29.34,15.79
2021-12-08,5.81,30.21,263.91,41.37,591.88,26.5,16.42
2021-12-09,5.58,30.75,255.76,40.44,600.84,26.0,14.92
2021-12-10,5.06,29.56,251.37,36.84,571.64,24.37,15.74
2021-12-13,4.96,30.32,255.86,37.33,580.38,24.93,16.17
2021-12-14,5.21,31.25,258.3,38.73,598.59,25.87,14.48
2021-12-15,4.9,30.36,247.17,35.51,566.94,23.88,15.35
2021-12-16,4.73,29.29,243.35,33.855,571.58,23.24,16.1
2021-12-17,4.55,29.78,238.05,32.47,546.39,22.52,16.95
2021-12-20,4.9,30.84,247.69,34.43,567.5,24.05,15.75
2021-12-21,5.1,31.09,254.55,34.13,569.99,23.62,14.37
2021-12-22,5.8,32.34,268.15,38.13,597.21,25.67,14.15
2021-12-23,5.96,32.46,280.27,39.4,608.28,25.85,13.61
2021-12-27,5.21,30.24,261.33,35.14,567.97,23.65,13.11
2021-12-28,5.09,29.89,252.6,33.91,556.09,23.0,12.64
2021-12-29,5.12,29.81,256.79,34.39,562.34,23.5,12.6
2021-12-30,5.05,28.9,252.37,32.86,544.49,22.33,12.43
2021-12-31,5.05,28.95,251.05,32.89,558.26,22.74,11.81
2022-01-03,5.22,29.22,250.15,34.13,551.07,24.38,11.77
2022-01-04,4.68,27.64,234.23,29.62,509.1,21.44,13.18
2022-01-05,4.53,27.28,234.0,29.3,498.62,20.48,13.25
2022-01-06,4.29,26.41,232.33,28.49,482.95,20.36,12.665
2022-01-07,4.31,26.31,225.01,28.93,481.95,20.09,12.35
2022-01-10,4.71,27.01,237.23,29.58,506.56,20.86,11.67
2022-01-11,4.94,27.62,234.7,30.36,514.64,21.13,11.51
2022-01-12,4.48,26.96,228.23,28.1,489.59,20.15,12.55
2022-01-13,4.56,27.17,230.03,28.59,499.56,20.68,12.28
2022-01-14,4.19,26.28,222.0,26.07,468.28,18.7,13.68
2022-01-18,4.07,26.2,219.5,24.85,460.42,17.49,14.2
2022-01-19,4.16,26.9,221.62,24.83,457.53,17.47,15.11
2022-01-20,3.58,24.1,191.97,22.055,375.89,14.995,17.2
2022-01-21,3.5,23.48,191.48,22.9,370.45,15.13,17.68
2022-01-24,3.5,23.22,185.63,22.18,365.05,14.64,17.95
2022-01-25,3.49,23.25,178.64,21.46,353.65,14.33,18.43
2022-01-26,3.095,22.31,170.2,19.79,319.45,13.45,18.65
2022-01-27,3.35,23.77,177.58,21.97,338.95,14.7,16.95
2022-01-28,3.66,24.16,190.15,23.54,368.01,15.94,15.22
2022-01-31,3.9,24.2,197.73,25.03,373.0,16.69,13.57
2022-02-01,3.64,23.58,187.37,23.02,348.84,15.57,13.11
2022-02-02,3.4,22.84,181.31,21.21,340.09,14.79,15.47
2022-02-03,3.81,25.56,194.44,23.51,391.64,16.57,14.64
2022-02-04,4.15,27.83,205.74,25.575,413.47,17.7,14.03
2022-02-07,4.27,27.92,208.73,26.33,425.43,18.29,13.09
2022-02-08,4.4,28.23,214.5,28.99,446.6,19.65,12.34
2022-02-09,4.28,27.74,204.77,28.82,431.48,19.27,14.06
