Date,AGG,BIL,CURE,DBC,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,IYK,MVV,PUI,QLD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,TECL,TECS,TMF,TMV,TQQQ,UCO,UGE,UPRO,USD,UUP,UVXY,VIXY,YCS
2012-06-29,111.5,45.81,45.71,26.52,39.49,49.91,17.41,41.13,21.78,53.24,155.68,72.52,65.54,17.22,54.52,84.38,28.57,38.1,77.27,20.89,46.54,45.25,50.25,10.14,80.08,53.5,51.78,28.86,86.17,77.23,35.54,22.8,8.72,30.62,43.46
2012-07-05,111.8,45.81,45.0,26.37,38.64,49.33,17.03,39.25,22.04,51.77,154.04,72.07,63.55,17.15,53.0,84.42,25.56,42.5,74.85,21.56,48.05,47.17,47.65,10.68,84.4,50.67,49.57,28.02,87.13,74.81,33.29,22.88,8.4,30.05,43.15
2012-07-09,112.08,45.82,46.14,26.7,38.49,49.34,17.19,40.46,22.3,51.31,154.14,72.62,63.16,17.33,51.89,84.46,22.55,47.52,75.29,21.3,47.53,48.45,45.98,11.01,86.34,49.5,48.02,28.93,88.88,75.4,31.26,22.93,7.52,28.4,42.81
2012-07-13,112.17,45.81,46.44,27.03,38.41,49.34,17.09,40.91,22.17,51.04,154.21,72.2,62.53,17.26,51.63,84.5,21.8,49.06,74.86,21.43,47.88,48.85,45.73,11.06,87.65,48.78,47.66,29.71,89.0,74.77,30.7,22.86,7.27,28.02,42.32
2012-07-16,112.13,45.82,48.31,27.06,38.91,49.48,17.04,42.3,22.14,51.57,153.47,72.58,63.24,17.3,52.12,84.48,21.5,49.86,76.36,20.97,46.83,48.07,46.18,10.97,85.65,49.87,48.38,30.16,89.11,76.38,30.76,22.84,6.74,27.01,42.6
2012-07-17,112.35,45.81,47.5,27.3,38.81,49.87,17.03,43.42,22.16,51.92,153.05,72.88,64.1,17.4,53.56,84.5,23.68,44.69,78.04,20.52,45.82,46.08,48.59,10.37,85.56,49.79,50.36,30.73,89.58,78.12,32.82,22.82,6.88,27.3,42.28
2012-07-18,112.26,45.82,48.51,27.63,39.18,50.34,17.14,43.92,22.18,52.68,153.38,73.08,64.22,17.3,54.72,84.52,25.19,41.76,78.73,20.38,45.43,44.58,49.89,10.11,85.08,50.16,52.0,32.43,90.32,78.65,33.35,22.81,6.57,26.65,42.06
2012-07-19,112.42,45.81,46.59,27.63,38.59,49.17,16.88,44.17,22.62,51.76,153.67,72.51,62.9,17.24,53.33,84.54,23.93,43.92,76.51,20.9,46.66,46.26,48.27,10.45,88.05,48.43,50.05,31.67,89.01,76.58,32.19,22.98,7.27,28.09,41.92
2012-07-20,112.52,45.81,44.8,27.05,37.56,48.14,16.37,42.87,22.71,50.35,153.03,71.81,61.28,16.97,52.07,84.54,23.22,45.15,74.24,21.54,48.07,48.0,46.89,10.73,89.56,47.53,48.15,29.45,86.38,74.18,31.44,23.01,8.18,29.88,41.84
2012-07-23,112.66,45.82,43.48,26.88,37.42,47.62,16.37,40.93,22.94,50.09,153.52,71.3,59.56,16.77,51.18,84.53,23.0,45.69,72.38,22.09,49.29,49.12,45.31,11.08,91.64,46.43,47.05,29.69,84.89,72.36,30.87,23.1,8.87,31.15,41.61
