Date,GLD,IEF,TMF,TQQQ,UUP
2010-02-11,107.04,90.16,31.28,83.66,23.64
2010-02-12,109.57,90.32,31.56,86.7,23.43
2010-02-16,109.25,89.88,30.55,88.09,23.65
2010-02-17,109.98,89.48,30.1,89.79,23.65
2010-02-18,109.47,89.56,30.5,89.69,23.72
2010-02-19,109.08,89.47,30.27,89.13,23.68
2010-02-22,107.89,90.19,31.74,85.65,23.81
2010-02-23,107.36,90.22,31.82,88.3,23.76
2010-02-24,108.31,90.56,32.4,88.19,23.71
2010-02-25,109.43,90.69,32.88,89.29,23.64
2010-02-26,109.43,90.52,32.88,93.03,23.72
2010-03-01,111.02,90.57,32.71,93.68,23.65
2010-03-02,111.65,90.54,32.41,94.2,23.51
2010-03-03,110.83,90.67,32.87,95.24,23.64
2010-03-04,110.81,90.24,31.54,99.3,23.63
2010-03-05,109.88,89.99,31.11,99.98,23.62
2010-03-08,109.69,90.23,31.15,101.75,23.66
2010-03-09,108.47,90.07,30.93,104.24,23.62
2010-03-10,108.6,90.0,31.18,105.2,23.57
2010-03-11,107.95,90.11,31.81,105.33,23.42
2010-03-12,108.37,90.16,31.78,104.73,23.55
2010-03-15,110.41,90.49,32.49,106.77,23.38
2010-03-16,109.59,90.6,32.86,107.45,23.39
2010-03-17,110.34,90.36,32.57,108.54,23.56
2010-03-18,108.28,90.25,32.66,106.62,23.71
2010-03-19,107.75,90.49,32.84,109.55,23.65
2010-03-22,108.32,90.35,32.13,111.74,23.73
2010-03-23,106.3,89.45,30.35,110.2,24.05
2010-03-24,106.79,89.11,29.7,109.51,24.13
2010-03-25,108.59,89.33,30.02,110.08,23.96
2010-03-26,108.78,89.17,29.59,111.23,23.84
2010-03-29,107.97,89.27,29.92,112.76,23.93
2010-03-30,108.95,89.47,30.52,111.24,23.8
2010-03-31,110.26,89.04,30.24,111.02,23.66
2010-04-01,110.89,88.26,28.7,114.23,23.78
2010-04-05,111.02,88.5,28.81,115.01,23.85
2010-04-06,112.44,89.07,30.02,114.45,23.9
2010-04-07,112.65,88.98,30.0,114.8,23.88
2010-04-08,113.65,89.08,30.19,116.93,23.7
2010-04-09,113.03,89.27,30.77,117.26,23.6
2010-04-12,112.64,89.45,31.09,119.17,23.6
2010-04-13,113.03,89.24,30.31,123.37,23.48
2010-04-14,113.64,89.37,30.49,125.0,23.57
2010-04-15,111.24,89.91,31.17,120.56,23.65
2010-04-16,111.15,89.7,30.86,120.38,23.69
2010-04-19,111.46,89.73,31.26,122.16,23.73
2010-04-20,112.31,90.03,32.07,124.21,23.78
2010-04-21,111.84,89.84,31.72,126.15,23.89
2010-04-22,113.19,89.57,31.33,127.82,23.84
2010-04-23,112.75,89.63,31.36,126.97,23.83
2010-04-26,114.64,90.48,32.88,119.04,24.1
2010-04-27,114.31,90.0,31.95,119.32,24.11
2010-04-28,114.28,90.17,32.37,125.53,24.0
2010-04-29,115.38,90.72,33.56,118.1,23.95
2010-04-30,115.73,90.22,33.45,122.84,24.11
2010-05-03,114.87,90.81,35.33,111.98,24.39
2010-05-04,115.09,91.16,35.97,110.14,24.61
2010-05-05,118.44,92.18,39.69,99.35,24.81
2010-05-06,118.27,91.94,37.79,91.8,24.7
2010-05-07,117.57,91.21,35.29,105.86,24.66
2010-05-10,120.68,91.34,35.1,105.79,24.75
2010-05-11,121.41,91.1,34.1,111.43,24.82
2010-05-12,120.54,91.31,34.92,106.45,24.96
2010-05-13,120.4,91.9,36.87,100.04,25.2
2010-05-14,119.36,91.76,36.32,101.18,25.19
2010-05-17,119.42,92.41,38.29,97.38,25.46
2010-05-18,116.63,92.54,38.75,94.81,25.22
2010-05-19,115.84,93.38,41.24,85.22,25.08
2010-05-20,115.22,93.45,41.46,85.88,24.98
2010-05-21,116.84,93.44,40.94,86.59,25.23
2010-05-24,117.36,93.76,41.52,85.74,25.3
2010-05-25,118.44,93.59,41.11,83.32,25.47
2010-05-26,118.69,92.66,38.07,92.34,25.2
2010-05-27,118.9,93.06,39.11,90.73,25.34
2010-05-28,119.91,93.04,39.51,88.53,25.35
2010-06-01,119.78,92.42,38.34,94.76,25.34
2010-06-02,117.9,92.27,37.42,97.3,25.47
2010-06-03,119.22,93.56,40.62,87.62,25.77
2010-06-04,121.49,93.98,41.49,82.5,25.83
2010-06-07,121.0,93.68,40.82,82.08,25.75
2010-06-08,120.56,93.73,40.83,80.27,25.65
2010-06-09,118.95,92.8,38.4,86.93,25.38
2010-06-10,120.01,93.39,39.98,89.2,25.46
2010-06-11,119.6,93.32,39.33,89.25,25.23
2010-06-14,121.02,93.03,38.68,95.77,25.02
2010-06-15,120.33,93.27,39.35,97.7,25.1
2010-06-16,121.91,93.73,40.39,98.61,24.95
2010-06-17,122.83,93.56,40.15,98.95,24.94
2010-06-18,120.39,93.46,39.83,96.35,25.03
2010-06-21,121.45,94.05,41.1,94.07,25.06
2010-06-22,120.95,94.39,41.94,92.82,24.97
2010-06-23,121.3,94.3,41.15,88.31,24.97
2010-06-24,122.76,94.5,41.66,88.25,24.83
2010-06-25,121.09,95.1,42.93,87.46,24.96
2010-06-28,121.27,95.54,44.43,77.7,25.08
2010-06-29,121.68,95.66,45.41,73.86,25.06
2010-06-30,117.04,95.34,45.61,73.14,24.6
2010-07-01,118.49,95.2,44.48,72.74,24.57
2010-07-02,116.51,95.44,45.55,73.12,24.49
2010-07-06,117.73,95.15,43.87,80.03,24.41
2010-07-07,117.2,94.75,43.03,81.38,24.38
2010-07-08,118.36,94.67,42.16,83.66,24.43
2010-07-09,117.33,94.85,42.19,84.61,24.51
2010-07-12,118.36,94.35,41.04,87.5,24.3
2010-07-13,118.3,94.82,42.31,88.9,24.25
2010-07-14,118.23,95.31,43.75,89.21,23.96
2010-07-15,116.65,95.86,44.38,82.03,24.02
2010-07-16,115.73,95.56,43.44,83.88,24.03
2010-07-19,116.65,95.71,43.65,86.53,24.07
2010-07-20,115.85,96.36,45.98,83.5,24.23
2010-07-21,116.9,95.79,44.33,89.13,24.03
2010-07-22,116.06,95.15,42.85,91.45,23.99
2010-07-23,115.5,95.45,42.65,93.46,23.86
2010-07-26,113.51,95.15,41.42,93.57,23.9
2010-07-27,113.78,95.54,41.68,91.53,23.89
2010-07-28,114.31,95.71,41.69,89.35,23.73
2010-07-29,115.49,96.29,43.64,89.96,23.74
2010-07-30,115.54,95.73,41.81,94.8,23.52
2010-08-02,116.05,96.19,42.41,93.82,23.42
2010-08-03,116.72,95.79,41.37,96.53,23.55
2010-08-04,116.98,96.24,41.91,95.96,23.47
2010-08-05,117.84,96.84,43.35,95.51,23.35
2010-08-06,117.4,96.84,42.92,97.18,23.47
2010-08-09,117.73,97.34,43.04,95.12,23.52
2010-08-10,117.34,97.9,44.86,87.29,23.94
2010-08-11,118.77,97.65,44.45,84.83,24.01
2010-08-12,118.74,98.09,46.25,83.2,24.11
2010-08-13,119.73,98.78,49.89,83.52,23.96
2010-08-16,119.75,98.37,48.79,86.79,23.88
2010-08-17,120.22,98.17,49.34,87.57,23.91
2010-08-18,120.4,98.62,51.72,84.35,23.96
2010-08-19,119.97,98.25,51.47,84.06,24.13
2010-08-20,119.78,98.43,51.38,81.63,24.18
2010-08-23,120.4,99.24,53.94,77.05,24.14
2010-08-24,121.36,98.68,53.54,79.36,24.18
2010-08-25,120.96,99.21,55.05,76.77,24.03
2010-08-26,121.01,98.07,50.08,79.4,24.07
2010-08-27,120.91,98.83,53.19,76.73,24.14
2010-08-30,122.07,99.27,55.04,76.36,24.13
2010-08-31,121.69,98.32,51.22,82.76,23.93
2010-09-01,122.29,97.9,49.51,85.6,23.91
2010-09-02,121.84,97.33,47.45,89.96,23.79
2010-09-03,122.7,98.09,50.65,87.77,24.04
2010-09-07,122.73,97.83,49.34,90.87,23.96
2010-09-08,121.56,97.04,46.29,92.11,23.96
2010-09-09,121.73,96.78,45.55,92.99,23.98
2010-09-10,121.62,97.24,46.17,97.66,23.72
2010-09-13,123.98,97.79,47.63,98.59,23.52
2010-09-14,123.92,97.39,45.5,100.11,23.62
2010-09-15,124.63,97.09,44.3,101.45,23.54
2010-09-16,124.59,97.27,44.78,102.5,23.59
2010-09-17,124.87,97.57,45.64,107.84,23.57
2010-09-20,126.01,98.48,47.39,107.68,23.31
2010-09-21,126.2,98.66,48.61,106.99,23.13
2010-09-22,126.3,98.78,49.1,106.67,23.21
2010-09-23,126.69,98.31,47.16,112.71,22.97
2010-09-24,126.72,99.05,49.49,111.21,23.0
