Date,BSV,SPXL,SQQQ,TECL,TQQQ,UVXY
2012-06-29,81.02,76.76,46.45,49.01,50.4,8.56
2012-07-02,81.04,78.33,45.37,50.09,51.6,8.18
2012-07-03,81.04,77.27,45.25,50.25,51.78,8.72
2012-07-05,81.12,75.18,46.92,48.01,49.74,8.57
2012-07-06,81.15,74.85,47.17,47.65,49.57,8.4
2012-07-09,81.2,72.87,48.48,46.15,48.05,8.84
2012-07-10,81.2,72.88,49.3,45.45,47.39,8.25
2012-07-11,81.22,71.74,50.75,44.02,46.02,8.41
2012-07-12,81.24,75.29,48.45,45.98,48.02,7.52
2012-07-13,81.28,74.86,48.85,45.73,47.66,7.27
2012-07-16,81.26,76.36,48.07,46.18,48.38,6.74
2012-07-17,81.3,78.04,46.08,48.59,50.36,6.88
2012-07-18,81.33,78.73,44.58,49.89,52.0,6.57
2012-07-19,81.41,76.51,46.26,48.27,50.05,7.27
2012-07-20,81.34,74.24,48.0,46.89,48.15,8.18
2012-07-23,81.36,72.38,49.12,45.31,47.05,8.87
2012-07-24,81.41,72.25,50.12,44.69,46.0,8.67
2012-07-25,81.39,75.79,48.24,46.8,47.55,7.35
2012-07-26,81.28,80.09,44.63,49.96,51.42,6.9
2012-07-27,81.39,80.03,44.86,50.1,51.11,7.19
2012-07-30,81.43,78.76,44.9,50.63,51.14,7.57
2012-07-31,81.24,78.27,45.15,50.1,50.64,7.25
2012-08-01,81.24,76.56,45.68,49.25,50.13,6.95
2012-08-02,81.24,81.04,43.08,51.95,52.96,6.01
2012-08-03,81.25,81.53,42.11,52.98,54.15,5.73
2012-08-06,81.21,82.69,41.07,54.04,55.49,6.03
2012-08-07,81.2,82.95,41.12,54.22,55.4,5.53
2012-08-08,81.13,83.2,40.78,54.79,55.87,5.48
2012-08-09,81.22,83.6,40.62,55.09,56.06,5.26
2012-08-10,81.21,83.47,40.34,55.55,56.4,4.99
2012-08-13,81.13,83.63,40.3,55.18,56.52,5.54
2012-08-14,81.1,83.79,40.0,55.34,56.92,5.55
2012-08-15,81.11,85.69,38.56,57.56,58.96,5.33
2012-08-16,81.14,86.02,38.04,58.5,59.77,5.02
2012-08-17,81.09,86.03,37.86,58.7,60.0,5.03
2012-08-20,81.16,85.26,38.38,57.53,59.31,5.3
2012-08-21,81.27,85.26,37.88,57.87,59.95,5.39
2012-08-22,81.32,83.24,38.72,56.44,58.62,5.61
2012-08-23,81.28,84.74,38.08,57.39,59.66,5.14
2012-08-24,81.3,84.75,37.88,57.53,59.95,5.24
2012-08-27,81.31,84.6,37.85,57.24,59.94,5.41
2012-08-28,81.32,84.75,37.85,57.67,59.96,5.46
2012-08-29,81.38,82.87,39.0,55.68,58.13,5.69
2012-08-30,81.51,83.8,38.3,56.82,59.37,5.32
2012-08-31,81.28,83.64,38.28,56.93,59.12,5.23
2012-09-04,81.3,83.54,38.44,56.8,58.85,4.96
2012-09-05,81.26,88.59,35.9,60.52,62.74,3.95
2012-09-06,81.31,89.74,36.02,60.28,62.47,34.87
2012-09-07,81.31,88.17,37.36,58.43,60.15,38.76
2012-09-10,81.33,88.87,37.54,58.87,59.91,38.04
2012-09-11,81.3,89.7,37.19,59.64,60.43,35.91
2012-09-12,81.35,94.03,35.72,62.14,62.74,30.69
2012-09-13,81.29,95.19,34.75,63.06,64.45,32.83
2012-09-14,81.29,94.24,34.72,63.19,64.57,32.15
2012-09-17,81.33,93.96,34.62,63.26,64.69,30.5
2012-09-18,81.36,94.13,34.41,63.49,65.12,30.33
2012-09-19,81.36,94.04,34.51,63.19,64.97,29.71
2012-09-20,81.4,93.91,34.5,63.38,64.97,29.25
2012-09-21,81.39,93.53,35.16,62.19,63.83,28.48
2012-09-24,81.39,90.64,36.53,59.58,61.21,33.0
2012-09-25,81.41,89.05,37.45,58.27,59.6,35.45
2012-09-26,81.47,91.56,35.91,60.65,62.13,29.18
2012-09-27,81.45,90.22,36.78,59.2,60.8,30.98
2012-09-28,81.35,90.92,36.91,58.86,60.38,31.5
2012-10-01,81.43,91.21,36.61,59.13,60.77,30.26
2012-10-02,81.36,92.27,35.95,60.08,61.99,30.07
2012-10-03,81.36,94.42,35.55,60.55,62.64,28.64
2012-10-04,81.38,94.24,36.11,59.53,61.56,27.83
2012-10-05,81.39,93.31,37.08,57.82,59.93,28.45
2012-10-08,81.38,90.57,38.88,55.49,56.85,30.84
2012-10-09,81.39,88.88,39.45,54.87,56.16,30.17
2012-10-10,81.37,88.96,39.88,54.3,55.66,29.28
2012-10-11,81.4,87.98,39.87,54.1,55.65,29.84
2012-10-12,81.42,90.21,39.0,54.85,56.76,27.8
2012-10-15,81.38,93.0,37.27,57.07,59.23,26.47
2012-10-16,81.28,94.21,37.41,56.21,59.05,25.81
2012-10-17,81.28,93.59,38.66,54.23,57.1,25.59
2012-10-18,81.25,88.67,41.48,50.5,52.91,28.89
2012-10-19,81.23,88.87,40.84,51.79,53.74,28.23
2012-10-22,81.29,85.08,42.02,49.84,52.29,32.64
2012-10-23,81.32,84.46,42.5,49.12,51.63,32.94
2012-10-24,81.22,85.22,42.39,48.6,51.63,31.17
2012-10-25,81.29,84.99,42.0,48.92,52.17,31.01
2012-10-26,81.35,84.62,42.79,48.41,51.16,32.07
2012-10-31,81.29,87.69,40.96,50.66,53.33,27.03
2012-11-01,81.29,85.2,42.35,48.81,51.38,28.25
2012-11-02,81.2,85.81,41.43,49.47,52.64,29.16
2012-11-05,81.18,87.79,41.17,50.25,52.96,27.1
2012-11-06,81.27,81.74,44.07,46.3,49.16,31.33
2012-11-07,81.34,78.67,46.19,44.26,46.86,31.69
2012-11-08,81.3,78.9,45.6,45.05,47.37,31.61
2012-11-09,81.32,79.24,45.59,44.8,47.44,27.63
2012-11-12,81.31,78.43,46.55,44.02,46.41,27.71
2012-11-13,81.36,75.56,48.2,42.82,44.75,29.4
2012-11-14,81.37,74.84,48.72,42.05,44.35,30.07
2012-11-15,81.37,75.79,48.17,42.3,44.85,27.34
2012-11-16,81.37,80.53,44.6,45.58,48.08,22.68
2012-11-19,81.34,80.78,44.59,45.04,48.09,21.76
2012-11-20,81.32,81.23,44.28,45.65,48.43,22.06
2012-11-21,81.32,84.15,42.27,47.8,50.65,20.19
2012-11-23,81.31,83.98,41.67,48.38,51.3,19.84
2012-11-26,81.36,82.7,42.14,47.73,50.72,20.64
2012-11-27,81.37,84.6,41.1,48.52,52.08,19.44
2012-11-28,81.38,85.77,40.34,49.32,52.98,18.89
2012-11-29,81.43,85.53,40.47,49.08,52.79,19.57
2012-11-30,81.33,84.53,40.7,48.91,52.53,20.35
2012-12-03,81.35,84.06,40.92,48.59,52.19,21.05
2012-12-04,81.31,84.47,42.16,47.14,50.58,20.32
2012-12-05,81.35,85.46,41.4,48.07,51.51,20.83
2012-12-06,81.3,86.07,42.09,47.31,50.62,19.31
2012-12-07,81.31,86.32,41.69,47.7,51.08,19.87
2012-12-10,81.33,87.89,40.08,49.67,53.05,18.54
