Date,DIA,PSQ,QLD,QQQ,SMH,SOXL,SPY,SQQQ,TECL,TQQQ,UPRO,UVXY,XLP
2012-06-29,128.35,26.52,53.58,64.36,32.19,28.09,136.46,46.45,49.01,50.4,76.73,8.56,34.96
2012-07-02,129.15,26.3,54.46,64.89,32.56,29.37,137.47,45.37,50.09,51.6,78.33,8.18,35.13
2012-07-03,128.78,26.27,54.52,64.93,32.25,28.57,136.84,45.25,50.25,51.78,77.23,8.72,35.0
2012-07-05,127.57,26.61,53.13,64.09,31.47,26.48,135.59,46.92,48.01,49.74,75.04,8.57,34.96
2012-07-06,127.24,26.64,53.0,64.0,31.11,25.56,135.32,47.17,47.65,49.57,74.81,8.4,34.92
2012-07-09,126.35,26.9,51.98,63.37,30.72,23.77,134.14,48.48,46.15,48.05,72.83,8.84,34.96
2012-07-10,125.91,27.05,51.34,63.02,30.53,23.03,134.16,49.3,45.45,47.39,72.8,8.25,34.91
2012-07-11,125.57,27.32,50.43,62.42,30.02,21.99,133.51,50.75,44.02,46.02,71.86,8.41,34.94
2012-07-12,127.59,26.91,51.89,63.38,30.39,22.55,135.75,48.45,45.98,48.02,75.4,7.52,35.33
2012-07-13,127.12,26.99,51.63,63.2,30.11,21.8,135.39,48.85,45.73,47.66,74.77,7.27,35.15
2012-07-16,127.82,26.84,52.12,63.54,30.06,21.5,136.36,48.07,46.18,48.38,76.38,6.74,35.3
2012-07-17,128.96,26.46,53.56,64.4,31.14,23.68,137.41,46.08,48.59,50.36,78.12,6.88,35.31
2012-07-18,129.32,26.17,54.72,65.11,31.41,25.19,137.74,44.58,49.89,52.0,78.65,6.57,35.25
2012-07-19,128.04,26.51,53.33,64.28,30.86,23.93,136.47,46.26,48.27,50.05,76.58,7.27,35.07
2012-07-20,126.91,26.83,52.07,63.46,30.54,23.22,135.09,48.0,46.89,48.15,74.18,8.18,34.74
2012-07-23,125.86,27.03,51.18,62.95,30.31,23.0,134.03,49.12,45.31,47.05,72.36,8.87,34.63
2012-07-24,126.51,27.24,50.47,62.54,30.94,24.22,133.95,50.12,44.69,46.0,72.3,8.67,34.64
2012-07-25,128.58,26.87,51.87,63.38,31.61,25.92,136.17,48.24,46.8,47.55,75.85,7.35,35.21
2012-07-26,130.48,26.22,54.37,64.94,32.37,27.72,138.8,44.63,49.96,51.42,80.17,6.9,35.62
2012-07-27,130.4,26.25,54.2,64.82,31.98,26.99,138.68,44.86,50.1,51.11,80.01,7.19,35.79
2012-07-30,129.79,26.25,54.15,64.8,32.25,27.63,137.71,44.9,50.63,51.14,78.83,7.57,35.63
2012-07-31,129.45,26.34,53.83,64.61,32.24,27.58,137.59,45.15,50.1,50.64,78.21,7.25,35.45
2012-08-01,128.54,26.41,53.46,64.37,32.0,27.32,136.64,45.68,49.25,50.13,76.57,6.95,35.16
2012-08-02,130.73,25.91,55.43,65.61,32.84,29.0,139.39,43.08,51.95,52.96,81.11,6.01,35.75
2012-08-03,130.9,25.73,56.32,66.11,32.85,29.51,139.62,42.11,52.98,54.15,81.51,5.73,35.73
2012-08-06,131.38,25.52,57.27,66.67,33.38,31.29,140.32,41.07,54.04,55.49,82.74,6.03,35.54
2012-08-07,131.55,25.52,57.16,66.62,33.41,31.71,140.49,41.12,54.22,55.4,83.1,5.53,35.79
2012-08-08,131.57,25.44,57.51,66.82,33.67,32.29,140.63,40.78,54.79,55.87,83.35,5.48,35.64
2012-08-09,131.88,25.42,57.63,66.85,33.87,32.71,140.84,40.62,55.09,56.06,83.76,5.26,35.63
2012-08-10,131.62,25.36,57.89,67.03,33.62,32.08,140.77,40.34,55.55,56.4,83.51,4.99,35.62
2012-08-13,131.66,25.36,57.95,67.05,33.42,31.2,140.79,40.3,55.18,56.52,83.65,5.54,35.76
2012-08-14,131.7,25.28,58.24,67.23,33.5,31.73,140.95,40.0,55.34,56.92,83.87,5.55,35.78
2012-08-15,132.57,24.99,59.6,68.02,33.88,33.38,142.01,38.56,57.56,58.96,85.71,5.33,35.87
2012-08-16,132.42,24.87,60.12,68.32,33.62,32.71,142.22,38.04,58.5,59.77,86.14,5.02,35.9
2012-08-17,132.38,24.84,60.32,68.42,33.52,31.85,142.22,37.86,58.7,60.0,86.14,5.03,35.9
2012-08-20,131.77,24.93,59.86,68.14,33.59,31.92,141.76,38.38,57.53,59.31,85.34,5.3,35.68
2012-08-21,131.47,24.83,60.31,68.4,33.3,31.25,141.82,37.88,57.87,59.95,85.34,5.39,35.57
