Date,AGG,BIL,COST,CURE,DBC,DIA,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PSQ,PUI,QLD,QQQ,SH,SHY,SMH,SOXL,SOXS,SPXL,SPXS,SPXU,SPY,SQQQ,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UDOW,UGL,UNH,UPRO,USD,USDU,UUP,UVXY,VIXY,XLP,YCS
2013-12-18,106.68,45.79,94.1557,65.93,25.46,161.88,40.55,64.7,16.6,84.08,17.31,44.06,114.82,119.81,18.74,20.25,94.47,85.9,25.8,84.45,41.74,62.4,41.54,59.74,35.56,16.16,181.5,15.57,83.65,23.05,44.3,72.1,70.21,114.63,32.12,105.42,40.34,60.4815,90.14,50.33,25.2,21.68,18.23,29.72,42.68,69.45
2013-12-19,106.86,45.78,94.5867,66.98,25.68,162.08,40.44,65.08,17.1,84.75,17.25,43.41,115.94,122.5,18.55,20.27,96.37,86.47,25.65,84.42,42.05,63.99,40.5,60.72,34.96,15.87,181.58,15.12,85.43,22.4,46.23,68.87,73.43,118.08,32.41,106.48,41.13,61.2836,91.64,51.0,25.12,21.66,18.49,29.91,42.55,69.22
2013-12-20,106.81,45.78,94.7143,67.84,25.66,162.62,40.78,65.74,17.2,84.92,17.21,44.1,115.57,124.39,18.36,20.35,98.41,87.41,25.52,84.41,41.78,65.58,39.46,61.63,34.45,15.63,182.54,14.63,88.86,21.54,45.58,69.95,76.09,121.9,32.28,107.48,40.84,62.119,93.03,51.84,25.14,21.62,17.15,28.87,42.51,69.27
2013-12-23,106.39,45.78,94.6665,68.89,25.78,164.46,40.67,66.23,17.11,88.28,17.22,43.98,116.74,125.68,18.28,20.5,99.15,87.74,25.34,84.35,42.04,66.97,38.71,63.04,33.65,15.29,183.84,14.47,90.59,21.17,43.9,72.35,77.04,123.32,32.84,110.93,41.63,62.5368,95.14,52.53,25.18,21.64,15.88,27.77,42.74,70.14
2013-12-26,106.43,45.79,94.5867,68.61,25.85,164.47,41.3,66.57,17.27,89.46,17.11,44.69,117.12,125.86,18.32,20.58,98.64,87.52,25.33,84.38,42.05,66.79,38.67,63.02,33.65,15.28,183.84,14.57,90.14,21.27,43.51,73.03,76.92,122.36,33.21,110.95,41.92,62.4031,95.08,52.24,25.17,21.59,16.3,28.14,42.84,70.73
2013-12-27,106.53,45.78,94.7782,68.9,25.7,164.59,41.48,66.85,17.29,87.42,16.93,44.37,115.4,126.08,18.35,20.55,98.34,87.39,25.33,84.4,42.24,67.3,38.39,62.96,33.67,15.29,183.82,14.62,89.66,21.4,44.4,71.55,76.78,121.72,32.63,111.28,40.66,62.4783,94.99,53.03,25.15,21.49,16.8,28.55,42.95,70.6
2013-12-30,106.43,45.77,94.9777,69.11,25.65,165.47,41.77,67.06,17.44,89.88,17.06,44.68,116.17,126.97,18.25,20.64,99.6,87.96,25.23,84.39,42.44,69.02,37.52,63.8,33.22,15.07,184.67,14.35,91.3,20.95,43.6,72.76,77.43,124.11,32.22,112.86,41.26,62.9128,96.33,53.34,25.11,21.52,16.78,28.54,42.98,70.91
2013-12-31,106.5,45.77,94.0121,67.95,25.29,164.11,40.19,65.93,16.72,86.14,17.3,43.19,118.0,124.11,18.37,20.33,98.07,87.27,25.45,84.42,41.94,65.92,39.14,62.04,34.13,15.5,182.92,14.69,88.5,21.54,44.04,72.06,74.87,121.21,30.24,110.25,42.58,62.3028,93.56,52.22,25.27,21.65,17.48,29.13,42.45,70.15
2014-01-02,106.54,45.78,93.5972,68.37,25.13,164.39,40.12,65.98,16.88,85.37,17.5,43.43,119.29,125.41,18.51,20.32,96.68,86.64,25.48,84.38,41.86,65.68,39.35,61.87,34.17,15.54,182.88,14.99,87.41,21.88,44.06,71.99,75.87,118.57,29.42,110.78,43.52,62.7457,93.4,52.35,25.23,21.74,17.23,28.94,42.37,70.17
2014-01-03,106.68,45.77,92.8869,67.61,25.16,163.89,39.74,65.9,16.78,85.48,17.36,42.92,119.5,123.75,18.57,20.3,95.89,86.32,25.54,84.4,41.56,64.44,40.05,61.4,34.45,15.65,182.36,15.16,87.01,21.97,44.48,71.2,74.16,117.31,29.1,109.71,43.47,62.0271,92.78,51.45,25.19,21.68,16.78,28.57,42.21,69.37
2014-01-06,106.73,45.78,92.456,69.6,25.14,164.96,39.89,66.26,16.73,87.49,17.41,42.95,118.82,125.58,18.4,20.48,97.62,87.09,25.39,84.4,41.75,65.94,39.24,62.53,33.83,15.36,183.43,14.75,89.21,21.4,44.81,70.62,75.9,120.35,29.16,111.78,43.07,63.9237,94.39,52.42,25.24,21.73,16.05,27.9,42.44,69.84
2014-01-07,106.41,45.78,91.0116,71.56,24.9,164.41,39.78,66.25,16.78,85.71,17.5,42.51,118.12,126.26,18.37,20.47,98.14,87.31,25.37,84.32,42.18,68.85,37.34,62.56,33.81,15.34,183.52,14.63,89.33,21.39,44.53,71.08,76.24,121.25,28.43,110.57,42.58,63.1801,94.49,53.58,25.31,21.78,16.08,27.96,42.12,70.05
2014-01-08,106.56,45.77,94.5707,72.99,24.7,164.19,39.57,66.2,16.77,84.96,17.43,41.98,118.46,126.38,18.43,20.43,97.44,87.01,25.36,84.33,41.75,67.35,38.21,62.67,33.72,15.33,183.64,14.8,87.58,21.8,45.23,69.91,76.25,119.97,28.32,110.28,42.68,63.5644,94.56,52.71,25.28,21.76,16.16,28.03,42.34,70.18
2014-01-09,107.1,45.78,94.044,73.99,24.86,164.18,40.27,66.82,17.06,85.22,17.27,42.69,120.26,128.24,18.36,20.65,98.07,87.3,25.31,84.43,41.98,68.21,37.73,63.13,33.48,15.21,184.14,14.64,88.0,21.66,46.85,67.51,77.46,121.2,28.5,110.17,44.12,62.4115,95.37,53.37,25.17,21.67,15.4,27.36,42.4,69.18
2014-01-10,107.2,45.78,91.5862,72.17,24.85,162.24,39.79,66.23,16.99,80.12,17.24,42.25,121.02,124.54,18.64,20.37,95.1,85.98,25.62,84.45,41.59,65.78,39.05,60.63,34.78,15.8,181.66,15.29,85.07,22.34,47.59,66.46,74.49,115.81,27.83,106.6,44.67,61.7765,91.66,52.06,25.07,21.62,16.49,28.32,42.16,67.61
2014-01-13,107.04,45.78,92.7513,75.17,24.85,163.45,40.22,66.76,17.15,83.13,17.22,42.66,119.89,127.72,18.28,20.44,98.81,87.65,25.34,84.41,42.68,70.3,36.38,62.63,33.64,15.3,183.72,14.42,89.53,21.25,46.91,67.32,76.98,121.99,28.25,108.64,43.82,61.8433,94.52,55.2,25.21,21.66,15.17,27.18,42.38,69.28
2014-01-14,106.95,45.78,92.7593,74.67,24.92,164.59,40.21,67.04,17.27,82.48,17.42,42.66,119.66,129.05,18.14,20.61,100.38,88.37,25.2,84.39,42.98,72.2,35.5,63.65,33.09,15.04,184.69,14.07,92.81,20.44,46.83,67.45,78.85,125.3,29.47,110.9,43.73,62.5284,96.09,55.77,25.31,21.76,15.33,27.3,42.39,69.8
