Date,AGG,BIL,BTAL,CURE,DBC,DGRO,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PUI,QLD,SCHD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,SVXY,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UGL,UPRO,USD,USDU,UUP,UVXY,VIXM,VIXY,YCS
2014-06-12,108.88,45.76,19.3,83.81,26.39,24.75,43.61,69.72,22.37,122.33,17.45,49.64,122.96,68.79,22.28,109.51,38.17,84.49,108.83,20.97,73.24,27.05,49.5,45.78,79.88,108.79,16.14,59.37,50.33,75.03,70.48,39.39,45.67,110.68,74.18,24.79,21.54,33.27,16.37,21.2,65.82
2014-06-13,108.82,45.77,19.41,84.03,26.47,24.82,43.41,69.74,22.17,124.58,17.39,49.35,122.42,68.87,22.6,109.68,38.35,84.48,110.68,20.61,73.38,26.97,49.38,45.65,80.04,109.1,16.1,59.76,49.97,75.99,70.74,39.63,45.3,110.87,74.64,24.76,21.48,33.15,16.43,21.16,65.59
2014-06-16,108.91,45.77,19.35,85.88,26.61,25.1,43.9,70.29,22.59,127.09,17.35,49.98,122.67,70.57,22.62,111.13,38.62,84.47,111.81,20.17,75.59,26.15,47.92,44.77,87.11,111.4,15.75,59.73,49.93,79.15,71.96,39.45,45.5,114.31,74.87,24.76,21.47,27.63,15.84,19.36,65.76
2014-06-18,108.75,45.77,19.31,86.74,26.87,25.15,43.65,70.67,22.19,129.82,17.28,49.46,126.94,70.71,23.11,110.89,38.73,84.47,112.12,20.17,75.86,26.06,47.73,44.87,86.76,110.72,15.84,57.41,51.79,79.46,71.85,39.64,48.66,114.69,74.61,24.68,21.43,27.85,15.96,19.44,65.78
2014-06-19,108.94,45.77,19.24,88.99,26.92,25.15,43.56,70.55,22.12,133.73,17.31,49.56,126.5,70.99,22.94,111.1,38.84,84.47,113.1,20.16,76.33,25.89,47.42,44.75,85.55,110.07,15.94,58.69,50.72,80.25,72.11,39.99,48.39,115.39,75.17,24.75,21.44,28.58,15.98,19.71,65.9
2014-06-20,108.84,45.77,19.24,88.1,26.82,25.07,43.47,70.36,22.18,135.03,17.29,49.5,126.85,71.02,22.89,111.16,38.53,84.47,111.85,20.38,76.26,25.93,47.47,44.68,87.71,110.66,15.83,58.11,51.13,79.75,72.19,39.75,48.53,115.25,75.0,24.71,21.4,27.14,15.8,19.21,65.69
2014-06-23,109.03,45.77,19.15,88.17,26.85,24.96,43.45,69.92,22.33,126.73,17.29,49.27,126.98,69.83,22.94,110.96,38.3,84.49,109.36,20.82,74.89,26.39,48.35,44.83,84.45,109.07,16.06,60.0,49.56,77.29,71.99,39.64,48.68,113.16,74.81,24.7,21.42,29.18,15.96,19.92,65.69
2014-06-24,109.18,45.76,19.28,91.0,26.9,25.03,43.2,68.22,22.51,129.35,17.22,48.18,126.99,70.82,23.09,112.21,38.4,84.51,110.54,20.58,75.86,26.07,47.72,43.95,87.66,110.67,15.81,60.38,49.2,79.16,73.3,39.99,48.69,114.57,75.47,24.66,21.4,27.02,15.67,19.17,65.63
2014-06-25,109.39,45.77,19.11,90.87,26.74,25.07,43.35,68.33,22.29,129.86,17.17,48.11,126.66,71.13,23.17,113.24,38.36,84.55,109.65,20.71,76.09,25.92,47.48,43.3,87.38,111.84,15.64,60.97,48.72,80.3,74.23,39.43,48.44,115.04,74.81,24.59,21.34,27.21,15.6,19.24,65.03
2014-06-27,109.4,45.76,19.2,89.6,26.58,25.03,43.23,68.37,22.47,130.13,17.05,47.78,128.04,71.96,23.32,113.7,38.27,84.55,113.08,20.08,76.04,25.96,47.56,43.11,88.19,112.36,15.6,61.48,48.27,81.24,74.75,39.19,49.41,114.86,76.33,24.59,21.26,26.66,15.5,19.04,64.89
