Date,BIL,BTAL,COKE,COST,EDC,EDZ,EUM,FTLS,IAU,KMLM,LLY,MO,NVO,PGR,PSQ,QLD,QQQ,TLT,TQQQ,UUP,UVXY,VIXY
2020-12-02,91.52,19.03,257.77,358.1602,83.78,11.89,13.42,43.6,17.55,25.425,138.7734,27.631,67.76,80.3291,14.91,108.02,304.17,156.94,165.38,24.44,11.0,13.97
2020-12-03,91.52,18.82,262.1,355.5166,86.23,11.55,13.31,42.95,17.57,25.245,137.2209,27.9538,67.75,80.039,14.9,108.23,304.33,155.7,165.7,24.41,11.14,14.09
2020-12-04,91.52,18.75,257.0,354.626,86.02,11.49,13.3,43.04,17.53,25.43,140.2974,28.4964,68.69,82.0515,14.85,109.18,305.72,156.35,167.86,24.48,11.22,14.16
2020-12-07,91.51,18.81,256.67,354.3228,86.49,11.46,13.28,43.07,17.85,25.23,139.9926,28.4346,67.74,80.601,14.79,109.96,306.76,157.57,169.6,24.49,11.28,14.21
2020-12-08,91.52,18.82,256.58,359.9415,87.71,11.34,13.2,43.31,17.68,25.5299,147.2408,29.1008,70.43,83.6923,14.73,110.94,308.13,156.53,171.84,24.51,10.38,13.45
2020-12-09,91.52,18.88,260.98,354.645,84.34,11.76,13.41,43.13,17.58,25.275,152.2698,29.5953,70.15,84.8256,15.16,104.53,299.21,157.25,157.08,24.55,11.26,14.2
2020-12-10,91.51,18.83,261.03,359.8373,86.32,11.49,13.3,43.06,17.5,25.33,152.1269,29.2725,69.38,85.0703,15.08,105.62,300.77,158.62,159.59,24.52,11.7,14.57
2020-12-11,91.51,19.03,260.58,356.7957,86.61,11.4,13.27,43.25,17.48,26.05,153.0508,29.7808,69.7,85.7865,14.95,107.14,303.05,157.46,163.36,24.41,11.33,14.27
2020-12-14,91.51,19.0,263.14,354.8439,85.78,11.49,13.29,43.28,17.64,25.5,151.8507,29.4167,69.21,85.7684,14.8,109.58,306.4,157.79,168.62,24.42,11.91,14.75
2020-12-15,91.51,18.97,266.5,351.6792,87.97,11.25,13.18,43.36,17.69,25.4473,161.6229,28.984,72.21,88.0891,14.72,110.54,307.75,156.55,170.77,24.33,11.44,14.38
2020-12-16,91.51,19.07,268.56,350.8265,90.26,10.91,13.06,43.63,18.02,25.6999,163.5659,29.5129,71.88,87.6268,14.58,112.64,310.7,158.13,175.68,24.22,10.93,13.97
2020-12-17,91.52,19.26,270.1,351.6224,89.97,11.0,13.09,44.06,17.96,25.66,164.3184,29.506,73.12,87.3548,14.53,113.41,311.6,157.1,177.59,24.27,10.81,13.84
2020-12-18,91.51,19.35,271.6,345.9279,84.01,11.66,13.38,43.92,17.91,25.665,160.8514,29.6091,71.96,87.7899,14.76,110.0,306.51,157.19,169.54,24.37,12.64,15.4
2020-12-21,91.52,19.4,268.48,344.9898,85.33,11.53,13.31,43.96,17.92,25.3791,159.7371,29.5335,71.16,88.5696,14.6,112.45,309.77,157.56,175.32,24.34,12.08,14.94
2020-12-22,91.51,19.4,264.54,343.4264,86.41,11.38,13.23,44.06,17.81,25.8437,159.4894,29.3137,70.26,89.458,14.59,112.4,309.88,156.59,175.05,24.33,11.59,14.54
2020-12-23,91.52,19.2,268.0,342.441,85.84,11.44,13.26,44.13,17.86,25.77,157.9655,29.3601,69.78,88.2976,14.65,111.43,308.53,156.9,173.0,24.33,11.02,14.04
2020-12-24,91.51,19.2,270.26,346.3162,86.59,11.33,13.26,44.13,18.01,25.455,159.2608,29.3601,71.43,89.4943,14.47,114.12,312.31,156.37,179.16,24.31,10.55,13.62
2020-12-28,91.52,19.07,269.3,352.712,88.5,11.11,13.12,43.82,17.93,26.14,158.7084,29.1919,71.19,89.2858,14.4,115.47,314.09,156.36,182.43,24.27,10.48,13.56
2020-12-29,91.51,19.18,264.68,354.5597,93.02,10.52,12.92,43.62,17.94,26.519,159.4799,28.512,71.06,89.1045,14.4,115.52,314.2,156.83,182.44,24.2,11.2,14.2
2020-12-30,91.51,19.04,265.26,355.3082,95.18,10.28,12.8,43.67,18.1,26.58,159.1275,28.477,70.05,88.6784,14.44,114.61,312.92,157.47,180.27,24.17,10.66,13.75
2020-12-31,91.52,18.96,266.28,357.6202,98.47,9.93,12.66,43.65,18.48,26.3677,160.9848,28.7924,71.18,88.4608,14.35,116.22,315.18,156.67,184.15,24.13,10.64,13.74
2021-01-04,91.51,19.15,266.03,358.975,97.97,9.98,12.68,43.5,18.59,26.65,157.3368,28.6312,70.84,88.3339,14.67,111.2,308.44,156.94,172.41,24.2,12.48,15.32
2021-01-05,91.51,18.71,268.59,354.1996,99.83,9.79,12.6,43.72,18.46,26.65,155.2319,28.6872,69.31,87.5724,14.72,110.29,306.82,153.85,170.0,24.18,11.3,14.31
2021-01-06,91.51,18.47,270.54,351.537,101.24,9.6,12.55,44.55,18.27,26.47,156.3748,29.1639,69.78,89.8905,14.56,112.58,310.41,151.78,175.5,24.21,10.62,13.74
2021-01-07,91.51,18.5,270.94,348.7987,107.44,9.02,12.27,45.06,17.99,26.405,158.3179,29.297,70.14,88.4167,14.24,117.7,317.38,151.45,187.57,24.19,10.25,13.44
2021-01-08,91.51,18.62,270.84,349.2347,105.93,9.12,12.33,44.46,17.51,26.2,176.2051,29.2059,70.41,89.5767,14.28,116.64,315.95,150.99,184.87,24.44,10.78,13.9
2021-01-11,91.52,18.87,267.3,344.895,107.99,8.94,12.26,45.16,17.6,26.605,174.1002,28.9256,69.78,90.2043,14.36,115.54,314.4,150.78,182.03,24.41,10.75,13.89
2021-01-12,91.51,18.49,266.15,345.2457,109.8,8.77,12.16,45.44,17.66,26.4716,171.2808,28.5751,70.14,90.404,14.36,115.32,314.28,151.66,181.6,24.36,10.56,13.72
2021-01-13,91.51,18.51,263.29,346.7901,113.26,8.5,12.03,45.29,17.64,26.68,176.4623,28.8625,70.74,90.6226,14.26,116.95,316.57,152.58,185.73,24.41,10.18,13.41
2021-01-14,91.51,18.51,256.93,342.1094,109.37,8.78,12.19,45.2,17.58,26.44,177.9195,28.7363,71.77,88.8541,14.36,115.27,313.96,152.2,181.07,24.42,10.71,13.87
2021-01-15,91.51,18.57,255.78,343.3411,114.88,8.35,11.98,45.2,17.55,26.62,186.6822,29.0026,73.37,90.3279,14.37,115.25,314.32,151.61,181.65,24.39,10.48,13.68
2021-01-19,91.51,18.54,257.73,335.7894,119.56,8.03,11.8,45.33,17.74,26.84,189.3204,29.0587,72.26,91.2217,14.1,119.55,320.18,151.96,191.65,24.43,10.25,13.44
2021-01-20,91.51,18.68,257.87,342.3368,120.76,7.9,11.76,45.52,17.8,26.8381,194.0161,29.4722,72.68,91.4213,13.87,123.06,325.15,151.44,100.34,24.33,10.14,13.35
2021-01-21,91.51,18.66,257.0,344.1371,114.88,8.27,11.97,45.47,17.58,26.43,192.435,29.311,72.12,89.3771,13.86,123.55,325.32,151.84,100.44,24.35,10.38,13.58
2021-01-22,91.51,18.65,263.71,341.9199,120.81,7.89,11.74,45.54,17.78,26.47,198.3402,29.276,72.68,87.7321,13.71,126.19,328.95,152.76,103.87,24.35,10.36,13.56
2021-01-25,91.51,18.84,269.9,341.2945,116.39,8.17,11.88,46.025,17.69,26.805,202.4454,29.4512,73.38,87.9794,13.7,126.16,328.93,153.09,103.8,24.33,10.54,13.74
2021-01-26,91.52,19.17,272.62,343.9381,109.25,8.68,12.15,45.88,17.59,26.71,201.0357,29.4092,71.59,86.3249,13.81,124.12,326.26,154.08,101.17,24.41,11.4,14.47
2021-01-27,91.51,19.55,271.66,338.1203,106.42,8.88,12.23,45.55,17.71,26.69,198.1117,29.311,70.77,83.2158,14.06,119.78,320.6,153.41,95.94,24.42,12.95,15.86
2021-01-28,91.51,19.1,270.39,336.1305,103.73,9.11,12.35,45.41,17.78,26.5991,201.8834,29.6124,69.92,83.8433,14.08,118.96,319.49,151.45,95.0,24.37,13.89,16.62
2021-01-29,91.52,19.16,266.24,332.7763,107.4,8.72,12.16,45.54,17.79,26.55,199.5023,28.7924,70.79,83.1872,14.15,117.88,318.41,151.66,93.75,24.48,13.61,16.46
2021-02-01,91.51,19.37,269.49,333.2974,114.12,8.16,11.91,45.88,17.55,26.4049,194.6638,28.8625,71.06,82.6643,13.81,123.3,325.52,150.74,99.93,24.57,12.45,15.5
2021-02-02,91.52,19.08,268.44,337.5329,115.99,8.05,11.85,45.57,17.53,26.5971,188.4061,28.9816,72.93,81.9321,13.64,126.5,329.89,150.43,104.0,24.58,11.3,14.55
2021-02-03,91.51,18.73,267.7,338.655,114.7,8.09,11.87,45.45,17.12,26.395,187.4536,29.5143,72.29,82.6738,13.71,125.07,327.96,149.16,102.13,24.63,10.5,13.84
2021-02-04,91.52,18.56,271.64,338.5031,116.91,7.97,11.8,46.0987,17.17,26.6,192.035,29.9839,71.21,83.9859,13.58,127.65,331.31,149.09,105.18,24.59,10.05,13.47
2021-02-05,91.51,18.73,274.99,338.5221,117.09,7.93,11.8,46.18,17.48,27.02,192.7589,29.8227,71.37,83.5961,13.5,129.06,333.18,148.3,107.05,24.54,10.0,13.42
2021-02-08,91.51,18.47,278.37,341.8164,118.89,7.8,11.7101,46.44,17.55,27.17,194.0637,30.2292,71.65,82.1889,13.52,128.67,332.72,149.24,106.54,24.42,10.15,13.55
2021-02-09,91.52,18.52,285.2,342.7279,126.01,7.35,11.51,46.55,17.61,27.0065,194.7495,30.5376,71.57,82.5216,13.41,130.43,334.99,149.28,108.72,24.35,9.91,13.36
2021-02-10,91.51,18.49,281.3,337.7246,127.51,7.3,11.49,46.68,17.57,27.04,194.0324,30.5096,73.66,81.3997,13.45,130.0,334.44,149.67,108.19,24.35,10.08,13.5
2021-02-11,91.51,18.49,278.74,334.1739,126.35,7.33,11.49,46.63,17.32,27.14,192.8656,30.3063,73.99,81.7705,13.47,129.51,333.75,147.7,107.48,24.44,10.09,13.47
2021-02-12,91.51,18.19,275.11,335.2087,130.47,7.11,11.36,47.02,17.1,27.18,197.007,30.3554,75.08,82.2459,13.32,132.22,337.35,145.22,110.91,24.4,9.47,12.96
2021-02-16,91.51,18.08,274.485,335.2372,128.52,7.21,11.43,46.41,16.98,27.37,196.0792,30.4184,74.65,80.8958,13.52,128.45,332.49,145.94,106.25,24.51,9.78,13.22
2021-02-17,91.51,18.23,270.22,334.4492,123.05,7.52,11.58,46.3,16.99,27.56,196.3566,30.5656,74.97,82.0367,13.62,126.74,330.12,144.62,104.05,24.43,9.65,13.13
2021-02-18,91.51,18.44,267.92,338.636,126.23,7.31,11.48,46.59,16.95,27.875,192.3683,30.7128,74.34,84.1,13.45,129.55,333.99,144.06,107.64,24.35,9.18,12.7
2021-02-19,91.51,18.05,263.0,334.8954,116.59,7.92,11.78,46.59,17.14,28.2356,190.5032,30.6567,73.2,82.7213,13.77,123.86,326.4,143.02,100.49,24.3,9.26,12.79
2021-02-22,91.51,17.49,263.67,332.0948,113.14,8.09,11.94,45.86,17.23,28.41,191.584,31.4558,71.66,84.0905,14.15,116.64,316.84,141.52,91.75,24.3,9.46,12.96
2021-02-23,91.51,17.51,261.65,324.4902,111.02,8.24,11.98,45.92,17.04,28.57,192.8848,31.0983,72.0,85.3361,14.08,117.96,318.66,139.38,93.33,24.34,9.15,12.68
2021-02-24,91.5,17.08,263.0,323.5978,114.8,8.0,11.83,46.7899,16.98,28.84,194.702,31.5399,72.74,83.4249,13.98,119.88,321.44,139.52,95.67,24.19,8.52,12.1
2021-02-25,91.51,17.53,265.02,318.5281,104.65,8.73,12.21,45.68,16.77,28.285,197.6956,31.1894,72.16,83.3013,14.21,115.65,315.83,140.79,90.41,24.39,9.6,13.19
2021-02-26,91.51,17.35,262.0,318.2433,108.63,8.35,12.05,45.98,16.58,28.0,196.8157,30.9441,72.52,82.2269,14.03,118.23,319.48,140.64,93.45,24.5,8.68,12.34
2021-03-01,91.51,17.05,255.52,316.8002,108.32,8.32,12.03,45.94,16.46,27.88,199.7902,31.2665,72.84,83.4534,13.81,121.78,324.26,140.44,97.59,24.53,8.51,12.16
2021-03-02,91.5,16.96,254.87,311.5596,109.84,8.22,11.99,46.09,16.33,27.87,194.5107,31.3436,71.7,84.062,14.13,116.57,317.13,139.42,91.32,24.53,8.5,12.19
2021-03-03,91.51,16.65,256.57,307.0025,105.5,8.57,12.15,45.52,16.34,28.02,194.9124,31.5679,70.0,84.3187,14.5,110.25,308.66,139.61,84.05,24.57,8.99,12.65
2021-03-04,91.5,16.73,259.97,299.3695,103.25,8.64,12.2,44.88,16.24,28.245,192.2631,31.3156,69.24,83.6246,14.58,108.86,306.95,138.16,82.42,24.74,9.19,12.83
2021-03-05,91.5,16.8,272.99,302.7683,97.13,9.21,12.44,45.1,16.13,28.095,197.9826,31.8553,69.04,85.1174,14.5,109.74,308.11,138.86,83.26,24.85,8.66,12.42
2021-03-08,91.5,16.85,281.19,297.8789,98.24,9.06,12.39,45.16,16.34,27.94,199.2642,32.8505,70.56,86.0302,14.51,109.1,307.65,139.3,82.51,24.8,8.56,12.23
2021-03-09,91.5,16.87,282.57,304.8854,101.85,8.71,12.22,45.5,16.37,28.03,197.8774,33.5724,72.23,85.9826,14.11,115.27,316.28,139.81,89.22,24.75,8.06,11.76
2021-03-10,91.5,16.69,282.07,313.6862,106.0,8.32,12.08,45.92,16.41,28.185,197.5139,33.6145,71.9,87.5895,14.12,114.98,316.01,139.17,89.15,24.7,8.04,11.75
2021-03-11,91.5,16.88,289.06,311.4931,101.71,8.61,12.19,46.15,16.21,28.21,195.9645,33.6846,70.93,88.7495,14.2,113.48,313.78,136.43,87.05,24.76,8.16,11.87
2021-03-12,91.5,16.57,295.0,316.7148,101.22,8.68,12.22,46.15,16.49,28.46,184.602,34.3925,71.38,88.74,14.12,114.9,315.8,136.5,88.86,24.76,7.67,11.4
2021-03-15,91.5,16.51,301.01,312.9837,104.25,8.4,12.09,46.1,16.5,28.255,183.1961,34.4906,72.09,88.2266,13.87,118.76,321.23,137.05,93.43,24.75,7.03,10.77
2021-03-16,91.5,16.76,302.4,309.4994,100.49,8.69,12.26,46.57,16.5,28.21,181.4649,34.6378,71.51,86.8099,14.04,116.09,317.42,135.18,90.19,24.75,7.16,10.9
2021-03-17,91.5,16.51,309.0,309.9551,102.41,8.57,12.19,45.81,16.38,27.7657,177.9165,34.9392,70.75,86.9049,14.06,115.65,316.92,133.3,89.64,24.74,6.8,10.54
2021-03-18,91.51,16.65,301.78,307.2303,100.0,8.78,12.26,45.45,16.53,27.79,176.654,35.5349,70.85,86.3154,14.28,111.95,311.93,134.13,85.27,24.81,7.06,10.805
2021-03-19,91.5,16.82,301.74,311.8254,101.02,8.62,12.23,45.47,16.51,28.13,176.0323,35.3597,70.84,85.8305,14.09,114.53,315.41,135.69,88.44,24.74,6.6,10.33
2021-03-22,91.51,16.92,296.74,316.9901,97.96,8.9,12.33,45.09,16.51,27.55,177.2757,36.1447,69.72,85.5548,13.89,117.82,319.68,136.63,91.91,24.84,6.11,9.85
2021-03-23,91.5,17.46,292.55,324.8984,94.2,9.24,12.49,45.36,16.49,27.4,175.6975,35.0737,68.24,86.401,13.95,117.09,318.54,137.06,91.04,24.93,6.28,10.0
2021-03-24,91.5,17.47,280.0,320.7116,88.81,9.76,12.73,44.69,16.57,27.53,173.1152,34.9953,67.5,88.4738,14.33,110.71,309.99,138.39,83.54,24.94,6.62,10.4
2021-03-25,91.5,17.0,292.56,328.6864,93.26,9.26,12.5,44.86,16.44,27.3705,176.0323,36.3643,67.02,89.7003,14.27,111.55,311.02,136.42,84.68,25.0,6.1,9.83
2021-03-26,91.5,17.04,298.0,333.6613,95.23,9.01,12.41,45.69,16.43,27.6,176.6158,37.0702,67.92,90.3564,14.07,114.67,315.52,136.83,88.32,24.99,6.11,9.84
2021-03-29,91.5,17.26,301.06,335.6835,95.43,8.97,12.38,45.41,16.07,27.42,177.4478,37.2913,68.05,91.3072,14.14,113.52,314.05,135.28,86.95,25.12,6.1,9.83
2021-03-30,91.5,17.11,294.35,332.9113,96.27,8.88,12.3304,45.69,16.07,27.78,177.4861,36.4927,68.59,90.8509,14.04,115.16,316.14,136.34,88.81,25.11,5.63,9.32
2021-03-31,91.51,17.1,287.78,334.6961,102.47,8.35,12.09,45.63,16.42,27.49,178.6817,36.3643,68.12,90.7557,13.74,120.23,323.08,136.54,94.58,25.05,5.52,9.21
2021-04-01,91.5,17.21,288.15,339.4051,102.69,8.32,12.11,46.49,16.43,27.55,177.5052,36.6281,67.6,91.1836,13.56,123.25,327.27,136.53,98.3,24.99,5.12,8.77
2021-04-05,91.49,17.0,297.62,341.5886,102.0,8.37,12.1,46.43,16.55,27.69,176.6444,36.4855,68.28,92.1251,13.4,125.86,330.73,137.2,101.34,24.91,5.17,8.8
