Date,AMD,DBC,ENPH,NVDA,SOXX,SSO,VIXM,XLE
2012-03-30,8.03,28.64,7.65,0.3521,59.18,58.25,55.91,71.57
2012-04-02,8.09,29.2,7.75,0.3539,59.19,59.07,56.05,72.29
2012-04-03,7.89,28.79,7.77,0.3404,57.74,57.86,57.27,70.94
2012-04-04,7.61,28.51,7.48,0.3363,56.97,57.21,56.76,70.55
2012-04-05,7.71,28.46,7.89,0.3301,56.49,56.05,58.46,69.42
2012-04-09,7.73,28.53,7.09,0.3296,56.45,55.97,59.24,69.54
2012-04-10,7.64,28.23,7.25,0.329,56.25,55.48,60.13,69.0
2012-04-11,7.84,28.33,7.56,0.3292,56.66,55.33,61.23,68.32
2012-04-12,7.85,28.5,7.69,0.3335,57.34,56.41,58.41,69.45
2012-04-13,7.8,28.21,7.15,0.3269,56.99,55.85,59.57,68.97
2012-04-16,7.83,28.18,7.15,0.3216,56.9,55.91,58.79,68.83
2012-04-17,7.81,28.03,6.96,0.3193,56.77,56.37,59.18,69.2
2012-04-18,8.01,28.04,7.21,0.3138,56.69,56.48,59.08,69.31
2012-04-19,8.16,28.12,7.05,0.315,56.3,56.25,58.19,69.86
2012-04-20,7.59,27.81,7.0,0.3017,54.26,54.79,59.0,67.81
2012-04-23,7.44,28.09,7.09,0.3042,54.39,55.07,58.35,69.14
2012-04-24,7.42,28.13,6.94,0.2982,54.78,56.46,57.51,69.83
2012-04-25,7.35,28.2,6.9,0.2996,55.27,56.73,56.44,69.75
2012-04-26,7.44,28.26,6.84,0.2996,56.47,58.06,55.53,71.0
2012-04-27,7.3,28.23,7.2,0.2959,56.39,57.7,55.55,70.73
2012-04-30,7.34,28.32,7.5,0.2964,55.96,57.43,55.41,71.38
2012-05-01,7.51,28.28,8.0,0.3021,55.83,57.52,55.39,71.66
2012-05-02,7.57,27.92,8.09,0.2953,56.55,57.83,54.61,71.06
2012-05-03,7.35,27.42,8.79,0.2877,54.87,56.36,55.18,69.19
2012-05-04,7.13,27.04,8.37,0.2861,53.82,54.74,55.8,67.9
2012-05-07,7.1,26.98,8.3,0.2833,53.45,54.52,55.72,67.56
2012-05-08,6.9,26.76,8.61,0.2806,52.79,53.56,56.79,66.86
2012-05-09,6.58,26.95,8.94,0.2895,53.76,54.83,55.55,68.26
2012-05-10,6.73,26.72,8.74,0.3083,53.03,53.61,57.01,67.36
2012-05-11,6.69,26.41,8.4,0.3003,52.91,52.94,57.77,66.51
2012-05-14,6.76,26.47,8.27,0.301,52.89,52.72,58.78,66.29
2012-05-15,6.66,26.36,8.33,0.2985,52.6,52.66,60.02,65.28
