Date,AGG,BIL,BTAL,CURE,DBC,DGRO,EEM,EFA,EPI,ERX,EUO,EWZ,GLD,MVV,PUI,QLD,SCHD,SHY,SOXL,SOXS,SPXL,SPXS,SPXU,SQQQ,SVXY,TECL,TECS,TMF,TMV,TNA,TQQQ,UCO,UGL,UPRO,USD,USDU,UUP,UVXY,VIXM,VIXY,YCS
2014-06-12,108.75,45.75,19.31,83.88,26.42,24.73,43.45,69.74,22.41,120.0,17.46,49.44,122.55,68.62,22.06,109.81,38.02,84.45,108.66,21.15,72.96,27.16,49.69,45.57,79.01,108.28,16.22,58.44,51.14,75.06,70.91,39.42,45.93,110.3,72.9,24.89,21.52,33.95,16.61,21.41,65.95
2014-06-13,108.87,45.75,19.41,84.17,26.44,24.8,43.48,69.61,22.23,123.85,17.43,49.6,122.88,68.67,22.48,109.16,38.17,84.47,108.97,21.03,72.89,27.14,49.71,45.98,79.58,108.66,16.22,59.55,50.16,74.75,70.26,39.53,45.78,110.18,74.47,24.77,21.5,33.52,16.4,21.29,65.69
2014-06-16,108.73,45.76,19.35,84.34,26.59,24.9,43.32,69.77,22.26,124.99,17.38,48.73,122.22,69.88,22.62,110.01,38.39,84.44,113.47,20.1,74.04,26.74,48.98,45.43,83.09,109.58,15.98,58.75,50.76,77.51,71.13,39.62,45.1,111.79,75.22,24.83,21.5,30.71,16.18,20.36,66.04
2014-06-18,109.0,45.76,19.31,86.45,26.75,25.11,43.73,70.73,22.28,127.12,17.24,49.81,124.35,70.95,22.95,111.36,38.67,84.49,112.99,20.42,75.85,26.08,47.78,44.63,87.83,111.84,15.67,59.96,49.86,80.06,72.39,39.26,46.62,114.57,74.83,24.73,21.41,27.19,15.72,19.22,65.62
2014-06-19,108.73,45.77,19.2,87.04,26.87,25.22,43.5,70.56,22.09,131.04,17.36,49.43,126.32,70.84,22.92,111.02,38.85,84.48,112.33,20.2,76.33,25.89,47.35,44.84,87.15,110.69,15.94,57.43,51.82,79.48,72.04,39.87,48.25,115.5,75.6,24.7,21.47,27.66,15.81,19.36,65.98
2014-06-20,108.99,45.76,18.84,88.59,26.93,25.14,43.54,70.23,22.14,135.9,17.32,49.65,126.65,71.11,22.88,111.1,38.6,84.5,113.56,20.25,76.4,25.91,47.44,44.79,85.96,109.78,16.02,59.26,50.3,80.67,72.05,39.97,48.5,115.36,75.48,24.67,21.43,28.27,15.95,19.66,65.6
2014-06-23,109.01,45.77,19.26,88.45,26.8,25.09,43.6,70.21,22.38,134.71,17.26,49.39,127.17,70.71,23.04,111.12,38.5,84.47,111.22,20.45,75.85,26.09,47.75,44.71,86.68,110.29,15.9,59.25,50.17,79.18,72.19,39.62,48.83,114.59,74.39,24.65,21.41,27.72,15.88,19.34,65.74
2014-06-24,109.2,45.76,19.27,88.68,26.77,24.91,43.13,67.9,22.39,126.08,17.19,48.78,126.79,69.53,22.93,110.3,38.2,84.54,108.5,20.98,74.43,26.59,48.66,45.15,83.1,108.15,16.21,60.74,48.89,75.85,71.5,39.69,48.61,112.32,74.73,24.65,21.39,30.15,15.98,20.25,65.45
2014-06-25,109.45,45.77,19.13,91.19,26.8,25.05,43.25,68.06,22.2,129.0,17.24,48.13,126.88,70.11,23.13,111.96,38.23,84.56,108.31,20.83,75.14,26.29,48.14,44.11,85.64,109.85,15.89,61.8,48.16,77.78,73.21,39.62,48.56,113.52,74.67,24.57,21.38,28.2,15.66,19.61,65.03
2014-06-27,109.47,45.76,19.2,90.87,26.68,25.08,43.37,68.16,22.53,129.5,17.13,48.0,126.53,71.16,23.19,113.16,38.39,84.54,109.75,20.64,76.05,25.99,47.58,43.36,87.58,112.0,15.58,61.5,48.33,80.06,74.36,39.31,48.24,114.81,75.15,24.61,21.33,27.09,15.5,19.19,64.94
2014-06-30,109.11,45.76,19.25,90.01,26.5,25.08,43.55,68.68,22.66,131.11,17.08,47.94,127.99,72.35,23.28,114.35,38.33,84.54,113.9,19.84,76.6,25.78,47.22,42.64,89.12,112.4,15.34,60.23,49.25,82.09,75.57,39.46,49.49,115.66,75.85,24.56,21.28,26.16,15.33,18.86,65.18
2014-07-01,108.93,45.76,19.07,93.74,26.45,25.2,43.82,68.95,23.19,129.8,17.17,47.69,127.76,72.89,23.08,116.28,38.49,84.46,118.73,19.44,77.56,25.43,46.59,41.58,90.73,116.09,15.09,58.85,50.4,83.7,77.4,38.79,49.22,117.1,77.97,24.52,21.33,25.11,15.13,18.5,65.43
2014-07-02,108.54,45.76,19.2,96.52,26.43,25.23,43.78,69.03,23.09,131.16,17.24,46.97,126.81,72.58,22.73,117.32,38.65,84.44,118.9,18.88,78.39,25.17,46.07,41.1,93.09,116.76,14.99,56.94,52.0,83.8,78.38,38.27,48.49,118.45,78.75,24.7,21.4,23.92,14.91,18.04,66.01
2014-07-03,108.68,45.76,19.09,95.56,26.31,25.28,44.07,68.7,23.5,131.05,17.3,48.0,126.52,72.75,22.75,117.67,38.65,84.41,121.02,18.47,78.43,25.15,46.05,40.84,91.87,117.64,14.87,58.2,50.79,83.48,78.83,38.12,48.51,118.51,78.78,24.72,21.41,24.44,14.95,18.26,65.66
2014-07-07,108.84,45.77,19.48,93.62,26.23,25.19,44.11,68.28,22.51,127.66,17.29,48.2,127.29,71.41,22.74,116.86,38.61,84.43,117.81,19.34,77.63,25.39,46.54,41.26,89.97,117.0,14.96,59.82,49.44,79.48,77.95,38.09,48.84,117.23,78.51,24.63,21.4,25.37,15.22,18.6,65.27
2014-07-08,108.88,45.77,19.44,92.26,26.04,25.18,43.95,67.89,22.31,127.95,17.27,48.01,127.54,70.81,22.87,115.07,38.56,84.41,117.63,19.63,77.18,25.53,46.81,42.19,90.71,115.1,15.19,60.36,48.88,77.75,76.12,37.28,49.01,116.46,77.02,24.6,21.38,25.14,15.13,18.51,65.43
2014-07-09,109.18,45.76,19.58,89.68,25.97,25.05,43.52,66.97,22.01,127.18,17.27,48.16,129.15,68.65,22.79,113.24,38.33,84.5,113.54,20.08,75.38,26.15,47.89,43.17,86.19,111.91,15.59,61.84,47.75,72.65,74.29,36.81,50.22,113.82,76.09,24.63,21.37,27.56,15.28,19.41,64.67
2014-07-10,109.16,45.76,19.52,93.07,25.91,25.02,43.74,67.34,21.71,125.58,17.29,48.43,128.41,69.75,22.87,115.95,38.57,84.54,117.64,19.3,76.55,25.73,47.17,41.68,88.22,116.38,15.03,61.47,48.04,74.78,77.02,36.69,49.94,115.66,78.28,24.57,21.38,26.47,15.08,19.03,64.85
2014-07-11,109.11,45.76,19.5,94.35,25.71,25.13,44.15,68.11,21.7,124.85,17.23,49.27,125.52,70.6,22.75,117.94,38.71,84.51,119.43,18.59,78.14,25.18,46.15,40.6,90.94,119.0,14.68,61.5,48.04,77.15,78.95,35.68,47.42,118.0,79.2,24.64,21.39,24.82,14.84,18.42,65.22
2014-07-14,108.99,45.75,19.63,94.48,25.69,25.2,44.27,68.03,22.04,125.63,17.27,49.78,125.86,70.08,22.54,118.68,38.75,84.5,119.92,18.92,78.25,25.13,46.08,40.21,92.01,120.38,14.52,60.61,48.68,75.44,79.75,35.23,47.74,118.26,79.31,24.63,21.38,24.11,14.71,18.15,65.28
2014-07-15,109.01,45.75,19.64,93.06,25.72,25.29,44.43,68.28,22.37,126.39,17.46,50.03,124.99,70.32,22.52,119.14,38.8,84.48,120.63,18.65,78.75,25.0,45.84,39.96,92.16,121.8,14.35,60.96,48.42,74.48,80.24,35.69,47.06,118.86,80.99,24.72,21.49,23.85,14.64,18.08,65.32
2014-07-16,109.22,45.75,19.05,89.31,25.72,25.22,43.97,67.85,22.37,130.3,17.47,49.18,125.55,69.02,22.55,117.72,38.9,84.5,119.07,19.2,77.85,25.3,46.35,40.68,90.53,121.91,14.37,62.91,46.87,71.45,78.78,37.2,47.46,117.51,83.31,24.82,21.48,24.79,14.79,18.42,65.04
2014-07-17,109.28,45.76,19.61,87.82,25.67,25.05,44.1,67.5,22.24,125.26,17.54,50.14,125.78,68.31,22.54,116.5,38.7,84.5,114.0,19.72,76.55,25.66,47.03,41.23,86.67,119.03,14.61,64.06,46.0,69.9,77.58,37.09,47.79,115.77,80.56,24.61,21.51,26.68,14.88,19.16,64.95
2014-07-18,109.35,45.75,19.63,91.07,25.56,25.22,43.94,67.46,22.3,125.17,17.49,50.45,126.53,69.11,22.54,118.35,38.77,84.49,116.95,19.02,77.39,25.36,46.47,40.2,88.4,121.65,14.34,64.25,45.84,71.31,79.33,37.15,48.29,116.96,82.44,24.71,21.48,25.49,14.82,18.76,64.86
